"city","country_BRTData","city_BRTData","continent","corridor","corridor_length","demand","separated_intersections","exclusive_lanes_length","segregated_counterflow_lanes_length","segregated_lanes_length","speed","peak_frequency","peak_load","integrated_feeders","offboard_payment","station_spacing","cost_per_km","year_corridor_commenced","country","population","pop_density","bus_split","car_split","bus_fare","gdp","year_system_commenced"
"Adelaide","Australia","Adelaide","Oceania","North East Busway",12,32000,"All",12,0,0,80,85,6700,"","None",5000,10.25,1986,"Australia",1168000,670.7,10.2,84,2.47,61926,1986
"Ahmedabad","India","Ahmedabad","Asia","",82,130000,"",NA,NA,NA,24,20,1780,"","All",NA,4.8,2009,"India",5726000,4060,22,42,0.38,1582,2009
"Albuquerque","United States","Albuquerque","Northern America","The Red Line (766)",17.7,5167,"None",1.1,NA,NA,28,4,NA,"","None",1106.3,NA,2004,"United States",556495,37,1.7,95,1,54630,2004
"Almere","Netherlands","Almere","Europe","Line 1",58,16000,"All",NA,NA,NA,24.5,9,NA,"Yes",NA,600,NA,2004,"Netherlands",195846,686.1,13,51,NA,52172,2004
"Amsterdam","Netherlands","Amsterdam","Europe","Zuidtangent",56.7,40000,"Partial",0,0,37,35,10,960,"N/A","None",1718.2,NA,2002,"Netherlands",802938,686.1,20,38,3.21,52172,2002
"Auckland","New Zealand","Auckland","Oceania","Northern Busway",6.2,22900,"All",6.2,0,0,31,82,2200,"","None",1240,36.36,2008,"New Zealand",1507700,2700,3.5,81,3.38,37897,2008
"Bangkok","Thailand","Bangkok","Asia","Bangkok BRT",15.3,15000,"",NA,NA,NA,26,14,1200,"",NA,NA,NA,2010,"Thailand",8305218,1876,30,60,0.56,5977,2010
"Barcelona","Spain","Barcelona","Europe","Línia 64: Barceloneta - Pedralbes",21.8,15300,"None",0,0,17.44,10,8,1220,"Yes","None",589,NA,2007,"Spain",1615448,4400,22.1,37,2.38,29767,2007
"Barquisimeto","Venezuela","Barquisimeto","Latin America","Ruta 1",15.4,61632,"None",0,13.6,0,NA,NA,NA,"Partial","None",669.6,NA,2013,"Venezuela",1242351,283.4,NA,NA,0.95,12772,2013
"Barquisimeto","Venezuela","Barquisimeto","Latin America","Ruta 2",8.5,71198,"None",0,3.2,0,NA,NA,NA,"Partial","None",472.2,NA,2013,"Venezuela",1242351,283.4,NA,NA,0.95,12772,2013
"Barranquilla","Colombia","Barranquilla","Latin America","Troncal Murillo",9.5,NA,"None",0,0,9.5,23.5,54,NA,"Yes","All",700,NA,2010,"Colombia",1386865,3650,50.2,18.6,0.62,7904,2010
"Barranquilla","Colombia","Barranquilla","Latin America","Troncal Olaya",4.5,NA,"None",0,0,4.5,20.5,NA,NA,"Yes","All",700,NA,2010,"Colombia",1386865,3650,50.2,18.6,0.62,7904,2010
"Beijing","China","Beijing","Asia","BRT 1",11.5,150000,"None",0,0,14,26,60,8000,"No","All",950,6.84,2004,"China",12265000,1006.4,24,23,0.32,7590,2004
"Beijing","China","Beijing","Asia","BRT 4",25,NA,"None",0,0,24.5,NA,NA,NA,"No","All",1300,NA,2012,"China",12265000,1006.4,24,23,0.32,7590,2004
"Beijing","China","Beijing","Asia","BRT 2",15,NA,"None",0,0,9.5,NA,NA,NA,"No","All",750,NA,2008,"China",12265000,1006.4,24,23,0.32,7590,2004
"Beijing","China","Beijing","Asia","BRT 3",23,NA,"None",0,0,11,NA,NA,NA,"No","All",1000,NA,2008,"China",12265000,1006.4,24,23,0.32,7590,2004
"Belém","Brazil","Belém","Latin America","Almirante Barroso",6,120000,"None",NA,0,6,27.7,NA,NA,"",NA,NA,NA,2014,"Brazil",1439561,661.8,40.3,25.7,0.7,11384,2014
"Belfort","France","Belfort","Europe","Optymo BHNS",15.7,32000,"None",0,0,4.5,21,12,NA,"","None",300,NA,2013,"France",50078,254.7,NA,NA,1.11,42733,2013
"Belo Horizonte","Brazil","Belo Horizonte","Latin America","Nossa Senhora do Carmo",0.9,125000,"None",0,0,0.9,16,127,5500,"No","None",225,NA,2009,"Brazil",2502557,524.7,28.1,36.7,0.96,11384,1975
"Belo Horizonte","Brazil","Belo Horizonte","Latin America","MOVE - Antônio Carlos",14.7,5e+05,"None",0,0,13.6,16,500,NA,"Yes","All",565.4,NA,2007,"Brazil",2502557,524.7,28.1,36.7,0.96,11384,1975
"Belo Horizonte","Brazil","Belo Horizonte","Latin America","MOVE - Cristiano Machado",7.1,5e+05,"None",0,0,6.45,19,9,3500,"Yes","All",788.9,NA,1975,"Brazil",2502557,524.7,28.1,36.7,0.96,11384,1975
"Belo Horizonte","Brazil","Belo Horizonte","Latin America","MOVE - Área Central",1.3,5e+05,"None",0,0,1.3,19,19,NA,"Yes","All",260,NA,2014,"Brazil",2502557,524.7,28.1,36.7,0.96,11384,1975
"Belo Horizonte","Brazil","Belo Horizonte","Latin America","Pedro II",6,NA,"None",0,0,6,NA,NA,NA,"No","None",750,NA,2014,"Brazil",2502557,524.7,28.1,36.7,0.96,11384,1975
"Belo Horizonte","Brazil","Belo Horizonte","Latin America","Boulevard Arrudas",1.4,NA,"None",0,0,1.4,NA,NA,NA,"No","None",175,NA,2007,"Brazil",2502557,524.7,28.1,36.7,0.96,11384,1975
"Belo Horizonte","Brazil","Belo Horizonte","Latin America","Amazonas",7.9,380000,"None",0,0,7.9,18,405,35000,"No","None",343.5,NA,1982,"Brazil",2502557,524.7,28.1,36.7,0.96,11384,1975
"Bhopal","India","Bhopal","Asia","",24,70000,"",0,0,24,NA,6,NA,"",NA,585.4,NA,2013,"India",1843000,3578,28,19,0.44,1582,2013
"Blumenau","Brazil","Blumenau","Latin America","Rua São Paulo - Antônio da Veiga (Castelo Branco)",1.3,NA,"None",0,0,1.3,18,NA,NA,"No","None",433,NA,2012,"Brazil",338876,137.8,46.3,44.1,0.86,11384,2011
"Blumenau","Brazil","Blumenau","Latin America","Rua das Palmeiras",0.9,NA,"None",0,0.9,0,15,NA,NA,"No","None",300,NA,2012,"Brazil",338876,137.8,46.3,44.1,0.86,11384,2011
"Blumenau","Brazil","Blumenau","Latin America","Rua São Paulo - Iguaçu (Henrique Classen)",1.3,NA,"None",0,0,1.3,25,NA,NA,"No","None",333,NA,2012,"Brazil",338876,137.8,46.3,44.1,0.86,11384,2011
"Blumenau","Brazil","Blumenau","Latin America","Rua 2 de Setembro",1.9,NA,"None",0,1.9,0,24,NA,NA,"No","None",633,NA,2012,"Brazil",338876,137.8,46.3,44.1,0.86,11384,2011
"Blumenau","Brazil","Blumenau","Latin America","Rua Eng Paul Werner",1.1,NA,"None",0,0,1.1,24,NA,NA,"No","None",550,NA,2011,"Brazil",338876,137.8,46.3,44.1,0.86,11384,2011
"Blumenau","Brazil","Blumenau","Latin America","Rua 7 de Setembro",1.8,25000,"None",0,0,1.8,18,NA,NA,"No","All",900,NA,2011,"Brazil",338876,137.8,46.3,44.1,0.86,11384,2011
"Blumenau","Brazil","Blumenau","Latin America","Av. Martin Luther",0.9,12000,"None",0,0,0.9,25,NA,NA,"No","None",300,NA,2011,"Brazil",338876,137.8,46.3,44.1,0.86,11384,2011
"Blumenau","Brazil","Blumenau","Latin America"," Av. Presidente Castelo Branco (Beira-Rio)",1.3,45000,"None",0,0,1.3,16,NA,NA,"No","All",750,NA,2011,"Brazil",338876,137.8,46.3,44.1,0.86,11384,2011
"Bogota","Colombia","Bogotá","Latin America","Suba",13,121438,"None",0,0,13,26.2,NA,20100,"Yes","All",1000,NA,2006,"Colombia",7760500,3347.4,59,26,0.69,7904,2000
"Bogota","Colombia","Bogotá","Latin America","Eje Ambiental",1.9,520880,"None",0,0,1.9,26.2,NA,7600,"","All",633.3,NA,2002,"Colombia",7760500,3347.4,59,26,0.69,7904,2000
"Bogota","Colombia","Bogotá","Latin America","Carrera 10",7.3,256970,"None",0,0,7.3,26.2,NA,NA,"Yes","All",811.1,NA,2012,"Colombia",7760500,3347.4,59,26,0.69,7904,2000
"Bogota","Colombia","Bogotá","Latin America","NQS Sur",12.7,192405,"None",0,0,12.7,26.2,NA,19000,"","All",846.7,NA,2005,"Colombia",7760500,3347.4,59,26,0.69,7904,2000
"Bogota","Colombia","Bogotá","Latin America","Calle 80",10.1,158086,"None",0,0,10.1,26.2,NA,23400,"Yes","All",841.7,NA,2000,"Colombia",7760500,3347.4,59,26,0.69,7904,2000
"Bogota","Colombia","Bogotá","Latin America","Caracas Sur",11.9,520880,"None",0,0,11.9,26.2,NA,33300,"","All",850,NA,2001,"Colombia",7760500,3347.4,59,26,0.69,7904,2000
"Bogota","Colombia","Bogotá","Latin America","NQS Central",12.4,192405,"None",0,0,10.6,26.2,NA,19000,"Yes","All",1127.3,NA,2005,"Colombia",7760500,3347.4,59,26,0.69,7904,2000
"Bogota","Colombia","Bogotá","Latin America","Calle 26",12.2,104180,"None",0,0,12.2,26.2,NA,NA,"Yes","All",938.5,NA,2012,"Colombia",7760500,3347.4,59,26,0.69,7904,2000
"Bogota","Colombia","Bogotá","Latin America","Caracas",8.1,520880,"None",0,0,8.1,26.2,NA,48000,"Yes","All",578.6,NA,2000,"Colombia",7760500,3347.4,59,26,0.69,7904,2000
"Bogota","Colombia","Bogotá","Latin America","Norte",10.3,335700,"None",0,0,10.3,26.2,NA,39600,"Yes","All",686.7,NA,2001,"Colombia",7760500,3347.4,59,26,0.69,7904,2000
"Bogota","Colombia","Bogotá","Latin America","Américas",13,282051,"None",0,0,13,26.2,NA,24450,"Yes","All",812.5,NA,2003,"Colombia",7760500,3347.4,59,26,0.69,7904,2000
"Boston","United States","Boston","Northern America","Silver Line Washington Street",3.86,18879,"None",0,0.1,2.2,12.9,16,NA,"Yes","None",322,6.736,2002,"United States",645966,504,35,45,2.1,54630,2002
"Boston","United States","Boston","Northern America","Silver Line Waterfront",6.44,14507,"Partial",4,0,0,20,18,NA,"No","Partial",379,93.168,2004,"United States",645966,504,35,45,2.1,54630,2002
"Bradford","United Kingdom","Bradford","Europe","Manchester Road",2.74,5467,"None",2.35,0,0,NA,22,NA,"","None",1370,19.3,2002,"United Kingdom",523115,1098,23.1,72,1.54,46332,2002
