"city","country","weight_variable","score","total_score","a","a2","a1","a3","a4","a5","b","b1","g6","g7","b2","b3","b4","b5","b6","b7","c","c1","c2","c3","c4","c5","d","d1","d2","d3","d4","d5","e","e1","e2","f","f1","f2","f3","f4","f5","f6","g","g1","g2","g3","g4","g5","g8","corridor_length","productivity","demand","system_length","speed","year_system_commenced","pop_density","peak_frequency","peak_load_pax"
"Ahmedabad","India",3,75.33,68.33,93.3,100,100,100,63.5,100,73.87,100,33.33,66.67,0,66.7,100,66.67,66.67,100,54.77,33.33,33.3,100,100,16.67,90,100,100,66.7,100,100,100,100,100,33.37,66.7,55.53,33.3,0,0,0,-17.8,0,-33.33,0,-20,-66.67,-16.67,37.8,1585.4,130000,82,24,2009,4060,20,1780
"Bangkok","Thailand",1,59,59,84.2,100,50,87.5,85.7,100,36.8,0,0,0,0,100,100,0,100,0,35.7,0,0,100,0,100,30,0,100,0,0,0,100,100,100,50,33.3,100,100,0,0,0,0,0,0,0,0,0,0,11.5,980.4,15000,15.3,26,2010,1876,15,1200
"Barranquilla","Colombia",1,82,77,97,100,100,100,83.3,100,79.2,0,100,100,66.7,100,100,100,100,100,78.6,75,33.3,100,100,100,100,100,100,100,100,100,100,100,100,35.7,100,0,66.7,0,0,0,-13.9,0,0,-60,0,-33.3,-12.5,13.2,8214.3,115000,14,22,2010,3650,54,NA
"Beijing","China",1,57,57,60.6,57.1,57.1,85.7,0,100,79.2,100,100,100,0,100,100,100,100,0,35.7,0,0,66.7,100,50,70,100,66.7,100,0,0,100,100,100,7.1,0,0,0,0,50,0,0,0,0,0,0,0,0,59,4094,305000,74.5,26,2004,1006.4,60,8000
"Belo Horizonte","Brazil",1,89,86,94.7,100,100,100,71.4,100,94.7,100,0,0,100,100,100,100,50,100,85.7,100,33.3,100,100,100,100,100,100,100,100,100,100,100,100,57.1,100,66.7,33.3,50,50,0,-6.7,0,0,-40,-20,0,0,6.7,26650.7,1047374,39.3,17.6,1975,524.7,500,35000
"Bogota","Colombia",7,89.29,86.29,98.71,100,100,100,92.84,100,98.21,92.86,100,100,95.24,100,100,100,100,100,72.47,100,0,100,100,57.14,100,100,100,100,100,100,100,100,100,57.16,100,0,100,28.57,NA,0,-8.3,0,0,0,0,-100,0,68.1,19603.5,2213236,112.9,26.2,2000,3347.4,320,48000
"Brisbane","Australia",1,80,77,69.7,100,100,0,100,50,87.5,100,33.3,50,100,100,100,100,100,100,92.9,100,66.7,100,100,100,60,0,100,100,0,0,100,100,100,85.7,100,100,100,100,50,0,-8.3,0,0,0,-40,0,-12.5,16.5,12563.4,356800,28.4,37.5,2000,347.2,295,19900
"Buenos Aires","Argentina",2,66,65.5,71.7,100,100,0,84.5,76.2,71.7,100,50,50,0,0,100,100,100,100,53.6,50,0,100,50,75,85,100,100,83.35,100,0,40,33.3,50,50,83.35,33.3,100,0,25,0,-1.4,0,0,-10,0,0,0,16,15584.4,6e+05,38.5,24,2011,50.7,30,3500
"Cali","Colombia",1,86,82,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,71.4,75,0,100,100,100,100,100,100,100,100,100,80,100,50,35.7,100,0,66.7,0,0,0,-11.1,0,0,-20,0,-100,0,39,13068,471361,36.07,17.8,2008,327,25,13000
"Cambridge","United Kingdom",1,66,66,66.7,71.4,71.4,0,100,100,79.2,100,100,100,0,100,100,100,100,0,35.7,0,0,100,0,100,30,0,100,0,0,0,100,100,100,85.7,100,66.7,100,100,100,0,0,0,0,0,0,0,0,26,300,12000,40,60,2011,204,12,NA
"Cape Town","South Africa",1,62.5,62.5,80.3,92.9,100,100,0,100,29.2,0,0,0,0,100,100,0,50,50,57.1,100,33.3,0,100,50,80,0,100,100,100,100,80,100,50,64.3,100,0,100,50,100,0,0,0,0,0,0,0,0,17,1176.5,20000,17,NA,2011,1530,6,NA
"Caracas","Venezuela",1,75,72,97.4,100,87.5,100,100,100,47.4,0,0,0,0,66.7,100,100,50,50,64.3,0,66.7,100,100,100,90,100,100,100,0,100,80,100,50,50,100,66.7,66.7,0,0,0,-6.7,0,0,-60,0,0,0,5.2,5769.2,30000,5.2,NA,2012,4009,NA,NA
