"city","country","continent","SYSTEM","date_metro_commenced","metro_length","STATIONS","STATIONS1","LINES","AVG_STATION_DISTANCE","AVG_LINE_LENGTH","STATIONS_PER_LINE","DAILY_RIDERSHIP","RIDERSHIP_PER_KM","ANNUAL_RIDERSHIP","RIDERSHIP_YEAR","FARE","TRACKS","GAUGE","POWER_SUPPLY","VOLTAGE","DRIVERLESS","RUBBER_TYRED","DRIVERLESS_SINCE","PLATFORM_SCREEN_DOORS","AIRCON_TRAINS","WALK_THROUGH","REMARKS","year_metro_commenced"
"Adana","Turkey","Asia","Metro","18 Mar 2009",13.5,13,13,1,"1,125 m",13.5,13,"","","",NA,"","","","","","","",NA,"","","","",2009
"Algiers","Algeria","Africa","Metro","1 Nov 2011",13.5,14,14,1,"1,038 m",13.5,14,"","","",NA,"","","1435","third rail","750","","",NA,"","yes","yes","",2011
"Almaty","Kazakhstan","Asia","Metro","1 Jan 2011",10.3,9,9,1,"1,293 m",10.3,9,"19,200","1,850","7 million",2012,"","","","","","","",NA,"","","","",2011
"Amsterdam","Netherlands","Europe","Metro","16 Oct 1977",32.7,33,33,4,"1,128 m",8.2,8.3,"233,000","7,120","85 million",2009,"2.09 EUR","right","1435","third rail","750","","",NA,"","M5 type train sets","M5 type train sets","Sneltram not included (9.8 km, 19 stations; 'Metros in Holland')",1977
"Ankara","Turkey","Asia","Metro","30 Aug 1996",55.1,45,44,4,"1,344 m",13.8,11.3,"310,000","5,620","113 million",2007,"","right","1435","third rail","750","metro line","",1997,"","yes","yes","",1996
"Antwerp","Belgium","Europe","Premetro","25 Mar 1975",7.6,11,11,2,"844 m",3.8,5.5,"","","",NA,"","","1000","overhead wire","600","","",NA,"","","","",1975
"Athens","Greece","Europe","Metro","1954",60.3,65,61,3,"973 m",20.1,21.7,"937,000","15,500","342 million",2008,"1.00 EUR","right","1435","third rail","600","","",NA,"","yes","yes","airport line not included (21 km and 4 stations more): 81,3 km + 69 st",1954
"Atlanta","USA","America","MARTA","30 Jun 1979",79.2,39,38,2,"2,141 m",39.6,19.5,"93,200","1,180","34 million",2007,"","right","1435","third rail","750","","",NA,"","yes","","",1979
"Baku","Azerbaijan","Asia","Metro","6 Nov 1967",34.6,23,22,2,"1,646 m",17.3,11.5,"501,000","14,500","183 million",2011,"","right","1520","third rail","825","","",NA,"","","","",1967
"Baltimore","USA","America","Metro Subway","21 Nov 1983",24.5,14,14,1,"1,885 m",24.5,14,"49,300","2,010","18 million",2011,"","right","1435","third rail","700","","",NA,"","yes","","",1983
