name,value,data,link,category
GDP per capita (US$),gdp per capita us,Indicator (System),http://brtdata.org/indicators/systems/gdp_per_capita_us,general info
"Population, city",population city,Indicator (System),http://brtdata.org/indicators/systems/population_city,general info
"Population, metro area",population metro area,Indicator (System),http://brtdata.org/indicators/systems/population_metro_area,general info
"Population density, metropolitan area",population density metropolitan area,Indicator (System),http://brtdata.org/indicators/systems/population_density_metropolitan_area,general info
Modal split % public transport,modal split public transport,Indicator (System),http://brtdata.org/indicators/systems/modal_split__public_transport,general info
Modal split % private transport,modal split private transport,Indicator (System),http://brtdata.org/indicators/systems/modal_split__private_transport,general info
Modal split % non motorized,modal split non motorized,Indicator (System),http://brtdata.org/indicators/systems/modal_split__non_motorized,general info
Standard fare (US$),standard fare us,Indicator (System),http://brtdata.org/indicators/systems/standard_fare_us,system info
Annual fare revenue (US$ millions),annual fare revenue us millions,Indicator (System),http://brtdata.org/indicators/systems/annual_fare_revenue_us_millions,system info
Citywide fare integration (other modes),citywide fare integration other modes,Indicator (System),http://brtdata.org/indicators/systems/citywide_fare_integration_other_modes,system info
Peak load (passengers per hour per direction),peak load passengers per hour per direction,Indicator (System),http://brtdata.org/indicators/systems/peak_load_passengers_per_hour_per_direction,system info
Daily demand (passengers per day),daily demand passengers per day,Indicator (System),http://brtdata.org/indicators/systems/daily_demand_passengers_per_day,system info
Annual demand (passengers per year),annual demand passengers per year,Indicator (System),http://brtdata.org/indicators/systems/annual_demand_passengers_per_year,system info
Capital productivity (boardings per bus per day),capital productivity boardings per bus per day,Indicator (System),http://brtdata.org/indicators/systems/capital_productivity_boardings_per_bus_per_day,system info
Operational productivity (IPK),operational productivity ipk,Indicator (System),http://brtdata.org/indicators/systems/operational_productivity_ipk,system info
System name,system name,Indicator (System),http://brtdata.org/indicators/systems/system_name,system info
Corridors,corridors,Indicator (System),http://brtdata.org/indicators/systems/corridors,system info
Year system commenced,year system commenced,Indicator (System),http://brtdata.org/indicators/systems/year_system_commenced,system info
Transit agency,transit agency,Indicator (System),http://brtdata.org/indicators/systems/transit_agency,system info
Fare integration within the system,fare integration within the system,Indicator (System),http://brtdata.org/indicators/systems/fare_integration_within_the_system,system info
Integration terminals,integration terminals,Indicator (System),http://brtdata.org/indicators/systems/integration_terminals,system info
Transfer stations,transfer stations,Indicator (System),http://brtdata.org/indicators/systems/transfer_stations,system info
Operations control center,operations control center,Indicator (System),http://brtdata.org/indicators/systems/operations_control_center,system info
Trunk lines,trunk lines,Indicator (System),http://brtdata.org/indicators/systems/trunk_lines,system info
Feeder routes,feeder routes,Indicator (System),http://brtdata.org/indicators/systems/feeder_routes,system info
Depots,depots,Indicator (System),http://brtdata.org/indicators/systems/depots,system info
System length (km),system length km,Indicator (System),http://brtdata.org/indicators/systems/system_length_km,additional information
Station spacing (m),station spacing m,Indicator (System),http://brtdata.org/indicators/systems/station_spacing_m,additional information
