Region,Country,City,Corridor,Value,Year,Source
Africa,Nigeria,Lagos,Lagos BRT,22,2015,www.lamata-ng.com
Africa,South Africa,Cape Town,1A,17,2013,ITDP BRT Standard
Africa,South Africa,Johannesburg,1A,25.5,2013,Rea Vaya
Africa,South Africa,Johannesburg,1B,18,2013,Rea Vaya
Asia,China,Beijing,BRT 1,11.5,2011,www.chinabrt.org
Asia,China,Beijing,BRT 2,15,2013,www.chinabrt.org
Asia,China,Beijing,BRT 3,23,2013,www.chinabrt.org
Asia,China,Beijing,BRT 4,25,2013,www.chinabrt.org
Asia,China,Changde,Line 1,18.9,2013,www.chinabrt.org
Asia,China,Changzhou,Line 1,29.6,2013,www.chinabrt.org
Asia,China,Changzhou,Line 2,20.3,2013,www.chinabrt.org
Asia,China,Chengdu,2nd Ring Elevated Road,28.8,2013,www.worldbrt.net
Asia,China,Chongqing,Chongqing BRT,11.5,2011,www.chinabrt.org
Asia,China,Dalian,Dalian BRT,13.7,2013,www.chinabrt.org
Asia,China,Guangzhou,Zhongshan Avenue,22.5,2013,www.chinabrt.org
Asia,China,Hangzhou,Line 1,27.1,2013,www.chinabrt.org
Asia,China,Hangzhou,Line 2,19,2013,www.chinabrt.org
Asia,China,Hangzhou,Line 3,9.3,2013,www.chinabrt.org
Asia,China,Hefei,Changjiang Lu,7.2,2013,CUSTReC CATS
Asia,China,Jinan,BRT-1,11.5,2015,Jinan Urban Transport Research Center
Asia,China,Jinan,BRT-2,11,2015,Jinan Urban Transport Research Center
Asia,China,Jinan,BRT-3,11.2,2015,Jinan Urban Transport Research Center
Asia,China,Jinan,BRT-4,9.5,2015,Jinan Urban Transport Research Center
Asia,China,Jinan,BRT-5,19,2015,Jinan Urban Transport Research Center
Asia,China,Jinan,BRT-6,13.8,2015,Jinan Urban Transport Research Center
Asia,China,Jinan,BRT-7,7.8,2015,Jinan Urban Transport Research Center
Asia,China,Kunming,,46.7,2010,www.chinabrt.org
Asia,China,Lanzhou,Line 1,9.1,2013,www.chinabrt.org
Asia,China,Lianyungang,Line 1,34,2013,www.chinabrt.org
Asia,China,Urumqi,Line 1,,,
Asia,China,Urumqi,Line 2,,,
Asia,China,Urumqi,Line 3,,,
Asia,China,Urumqi,Line 4,,,
Asia,China,Xiamen,Line 1,28.2,2013,www.chinabrt.org
Asia,China,Xiamen,Line 2,10,2013,www.chinabrt.org
Asia,China,Xiamen,Line 3,10.7,2013,www.chinabrt.org
Asia,China,Yancheng,Line 1,16,2013,www.chinabrt.org
Asia,China,Yichang,Phase 1,13,2015,www.itdp.org
Asia,China,Yinchuan,Line 1,17,2013,www.chinabrt.org
Asia,China,Zaozhuang,Line 1,33,2013,www.chinabrt.org
Asia,China,Zhengzhou,Line 1,30.5,2013,www.chinabrt.org
Asia,India,Ahmedabad,,82,2014,Making of Janmarg Amdavad atwww.asiabrts.org
Asia,India,Bhopal,,24,2013,EMBARQ India
Asia,India,Indore,,11.45,2013,EMBARQ India
Asia,India,Jaipur,,7.1,2011,"Primary Survey, EMBARQ"
Asia,India,Pune,,17,2011,Interview with PMPML officials
Asia,India,Rajkot,,10.7,2013,EMBARQ India
Asia,India,Surat,Udhna Darwaza to Sachin GIDC,10,2014,cept.ac.in
Asia,Indonesia,Jakarta,Koridor 1,12.9,2013,Transjakarta
Asia,Indonesia,Jakarta,Koridor 2,14,2013,Transjakarta
Asia,Indonesia,Jakarta,Koridor 3,19,2013,Transjakarta
Asia,Indonesia,Jakarta,Koridor 4,11.85,2013,Transjakarta
Asia,Indonesia,Jakarta,Koridor 5,13.5,2013,Transjakarta
Asia,Indonesia,Jakarta,Koridor 6,13.3,2013,Transjakarta
Asia,Indonesia,Jakarta,Koridor 7,12.8,2013,Transjakarta
Asia,Indonesia,Jakarta,Koridor 8,26,2013,Transjakarta
Asia,Indonesia,Jakarta,Koridor 9,28.8,2013,Transjakarta
Asia,Indonesia,Jakarta,Koridor 10,19.4,2013,Transjakarta
Asia,Indonesia,Jakarta,Koridor 11,11.4,2013,Transjakarta
Asia,Indonesia,Jakarta,Koridor 12,23.8,2013,Transjakarta
Asia,Iran,Tabriz,,18,2011,Global Mass Transit Report:www.globalmasstransit.net
Asia,Iran,Tehran,Line 1,8.4,2009,"Heddebaut O. et. al ""The European Bus with a High Level of Service (BHLS): Concept and Practice"", Built Environment Vol 36, No. 3, 2010"
Asia,Iran,Tehran,Line 2,18.7,2014,trafficorg.tehran.ir
Asia,Iran,Tehran,Line 3,14.3,2014,trafficorg.tehran.ir
Asia,Iran,Tehran,Line 4,21.5,2014,trafficorg.tehran.ir
Asia,Iran,Tehran,Line 5,22,2012,www.ijsei.com
Asia,Iran,Tehran,Line 7,18.5,2014,trafficorg.tehran.ir
Asia,Iran,Tehran,Line 8,6.2,2012,www.ijsei.com
Asia,Iran,Tehran,Line 10,10,2014,trafficorg.tehran.ir
Asia,Israel,Haifa,The Red Line,25,"2013, 6.2 km are commom to 3 corridors; 6.6 km are commom to Red and Blue 6.6 km are commom to Red and Blue",www.dannorth.co.il
Asia,Israel,Haifa,The Blue Line,18,"2013, 6.2 km are commom to 3 corridors; 6.6 km are commom to Red and Blue 6.6 km are commom to Red and Blue",www.dannorth.co.il
Asia,Israel,Haifa,The Green Line,16,"2013, 6.2 km are commom to 3 corridors",www.dannorth.co.il
Asia,Japan,Kesennuma - Tome,Kesennuma Line,21.7,2014,ja.wikipedia.org
Asia,Japan,Nagoya,Yutorito Line,6.8,2007,Bus Rapid Transit Planning Guide (ITDP) 2007 ; www.chinabrt.org
Asia,Malaysia,Subang Jaya,BRT Sunway Line,5.4,2015,www.myrapid.com.my
Asia,Pakistan,Islamabad - Rawalpindi,Rawalpindi - Islmabad,22.5,,www.metrobus.com.pk
Asia,Pakistan,Lahore,,27,2015,www.pakistantimes.com
Asia,Republic of Korea,Seoul,,43,2009,www.chinabrt.org buses and ridership estimated
Asia,Taiwan,Chiayi,Chiayi BRT,29.65,2014,e-bus.chiayi.gov.tw
Asia,Taiwan,Taichung,Blue Line,17.2,2014,www.chinapost.com.tw
Asia,Taiwan,Taipei,,60,2007,Bus Rapid Transit Planning Guide (ITDP) 2007
Asia,Thailand,Bangkok,Bangkok BRT,15.3,2011,www.chinabrt.org
Europe,Belgium,Liège,d’Avroy - Sauvenière,2.2,2009,Google Maps
Europe,Belgium,Liège,Cadran - Fontainebleau,1.2,2009,Google Maps
Europe,Belgium,Liège,Quai Saint-Léonard,2.6,2009,Google Maps
Europe,Czech Republic,Prague,Line 213,10.25,2011,COST - European Cooperation in Science and Technology
Europe,Finland,Helsinki,Runkolinja 550,27.5,2011,COST - European Cooperation in Science and Technology
Europe,France,Belfort,Optymo BHNS,15.7,2009,www.nbrti.org
Europe,France,Caen,Twisto TVR,15.7,2009,www.nbrti.org
Europe,France,Cannes,Ligne 1,34,2010,Viva 2010 ( www.uncrd.or.jp );connectedcities.eu ; lw2.easy-site.nl
Europe,France,Châlon-sur-Saône,Flash,6.4,2014,www.mobilicites.com
Europe,France,Douai,,34,2010,Viva 2010 ( www.uncrd.or.jp );connectedcities.eu ; lw2.easy-site.nl
Europe,France,Evry,Tice,18,2014,www.bus-tice.com
Europe,France,La Rochelle,,6,2010,www.ville-larochelle.fr
Europe,France,Lille,,5.5,2010,www.nbrti.org bhns.fr
Europe,France,Lorient,The Triskell,4.6,2011,COST - European Cooperation in Science and Technology .
Europe,France,Lyon,C-Lines,4,2009,www.nbrti.org
Europe,France,Maubeuge,BHLS - Viavil,8.4,2009,www.nbrti.org
Europe,France,Metz,Ligne A,12,2009,www.nbrti.org
Europe,France,Metz,Ligne B,11,"2013, the corridor has a common section of 5.6 km with Ligne A",mettis.metzmetropole.fr
Europe,France,Nancy,TVR (GLT),12,2009,www.nbrti.org
Europe,France,Nantes,BusWay,6.9,2011,COST - European Cooperation in Science and Technology
Europe,France,Nice,,,,
Europe,France,Nîmes,Tango+ T1,4.5,2015,trambus.nimes-metropole.fr
Europe,France,Paris,T Zen 1,14.7,2011,www.tzen.com
Europe,France,Paris,"Ligne 393, RATP",6.5,"2011, shared section with TVM corridor (5.15km) is not being considered here",www.agglo-hautvaldemarne.fr
Europe,France,Paris,TVM,20,2011,COST - European Cooperation in Science and Technology
Europe,France,Rouen,T1,11.1,"2015, 5.4 km are commom to 3 corridors",Google Maps
Europe,France,Rouen,T2,14.8,"2015, 5.4 km are commom to 3 corridors; 1.7 km are commom to corridors T2 and T3",Google Maps
Europe,France,Rouen,T3,17.7,"2015, 5.4 km are commom to 3 corridors; 1.7 km are commom to corridors T2 and T3",Google Maps
Europe,France,Saint-Nazaire,Hélyce,9,2013,www.mobilicites.com
Europe,France,Strasbourg,Ligne G,5.2,2014,fr.wikipedia.org
Europe,France,Toulouse,,11,2010,Viva 2010 ( www.uncrd.or.jp ); CERTU 2010
Europe,Germany,Essen,The Spurbus,24.2,2011,COST - European Cooperation in Science and Technology
Europe,Germany,Hamburg,Line 5,15.1,2013,www.via-bus.de
Europe,Germany,Oberhausen,ÖPNV-Trasse,6.8,2011,COST - European Cooperation in Science and Technology
Europe,Ireland,Dublin,,8.4,2009,"Heddebaut O. et. al ""The European Bus with a High Level of Service (BHLS): Concept and Practice"", Built Environment Vol 36, No. 3, 2010"
Europe,Italy,Brescia,LAM1,,,
Europe,Italy,Brescia,LAM2,,,
Europe,Italy,Prato,Blu,9.61,2015,Google Maps
Europe,Italy,Prato,Arancio,8.97,2015,Google Maps
Europe,Italy,Prato,Rossa,5.52,2015,Google Maps
Europe,Netherlands,Almere,Line 1,58,2009,COST - European Cooperation in Science and Technology
Europe,Netherlands,Amsterdam,Zuidtangent,56.7,2011,COST - European Cooperation in Science and Technology
Europe,Netherlands,Eindhoven,Phileas,15,2009,citytransport.info
Europe,Netherlands,Enschede,Line 2,11,2014,Google Earth
Europe,Netherlands,Enschede,Line3,12,2014,Google Earth
Europe,Netherlands,Utrecht,,8.2,2010,Viva 2010 ( www.uncrd.or.jp );www.ashford.gov.uk ; www.chinabrt.org
Europe,Portugal,Lisbon,24 de Julho Corridor (mixed traffic with 10 tramways),4.8,2011,COST - European Cooperation in Science and Technology
Europe,Spain,Barcelona,Línia 64: Barceloneta - Pedralbes,21.8,2011,COST - European Cooperation in Science and Technology
Europe,Spain,Castellon,Line 1,2,2011,COST - European Cooperation in Science and Technology
Europe,Spain,Madrid,Bus VAO,16.1,2011,COST - European Cooperation in Science and Technology
Europe,Spain,Granada,LAC,4.2,2014,granadaimedia.com
Europe,Sweden,Gothenburg,Stombuss,16.5,2011,COST - European Cooperation in Science and Technology
Europe,Sweden,Jonkoping,Line1,13.4,,
Europe,Sweden,Jonkoping,Line2,11.5,,
Europe,Sweden,Jonkoping,Line3,14.3,,
Europe,Sweden,Stockholm,,40,2011,COST - European Cooperation in Science and Technology
Europe,Switzerland,Zurich,Line 31,11,2011,COST - European Cooperation in Science and Technology
Europe,Turkey,Istanbul,TUYAP - Sogutlucesme Metrobus Corridor,52,2012,IETT
Europe,United Kingdom,Bradford,Manchester Road,2.74,2014,Google Maps
Europe,United Kingdom,Cambridge,The Busway,40,2015,www.cambridgeshire.gov.uk
Europe,United Kingdom,Crawley,,24,2005,Bus Rapid Transit Planning Guide (ITDP) 2007
Europe,United Kingdom,Edinburgh,,5,2005,www.ashford.gov.uk
Europe,United Kingdom,Fareham - Gosport,Eclipse,3.4,2013,www3.hants.gov.uk
Europe,United Kingdom,Kent,Fastrack,15,2005,www.ashford.gov.uk
Europe,United Kingdom,Leeds,,4.2,2005,www.ashford.gov.uk
Europe,United Kingdom,London,,20,2010,www.tfl.gov.uk
Europe,United Kingdom,Luton,,5,2010,en.wikipedia.org
Europe,United Kingdom,Manchester,A6 Corridor,15.5,2011,COST - European Cooperation in Science and Technology
Europe,United Kingdom,Runcorn,,19.3,2012,www.brtuk.org
Europe,United Kingdom,Swansea,,13.5,2010,en.wikipedia.org
Europe,United Kingdom,York,FTR,5,2010,en.wikipedia.org
Latin America,Argentina,Buenos Aires,Sur - Ramal Coronel Roca,9.3,2013,movilidad.buenosaires.gob.ar
Latin America,Argentina,Buenos Aires,Sur - Ramal Fernandéz de la Cruz,13.7,2013,movilidad.buenosaires.gob.ar
Latin America,Argentina,Buenos Aires,9 de Julio,3,2013,movilidad.buenosaires.gob.ar
