Region,Country,City,Corridor,Value,Year,Source
Africa,Nigeria,Lagos,Lagos BRT,200000,2011,Viva 2010 ( www.uncrd.or.jp ); Trans-Africa Consortium 2010 ; www.itdp.org
Africa,South Africa,Cape Town,1A,20000,2013,www.citylab.com
Africa,South Africa,Johannesburg,1A,42000,2013,www.joburg.org.za
Africa,South Africa,Johannesburg,1B,,,
Asia,China,Beijing,BRT 1,150000,2013,CUSTReC CATS
Asia,China,Beijing,BRT 2,,,
Asia,China,Beijing,BRT 3,,,
Asia,China,Beijing,BRT 4,,,
Asia,China,Changde,Line 1,,,
Asia,China,Changzhou,Line 1,,,
Asia,China,Changzhou,Line 2,,,
Asia,China,Chengdu,2nd Ring Elevated Road,,,
Asia,China,Chongqing,Chongqing BRT,12000,2012,www.chinabrt.org
Asia,China,Dalian,Dalian BRT,87000,2011,www.chinabrt.org
Asia,China,Guangzhou,Zhongshan Avenue,850000,2014,www.chinabrt.org
Asia,China,Hangzhou,Line 1,,,
Asia,China,Hangzhou,Line 2,,,
Asia,China,Hangzhou,Line 3,,,
Asia,China,Hefei,Changjiang Lu,65250,2010,www.chinabrt.org
Asia,China,Jinan,BRT-1,,,
Asia,China,Jinan,BRT-2,,,
Asia,China,Jinan,BRT-3,,,
Asia,China,Jinan,BRT-4,,,
Asia,China,Jinan,BRT-5,,,
Asia,China,Jinan,BRT-6,,,
Asia,China,Jinan,BRT-7,,,
Asia,China,Kunming,,156000,2010,www.chinabrt.org
Asia,China,Lanzhou,Line 1,290000,2013,www.chinabrt.org
Asia,China,Lianyungang,Line 1,20000,2013,CUSTReC CATS
Asia,China,Urumqi,Line 1,,,
Asia,China,Urumqi,Line 2,,,
Asia,China,Urumqi,Line 3,,,
Asia,China,Urumqi,Line 4,,,
Asia,China,Xiamen,Line 1,,,
Asia,China,Xiamen,Line 2,,,
Asia,China,Xiamen,Line 3,,,
Asia,China,Yancheng,Line 1,33000,2010,CUSTReC CATS
Asia,China,Yichang,Phase 1,240000,2015,www.chinabrt.org
Asia,China,Yinchuan,Line 1,87000,2013,CUSTReC CATS
Asia,China,Zaozhuang,Line 1,30000,2010,CUSTReC CATS
Asia,China,Zhengzhou,Line 1,650000,2013,www.chinabrt.org
Asia,India,Ahmedabad,,130000,2013,www.ahmedabadbrts.com
Asia,India,Bhopal,,70000,2013,EMBARQ India
Asia,India,Indore,,45500,2014,BRT Planning for Vientiane atwww.asiabrts.org
