Region,Country,City,Corridor,Value,Year,Source
Africa,Nigeria,Lagos,Lagos BRT,,,
Africa,South Africa,Cape Town,1A,,,
Africa,South Africa,Johannesburg,1A,0,2013,Rea Vaya
Africa,South Africa,Johannesburg,1B,0,2013,Rea Vaya
Asia,China,Beijing,BRT 1,0,2013,CUSTReC CATS
Asia,China,Beijing,BRT 2,0,2013,www.chinabrt.org
Asia,China,Beijing,BRT 3,0,2013,www.chinabrt.org
Asia,China,Beijing,BRT 4,0,2013,www.chinabrt.org
Asia,China,Changde,Line 1,0,2013,www.chinabrt.org
Asia,China,Changzhou,Line 1,0,2013,www.chinabrt.org
Asia,China,Changzhou,Line 2,0,2013,www.chinabrt.org
Asia,China,Chengdu,2nd Ring Elevated Road,28.8,2014,www.worldbrt.net
Asia,China,Chongqing,Chongqing BRT,,,
Asia,China,Dalian,Dalian BRT,0,2013,www.chinabrt.org
Asia,China,Guangzhou,Zhongshan Avenue,0,2013,www.chinabrt.org
Asia,China,Hangzhou,Line 1,0,2013,www.chinabrt.org
Asia,China,Hangzhou,Line 2,0,2013,www.chinabrt.org
Asia,China,Hangzhou,Line 3,,,
Asia,China,Hefei,Changjiang Lu,,,
Asia,China,Jinan,BRT-1,,,
Asia,China,Jinan,BRT-2,,,
Asia,China,Jinan,BRT-3,,,
Asia,China,Jinan,BRT-4,,,
Asia,China,Jinan,BRT-5,,,
Asia,China,Jinan,BRT-6,,,
Asia,China,Jinan,BRT-7,,,
Asia,China,Kunming,,,,
Asia,China,Lanzhou,Line 1,0,2013,www.chinabrt.org
Asia,China,Lianyungang,Line 1,0,2013,www.chinabrt.org
Asia,China,Urumqi,Line 1,,,
Asia,China,Urumqi,Line 2,,,
Asia,China,Urumqi,Line 3,,,
Asia,China,Urumqi,Line 4,,,
Asia,China,Xiamen,Line 1,,,
Asia,China,Xiamen,Line 2,,,
Asia,China,Xiamen,Line 3,,,
Asia,China,Yancheng,Line 1,0,2013,www.chinabrt.org
Asia,China,Yichang,Phase 1,0,2015,www.itdp.org
Asia,China,Yinchuan,Line 1,0,2013,www.chinabrt.org
Asia,China,Zaozhuang,Line 1,0,2013,www.chinabrt.org
Asia,China,Zhengzhou,Line 1,0,2013,www.chinabrt.org
Asia,India,Ahmedabad,,,,
Asia,India,Bhopal,,0,2013,
Asia,India,Indore,,0,2013,
Asia,India,Jaipur,,0,2011,"Primary Survey,EMBARQ"
Asia,India,Pune,,0,2011,"Primary Survey, EMBARQ"
Asia,India,Rajkot,,0,2013,
Asia,India,Surat,Udhna Darwaza to Sachin GIDC,0,2014,
Asia,Indonesia,Jakarta,Koridor 1,,,
Asia,Indonesia,Jakarta,Koridor 2,,,
Asia,Indonesia,Jakarta,Koridor 3,,,
Asia,Indonesia,Jakarta,Koridor 4,,,
Asia,Indonesia,Jakarta,Koridor 5,,,
Asia,Indonesia,Jakarta,Koridor 6,,,
Asia,Indonesia,Jakarta,Koridor 7,,,
Asia,Indonesia,Jakarta,Koridor 8,,,
Asia,Indonesia,Jakarta,Koridor 9,,,
Asia,Indonesia,Jakarta,Koridor 10,,,
Asia,Indonesia,Jakarta,Koridor 11,,,
Asia,Indonesia,Jakarta,Koridor 12,,,
Asia,Iran,Tabriz,,,,
Asia,Iran,Tehran,Line 1,0,2014,trafficorg.tehran.ir
Asia,Iran,Tehran,Line 2,0,2014,trafficorg.tehran.ir
Asia,Iran,Tehran,Line 3,0,2014,trafficorg.tehran.ir
Asia,Iran,Tehran,Line 4,0,2014,trafficorg.tehran.ir
Asia,Iran,Tehran,Line 5,0,2014,trafficorg.tehran.ir
Asia,Iran,Tehran,Line 7,0,2014,trafficorg.tehran.ir
Asia,Iran,Tehran,Line 8,0,2014,trafficorg.tehran.ir
Asia,Iran,Tehran,Line 10,0,2014,trafficorg.tehran.ir
Asia,Israel,Haifa,The Red Line,0,2013,
Asia,Israel,Haifa,The Blue Line,0,2013,
Asia,Israel,Haifa,The Green Line,0,2013,
Asia,Japan,Kesennuma - Tome,Kesennuma Line,21.7,2014,ja.wikipedia.org
Asia,Japan,Nagoya,Yutorito Line,,,
Asia,Malaysia,Subang Jaya,BRT Sunway Line,5.4,2015,www.myrapid.com.my
Asia,Pakistan,Islamabad - Rawalpindi,Rawalpindi - Islmabad,22.5,,www.metrobus.com.pk
Asia,Pakistan,Lahore,,8.3,2015,www.pma.punjab.gov.pk
Asia,Republic of Korea,Seoul,,,,
Asia,Taiwan,Chiayi,Chiayi BRT,0,2014,
Asia,Taiwan,Taichung,Blue Line,,,
Asia,Taiwan,Taipei,,,,
Asia,Thailand,Bangkok,Bangkok BRT,,,
Europe,Belgium,Liège,d’Avroy - Sauvenière,0,,
Europe,Belgium,Liège,Cadran - Fontainebleau,0,,
Europe,Belgium,Liège,Quai Saint-Léonard,0,,
Europe,Czech Republic,Prague,Line 213,,,
Europe,Finland,Helsinki,Runkolinja 550,,,
Europe,France,Belfort,Optymo BHNS,0,2014,info.optymo.fr
Europe,France,Caen,Twisto TVR,,,
Europe,France,Cannes,Ligne 1,0,2014,
Europe,France,Châlon-sur-Saône,Flash,0,2014,Google Maps
Europe,France,Douai,,,,
Europe,France,Evry,Tice,0,2014,Google Maps
Europe,France,La Rochelle,,,,
Europe,France,Lille,,,,
Europe,France,Lorient,The Triskell,,,
Europe,France,Lyon,C-Lines,,,
Europe,France,Maubeuge,BHLS - Viavil,,,
Europe,France,Metz,Ligne A,0,2013,mettis.metzmetropole.fr
Europe,France,Metz,Ligne B,0,2013,mettis.metzmetropole.fr
Europe,France,Nancy,TVR (GLT),,,
Europe,France,Nantes,BusWay,0,2011,COST - European Cooperation in Science and Technology
Europe,France,Nice,,,,
Europe,France,Nîmes,Tango+ T1,0,2015,Google Maps
Europe,France,Paris,T Zen 1,0,2011,www.tzen.com
Europe,France,Paris,"Ligne 393, RATP",0,2011,www.agglo-hautvaldemarne.fr
Europe,France,Paris,TVM,0,2011,COST - European Cooperation in Science and Technology
Europe,France,Rouen,T1,,,
Europe,France,Rouen,T2,,,
Europe,France,Rouen,T3,,,
Europe,France,Saint-Nazaire,Hélyce,,,
Europe,France,Strasbourg,Ligne G,,,
Europe,France,Toulouse,,,,
Europe,Germany,Essen,The Spurbus,4,2011,COST - European Cooperation in Science and Technology
Europe,Germany,Hamburg,Line 5,0,2011,COST - European Cooperation in Science and Technology
Europe,Germany,Oberhausen,ÖPNV-Trasse,6.8,2011,COST - European Cooperation in Science and Technology
Europe,Ireland,Dublin,,,,
Europe,Italy,Brescia,LAM1,,,
Europe,Italy,Brescia,LAM2,,,
Europe,Italy,Prato,Blu,0,2015,Google Maps
Europe,Italy,Prato,Arancio,1.15,2015,Google Maps
Europe,Italy,Prato,Rossa,0,2015,Google Maps
Europe,Netherlands,Almere,Line 1,,,
Europe,Netherlands,Amsterdam,Zuidtangent,0,2011,COST - European Cooperation in Science and Technology
Europe,Netherlands,Eindhoven,Phileas,,,
Europe,Netherlands,Enschede,Line 2,,,
Europe,Netherlands,Enschede,Line3,12,2011,COST - European Cooperation in Science and Technology P158
Europe,Netherlands,Utrecht,,,,
Europe,Portugal,Lisbon,24 de Julho Corridor (mixed traffic with 10 tramways),,,
Europe,Spain,Barcelona,Línia 64: Barceloneta - Pedralbes,0,2011,COST - European Cooperation in Science and Technology
Europe,Spain,Castellon,Line 1,,,
Europe,Spain,Madrid,Bus VAO,,,
Europe,Spain,Granada,LAC,0,2014,granadaimedia.com
Europe,Sweden,Gothenburg,Stombuss,0,2011,COST - European Cooperation in Science and Technology
Europe,Sweden,Jonkoping,Line1,,,
Europe,Sweden,Jonkoping,Line2,,,
Europe,Sweden,Jonkoping,Line3,,,
Europe,Sweden,Stockholm,,,,
Europe,Switzerland,Zurich,Line 31,0,2011,COST - European Cooperation in Science and Technology
Europe,Turkey,Istanbul,TUYAP - Sogutlucesme Metrobus Corridor,0,,IETT
Europe,United Kingdom,Bradford,Manchester Road,2.35,"2014, 1.84 km in south-north direction and 0.51 km in north-south direction",Google Maps
Europe,United Kingdom,Cambridge,The Busway,25,2013,www.cambridgeshire.gov.uk
Europe,United Kingdom,Crawley,,,,
Europe,United Kingdom,Edinburgh,,,,
Europe,United Kingdom,Fareham - Gosport,Eclipse,0,2013,www3.hants.gov.uk
Europe,United Kingdom,Kent,Fastrack,,,
Europe,United Kingdom,Leeds,,,,
Europe,United Kingdom,London,,,,
Europe,United Kingdom,Luton,,,,
Europe,United Kingdom,Manchester,A6 Corridor,,,
Europe,United Kingdom,Runcorn,,,,
Europe,United Kingdom,Swansea,,,,
Europe,United Kingdom,York,FTR,,,
Latin America,Argentina,Buenos Aires,Sur - Ramal Coronel Roca,0,2013,www.clarin.com
Latin America,Argentina,Buenos Aires,Sur - Ramal Fernandéz de la Cruz,0,2013,www.clarin.com
Latin America,Argentina,Buenos Aires,9 de Julio,0,2013,
Latin America,Argentina,Buenos Aires,Juan B. Justo,0,2011,
Latin America,Argentina,Córdoba,Sabattini,0,,
Latin America,Argentina,Rosario,Santa Fé - Maipú,0,2013,ssl.rosario.gov.ar
Latin America,Argentina,Rosario,San Lorenzo - Laprida,0,2013,ssl.rosario.gov.ar
Latin America,Argentina,Rosario,Córdoba,0,2013,ssl.rosario.gov.ar
Latin America,Brazil,Belém,Almirante Barroso,,,
Latin America,Brazil,Belo Horizonte,MOVE - Antônio Carlos,0,,Google Maps
Latin America,Brazil,Belo Horizonte,MOVE - Cristiano Machado,0,,Google Maps
Latin America,Brazil,Belo Horizonte,Nossa Senhora do Carmo,0,,Google Maps
Latin America,Brazil,Belo Horizonte,Boulevard Arrudas,0,,Google Maps
Latin America,Brazil,Belo Horizonte,MOVE - Área Central,0,,Google Maps
Latin America,Brazil,Belo Horizonte,Amazonas,0,,Google Maps
Latin America,Brazil,Belo Horizonte,Pedro II,0,2014,bhtrans.pbh.gov.br
Latin America,Brazil,Blumenau,Rua 7 de Setembro,0,,
Latin America,Brazil,Blumenau,Av. Martin Luther,0,,
Latin America,Brazil,Blumenau, Av. Presidente Castelo Branco (Beira-Rio),0,,
Latin America,Brazil,Blumenau,Rua 2 de Setembro,0,,
Latin America,Brazil,Blumenau,Rua São Paulo - Iguaçu (Henrique Classen),0,,
Latin America,Brazil,Blumenau,Rua São Paulo - Antônio da Veiga (Castelo Branco),0,,
Latin America,Brazil,Blumenau,Rua Eng Paul Werner,0,,
Latin America,Brazil,Blumenau,Rua das Palmeiras,0,,
Latin America,Brazil,Brasília,Expresso DF Sul,27.4,2014,www.dftrans.df.gov.br
Latin America,Brazil,Brasília,Estrada Parque Núcleo Bandeirante,0,,
Latin America,Brazil,Brasília,W3 Norte,0,,
Latin America,Brazil,Brasília,W3 Sul,0,,
Latin America,Brazil,Brasília,Setor Policial,0,,
Latin America,Brazil,Brasília,Estrada Parque Taguatinga-Guará,0,,
Latin America,Brazil,Campinas,Av. Amoreiras,0,,
Latin America,Brazil,Campinas,Av. João Jorge,0,,
Latin America,Brazil,Campinas,Corredor Central,0,,
Latin America,Brazil,Campo Grande,Duque de Caxias,0,,
Latin America,Brazil,Campo Grande,Rui Barbosa,0,,
Latin America,Brazil,Campo Grande,Av. Calógeras,0,,
Latin America,Brazil,Campo Grande,Rua 26 de Agosto,0,,
Latin America,Brazil,Caxias do Sul,Pinheiro Machado,0,,
Latin America,Brazil,Caxias do Sul,Marechal Floriano,0,,
Latin America,Brazil,Caxias do Sul,Moreira Cesar - Centro Bairro,0,,
Latin America,Brazil,Caxias do Sul,Pio 12 - Moreira,0,,
Latin America,Brazil,Caxias do Sul,18 do Forte,0,,
Latin America,Brazil,Caxias do Sul,Sinimbu,0,,
Latin America,Brazil,Caxias do Sul,Bento,0,,
Latin America,Brazil,Criciúma,Av. Centenário,0,,
Latin America,Brazil,Curitiba,Linha Verde,0,,
Latin America,Brazil,Curitiba,Boqueirão,0,,
Latin America,Brazil,Curitiba,Leste,0,,
Latin America,Brazil,Curitiba,Oeste,0,,
Latin America,Brazil,Curitiba,Norte,0,,
Latin America,Brazil,Curitiba,Sul,0,,
Latin America,Brazil,Curitiba,Rua XV de Novembro,0,,
Latin America,Brazil,São Paulo - Metropolitan area,Corredor Metropolitano ABD,0,,
Latin America,Brazil,Feira de Santana,Av. Senhor dos Passos,0,,
Latin America,Brazil,Fortaleza,Av. João Pessoa,0,,
Latin America,Brazil,Fortaleza,Av. Bezerra de Menezes,0,,
Latin America,Brazil,Goiânia,Leste Oeste (Eixo Anhanguera),0,,
Latin America,Brazil,Goiânia,80-90 Goiás,0,,
Latin America,Brazil,Goiânia,Universitário,0,,
Latin America,Brazil,Guarulhos,Guarulhos,0,2013,
Latin America,Brazil,Jaboatão dos Guararapes,Av. Ayrton Senna,0,,
Latin America,Brazil,João Pessoa,Av. Epitácio Pessoa - Av. Miguel Couto - Av. Sanhauá - Rua Guedes Pereira,0,,
Latin America,Brazil,Joinville,Avenida JK,0,,
Latin America,Brazil,Joinville,João Colim,0,,
Latin America,Brazil,Joinville,Blumenau,0,,
Latin America,Brazil,Joinville,Santa Catarina,0,,
Latin America,Brazil,Joinville,São Paulo,0,,
Latin America,Brazil,Juiz de Fora,Av. Barão do Rio Branco,0,,
Latin America,Brazil,Londrina,Rua João Cândido,0,,
Latin America,Brazil,Londrina,Rua Duque de Caxias,0,,
Latin America,Brazil,Londrina,Winston Churchill,0,,
Latin America,Brazil,Maceió,Av. Fernandes Lima,0,,
Latin America,Brazil,Natal,Av. Bernardo Vieira,0,,Google Maps
Latin America,Brazil,Niterói,Corredor Metropolitano Alameda São Boaventura,0,,
Latin America,Brazil,Olinda,Av. Pan Nordestina - PE 15,0,,
Latin America,Brazil,Porto Alegre,Av. Farrapos,0,,EPTC
Latin America,Brazil,Porto Alegre,Av. Assis Brasil,0,,EPTC
Latin America,Brazil,Porto Alegre,Av. Sertório,0,,EPTC
Latin America,Brazil,Porto Alegre,Av. Baltazar Garcia,0,,EPTC
Latin America,Brazil,Porto Alegre,III Perimetral,0,,EPTC
Latin America,Brazil,Porto Alegre,Av. Aureliano de Figueiredo Pinto - Av. Érico Veríssimo (Cascatinha),0,,EPTC
Latin America,Brazil,Porto Alegre,Av. João Pessoa,0,,EPTC
Latin America,Brazil,Porto Alegre,Av. Azenha - Av. Bento,0,,EPTC
Latin America,Brazil,Porto Alegre,Av. Bento Gonçalves,0,,EPTC
Latin America,Brazil,Porto Alegre,Av. Osvaldo Aranha - Av. Protásio Alves,0,,EPTC
Latin America,Brazil,Porto Alegre,Av. Cristovão Colombo,0,,EPTC
Latin America,Brazil,Porto Alegre,Av. Independência,0,,EPTC
Latin America,Brazil,Porto Alegre,Av. Teresópolis - Av. Nonoai - Av. Cavalhada,0,,Google Maps
Latin America,Brazil,Porto Alegre,Av. Brasil,0,,
Latin America,Brazil,Recife,Via Livre Leste-Oeste,0,,
Latin America,Brazil,Recife,Via Livre Norte-Sul,,,
Latin America,Brazil,Recife,Av. Conde do Boa Vista,0,,
Latin America,Brazil,Recife,Av. Sul,0,,
Latin America,Brazil,Rio de Janeiro,TransOeste,0,,
Latin America,Brazil,Rio de Janeiro,TransCarioca,0,,
Latin America,Brazil,Rio de Janeiro,BRS Copacabana - Av. Nossa Senhora de Copacabana,0,,
Latin America,Brazil,Rio de Janeiro,BRS Copacabana - Rua Barata Ribeiro,0,,
Latin America,Brazil,Rio de Janeiro,BRS Ipanema/Leblon - Rua Visconde de Pirajá (Rua Ataulfo de Paiva),0,,
Latin America,Brazil,Rio de Janeiro,BRS Ipanema/Leblon - Rua Prudente de Morais (General San Martin),0,,
Latin America,Brazil,Rio de Janeiro,BRS Antônio Carlos,0,,
Latin America,Brazil,Rio de Janeiro,BRS Rio Branco,0,,
Latin America,Brazil,Rio de Janeiro,BRS Presidente Vargas,0,,
Latin America,Brazil,Rio de Janeiro,BRS Estácio,0,,
Latin America,Brazil,Rio de Janeiro,BRS Tijuca,0,,
Latin America,Brazil,Rio de Janeiro,BRS 24 de maio,0,,
Latin America,Brazil,Rio de Janeiro,BRS Carioca,0,,
Latin America,Brazil,Rio de Janeiro,BRS Marechal Rondon,0,,
Latin America,Brazil,Rio de Janeiro,BRS Botafogo - Voluntários,0,,
Latin America,Brazil,Rio de Janeiro,BRS Botafogo - São Clemente,0,,
Latin America,Brazil,Salvador,Av. Tancredo Neves - Av. Luis Viana Filho (Paralela),0,,
Latin America,Brazil,Salvador,Av. Vasco da Gama,0,,
Latin America,Brazil,Salvador,Av. Mario Leal Ferreira (Bonoco),0,,
Latin America,Brazil,Santos,Ana Costa,0,,
Latin America,Brazil,São Paulo,Campo Limpo - Rebouças - Centro,0,,
Latin America,Brazil,São Paulo,Expresso Tiradentes (Eixo Sudeste),12,2014,www.prefeitura.sp.gov.br
Latin America,Brazil,São Paulo,Inajar - Rio Branco - Centro,0,,
Latin America,Brazil,São Paulo,Itapecerica - João Dias - Santo Amaro,0,,
Latin America,Brazil,São Paulo,Paes de Barros,0,,
Latin America,Brazil,São Paulo,Parelheiros - Rio Bonito - Santo Amaro,0,,
Latin America,Brazil,São Paulo,Pirituba - Lapa - Centro,0,,
Latin America,Brazil,São Paulo,Santo Amaro - Nove de Julho - Centro,0,,
Latin America,Brazil,São Paulo,Ver. José Diniz - Ibirapuera - Santa Cruz,0,,
Latin America,Brazil,São Paulo,Jd. Ângela - Guarapiranga - Santo Amaro,0,,
Latin America,Brazil,Sorocaba,Hermelino Matarazzo,0,,
Latin America,Brazil,Sorocaba,Comendador Oeterer,0,,
Latin America,Brazil,Sumaré,Corredor Metropolitano Noroeste,3,,EMTU
Latin America,Brazil,Teresina,Av. Frei Serafim,0,,
Latin America,Brazil,Uberaba,Leste/Oeste,,,
Latin America,Brazil,Uberlândia,Estrutural Sudeste,0,,
Latin America,Chile,Santiago,Avenida Grecia,0,,"Observation, EMBARQ"
Latin America,Chile,Santiago,Pajaritos Norte,0,,Project Plan
Latin America,Chile,Santiago,Santa Rosa Norte,0,,"Observation, EMBARQ"
Latin America,Chile,Santiago,Blanco Encalada - Arica,0,2012,Transantiago
Latin America,Chile,Santiago,Santa Rosa Sur,0,2012,Transantiago
Latin America,Chile,Santiago,Vicuña Mackenna Norte,0,2012,Transantiago
Latin America,Chile,Santiago,Anillo Intermedio Norte,0,2012,Transantiago
Latin America,Chile,Santiago,Las Industrias,0,2012,Transantiago
Latin America,Chile,Santiago,Departamental Poniente,0,2012,Transantiago
Latin America,Chile,Santiago,Dorsal,0,2012,Transantiago
Latin America,Chile,Santiago,Pedro Aguirre Cerda,0,,
Latin America,Chile,Santiago,Suiza - Las Rejas,,,
Latin America,Chile,Santiago,Vicuña Mackenna Sur,,,
Latin America,Chile,Santiago,Pajaritos Sur,0,,
Latin America,Colombia,Barranquilla,Troncal Murillo,0,,
Latin America,Colombia,Barranquilla,Troncal Olaya,0,,
Latin America,Colombia,Bogotá,Calle 80,0,,
Latin America,Colombia,Bogotá,Caracas,0,,
Latin America,Colombia,Bogotá,Caracas Sur,0,,
Latin America,Colombia,Bogotá,Eje Ambiental,0,,
Latin America,Colombia,Bogotá,Norte,0,,
Latin America,Colombia,Bogotá,Américas,0,,
Latin America,Colombia,Bogotá,NQS Central,0,,
Latin America,Colombia,Bogotá,NQS Sur,0,,
Latin America,Colombia,Bogotá,Suba,0,,
Latin America,Colombia,Bogotá,Calle 26,0,,
Latin America,Colombia,Bogotá,Carrera 10,0,,
Latin America,Colombia,Bucaramanga,Metrolínea,6.75,,Metrolínea
Latin America,Colombia,Cali,Avenida 3,0,,
Latin America,Colombia,Cali,Centro (Calle 13/Calle 15),0,,
Latin America,Colombia,Cali,Carrera 1,0,,
Latin America,Colombia,Cali,Calle 5,0,,
Latin America,Colombia,Cali,Carrera 15,0,,
Latin America,Colombia,Cali,Aguablanca,0,,
Latin America,Colombia,Medellín,Línea 1,0,,
Latin America,Colombia,Medellín,Línea 2,0,,
Latin America,Colombia,Pereira,Ruta 1,0,2015,Google Maps
Latin America,Colombia,Pereira,Ruta 2,0,2015,Google Maps
Latin America,Colombia,Pereira,Ruta 3,0,2015,Google Maps
Latin America,Ecuador,Guayaquil,Guasmo - Río Daule,2.2,,Metrovía
Latin America,Ecuador,Guayaquil,Bastión Popular - Centro,0,,Metrovía
Latin America,Ecuador,Guayaquil,25 de Julio - Río Daule,0,,
Latin America,Ecuador,Quito,Ecovía (North Eastern Corridor),0,,"Eduardo Sierra, Trolebus"
Latin America,Ecuador,Quito,TroleBús,0,,"Eduardo Sierra, Trolebus"
Latin America,Ecuador,Quito,Central Norte,0,,
Latin America,Ecuador,Quito,Sur Oriental,0,,
Latin America,Ecuador,Quito,Sur Occidental,0,2012,Empresa Pública Metropolitana de Transporte de Pasajeros de Quito (EPMTPQ)
Latin America,El Salvador,Gran San Salvador,Corredor SITRAMSS,,,
Latin America,Guatemala,Guatemala,Ramal Central,0,,www.muniguate.com
Latin America,Guatemala,Guatemala,Ramal Sur,0,,transmetro.muniguate.com
Latin America,Mexico,Chihuahua,ViveBús,0,2013,
Latin America,Mexico,Ecatepec,Linea I: Ciudad Azteca - Ojo de Agua,0,,
Latin America,Mexico,Guadalajara,Línea 1,0,,
Latin America,Mexico,Guadalupe,Guadalupe,0,2009,Google Maps
Latin America,Mexico,León de los Aldama,Sistema Integrado de Transporte Optibus,0,,
Latin America,Mexico,Mexico City,"Línea 1, Indios Verdes - Caminero",0,2014,Google Earth
Latin America,Mexico,Mexico City,"Línea 2, Tacubaya - Tepalcates",0,2014,Google Earth
Latin America,Mexico,Mexico City,"Línea 3, Tenayuca - Etiopia II",0,2014,Google Earth
Latin America,Mexico,Mexico City,"Línea 4, Buenavista - San Lázaro - Aeropuerto",0,2014,Google Earth
Latin America,Mexico,Mexico City,"Línea 5, Río de los Remedios - San Lázaro",0,2014,Google Earth
Latin America,Mexico,Juárez,ViveBús,,,
Latin America,Mexico,Monterrey,Ecovía,,,
Latin America,Mexico,Nezahualcoyotl,Linea III: Chimalhuacán - Pantitlán,0,2013,
Latin America,Mexico,Puebla,Línea 1,0,2013,www.rutapuebla.mx
Latin America,Mexico,Puebla,Línea 2,,,
Latin America,Panama,Panama,Cinta Costera,0,,
Latin America,Peru,Lima,COSAC I,9.2,,Instituto Metropolitano PROTRANSPORTE de Lima 
Latin America,Trinidad and Tobago,Port of Spain - Arima,Priority Bus Route,0,,
Latin America,Uruguay,Montevideo,Corredor Garzón,0,,
Latin America,Venezuela,Caracas,Línea 7,0,,
Latin America,Venezuela,Merida,Trolebús de Mérida - Línea 1,0,2013,www.tromerca.gob.ve
Latin America,Venezuela,Barquisimeto,Ruta 1,0,,
Latin America,Venezuela,Barquisimeto,Ruta 2,0,,
Northern America,Canada,Brampton,Queen East,,,
Northern America,Canada,Brampton,Main,,,
Northern America,Canada,Brampton,Steeles East,,,
Northern America,Canada,Brampton,Bovaird Drive,,,
Northern America,Canada,Gatineau,Rapibus,0,2013,Google Maps
Northern America,Canada,Halifax,,,,
Northern America,Canada,Ottawa,Transitway,35.4,2015,www.octranspo1.com
Northern America,Canada,Vancouver,Broadway Corridor,0,,
Northern America,Canada,Waterloo,200 iXpress,,,
Northern America,Canada,Waterloo,201 iXpress,,,
Northern America,Canada,Winnipeg,RT,,,
Northern America,Canada,York Regional Municipality,Line2,,,
Northern America,United States,Albuquerque,The Red Line (766),1.1,2009,www.fta.dot.gov
Northern America,United States,Boston,Silver Line Waterfront,4,,
Northern America,United States,Boston,Silver Line Washington Street,0,,
Northern America,United States,Chicago,Jeffery Jump,0,2013,
Northern America,United States,Cleveland,HealthLine,0,2013,RTA
Northern America,United States,Eugene,Green Line,0,2013,LTD
Northern America,United States,Eugene,Gateway Line,0,2013,LTD
Northern America,United States,Everett,,0,2013,
Northern America,United States,Kansas City,Main Street,0,2012,KCATA
Northern America,United States,Kansas City,Troost Avenue,0,2012,KCATA
Northern America,United States,Las Vegas,MAX (Metropolitan Area Express),0,2013,Google maps
Northern America,United States,Las Vegas,SDX (Strip & Downtown Express),0,2013,
Northern America,United States,Las Vegas,SX (Sahara Express),0,2013,
Northern America,United States,Los Angeles,Orange Line,0,,
Northern America,United States,Miami,South Miami-Dade Busway,,,
Northern America,United States,New York,Bx12 SBS (Fordham Road - Pelham Pkwy),0,2010,Approximated by Google Earth and trb.metapress.com
Northern America,United States,New York,M15 SBS (1st/2nd Ave),0,2011,Google Earth and www.nyc.gov
Northern America,United States,New York,M34/M34A SBS (34th Street),,,
Northern America,United States,New York,S79 SBS (Hylan Boulevard),0,2015,web.mta.info
Northern America,United States,New York,B44 SBS (Nostrand Avenue),,,
Northern America,United States,New York,Bx41 SBS (Webster Avenue),0,2015,web.mta.info
Northern America,United States,Oakland,San Pablo Rapid,,,
Northern America,United States,Orlando,LYNX Lymmo,,,
Northern America,United States,Phoenix,,,,
Northern America,United States,Pittsburgh,MLK East Busway,,,
Northern America,United States,Pittsburgh,South Busway,,,
Northern America,United States,Pittsburgh,West Busway,,,
Northern America,United States,San Bernardino,sbX,0,2014,
Northern America,United States,San Diego,UTC Transit Center – UCSD,,,
Northern America,United States,San Diego,UTC East Loop,,,
Northern America,United States,Snohomish County,,,,
Northern America,United States,Stockton,Route #40 - Pacific Corridor,,,
Northern America,United States,Stockton,Route #43 - Hammer Corridor,,,
Northern America,United States,Stockton,Route #44 - Airport Corridor,,,
Oceania,Australia,Adelaide,North East Busway,12,2013,"Currie G; Delbosc, A; Assessing bus rapid transit system performance in Australasia"
Oceania,Australia,Brisbane,South East Busway,16.5,2013,"Currie G; Delbosc, A; Assessing bus rapid transit system performance in Australasia"
Oceania,Australia,Brisbane,Northern Busway,7.9,2013,"Currie G; Delbosc, A; Assessing bus rapid transit system performance in Australasia"
Oceania,Australia,Brisbane,Eastern Busway,4,2013,"Currie G; Delbosc, A; Assessing bus rapid transit system performance in Australasia"
Oceania,Australia,Sydney - Blacktown - Rouse Hill,Blacktown to Rouse Hill (North-West T-way),0,,
