Region,Country,City,Corridor,Value,Year,Source
Africa,Nigeria,Lagos,Lagos BRT,14.3,2015,www.lamata-ng.com
Africa,South Africa,Cape Town,1A,,,
Africa,South Africa,Johannesburg,1A,25.5,2013,Rea Vaya
Africa,South Africa,Johannesburg,1B,18,2013,Rea Vaya
Asia,China,Beijing,BRT 1,14,2013,CUSTReC CATS
Asia,China,Beijing,BRT 2,9.5,2013,www.chinabrt.org
Asia,China,Beijing,BRT 3,11,2013,www.chinabrt.org
Asia,China,Beijing,BRT 4,24.5,2013,www.chinabrt.org
Asia,China,Changde,Line 1,18.9,2013,www.chinabrt.org
Asia,China,Changzhou,Line 1,26.7,2013,www.chinabrt.org
Asia,China,Changzhou,Line 2,19.3,2013,www.chinabrt.org
Asia,China,Chengdu,2nd Ring Elevated Road,0,2014,www.worldbrt.net
Asia,China,Chongqing,Chongqing BRT,,,
Asia,China,Dalian,Dalian BRT,9,2013,www.chinabrt.org
Asia,China,Guangzhou,Zhongshan Avenue,22.5,2013,www.chinabrt.org
Asia,China,Hangzhou,Line 1,7,2013,www.chinabrt.org
Asia,China,Hangzhou,Line 2,11.8,2013,www.chinabrt.org
Asia,China,Hangzhou,Line 3,,,
Asia,China,Hefei,Changjiang Lu,,,
Asia,China,Jinan,BRT-1,,,
Asia,China,Jinan,BRT-2,,,
Asia,China,Jinan,BRT-3,,,
Asia,China,Jinan,BRT-4,,,
Asia,China,Jinan,BRT-5,,,
Asia,China,Jinan,BRT-6,,,
Asia,China,Jinan,BRT-7,,,
Asia,China,Kunming,,,,
Asia,China,Lanzhou,Line 1,8.6,2013,www.chinabrt.org
Asia,China,Lianyungang,Line 1,34,2013,www.chinabrt.org
Asia,China,Urumqi,Line 1,,,
Asia,China,Urumqi,Line 2,,,
Asia,China,Urumqi,Line 3,,,
Asia,China,Urumqi,Line 4,,,
Asia,China,Xiamen,Line 1,,,
Asia,China,Xiamen,Line 2,,,
Asia,China,Xiamen,Line 3,,,
Asia,China,Yancheng,Line 1,16,2013,www.chinabrt.org
Asia,China,Yichang,Phase 1,13,2015,www.itdp.org
Asia,China,Yinchuan,Line 1,17,2013,www.chinabrt.org
Asia,China,Zaozhuang,Line 1,33,2013,www.chinabrt.org
Asia,China,Zhengzhou,Line 1,26.6,2013,www.chinabrt.org
Asia,India,Ahmedabad,,,,
Asia,India,Bhopal,,24,2013,EMBARQ India
Asia,India,Indore,,11.45,2013,EMBARQ India
Asia,India,Jaipur,,7.1,2011,"Primary Survey, EMBARQ"
Asia,India,Pune,,17,2011,"Primary Survey, EMBARQ"
Asia,India,Rajkot,,10.7,2013,EMBARQ India
Asia,India,Surat,Udhna Darwaza to Sachin GIDC,10,2014,cept.ac.in
Asia,Indonesia,Jakarta,Koridor 1,,,
Asia,Indonesia,Jakarta,Koridor 2,,,
Asia,Indonesia,Jakarta,Koridor 3,,,
Asia,Indonesia,Jakarta,Koridor 4,,,
Asia,Indonesia,Jakarta,Koridor 5,,,
Asia,Indonesia,Jakarta,Koridor 6,,,
Asia,Indonesia,Jakarta,Koridor 7,,,
Asia,Indonesia,Jakarta,Koridor 8,,,
Asia,Indonesia,Jakarta,Koridor 9,,,
Asia,Indonesia,Jakarta,Koridor 10,,,
Asia,Indonesia,Jakarta,Koridor 11,,,
Asia,Indonesia,Jakarta,Koridor 12,,,
Asia,Iran,Tabriz,,,,
Asia,Iran,Tehran,Line 1,18.7,2014,trafficorg.tehran.ir
Asia,Iran,Tehran,Line 2,18.7,2014,trafficorg.tehran.ir
Asia,Iran,Tehran,Line 3,14.3,2014,trafficorg.tehran.ir
Asia,Iran,Tehran,Line 4,21.5,2014,trafficorg.tehran.ir
Asia,Iran,Tehran,Line 5,22,2012,www.ijsei.com
Asia,Iran,Tehran,Line 7,18.5,2014,trafficorg.tehran.ir
Asia,Iran,Tehran,Line 8,6.2,2012,www.ijsei.com
Asia,Iran,Tehran,Line 10,10,2014,trafficorg.tehran.ir
Asia,Israel,Haifa,The Red Line,25,"2013, 6.2 km are commom to 3 corridors; 6.6 km are commom to Red and Blue 6.6 km are commom to Red and Blue",www.dannorth.co.il
Asia,Israel,Haifa,The Blue Line,18,"2013, 6.2 km are commom to 3 corridors; 6.6 km are commom to Red and Blue 6.6 km are commom to Red and Blue",www.dannorth.co.il
Asia,Israel,Haifa,The Green Line,16,"2013, 6.2 km are commom to 3 corridors; 6.6 km are commom to Red and Blue 6.6 km are commom to Red and Blue",www.dannorth.co.il
Asia,Japan,Kesennuma - Tome,Kesennuma Line,0,2014,ja.wikipedia.org
Asia,Japan,Nagoya,Yutorito Line,,,
Asia,Malaysia,Subang Jaya,BRT Sunway Line,0,2015,www.myrapid.com.my
