Region,Country,City,Corridor,Value,Year,Source
Africa,Nigeria,Lagos,Lagos BRT,30,2015,www.lamata-ng.com
Africa,South Africa,Cape Town,1A,,,
Africa,South Africa,Johannesburg,1A,30,2013,www.embarq.org
Africa,South Africa,Johannesburg,1B,,,
Asia,China,Beijing,BRT 1,26,2013,CUSTReC CATS
Asia,China,Beijing,BRT 2,,,
Asia,China,Beijing,BRT 3,,,
Asia,China,Beijing,BRT 4,,,
Asia,China,Changde,Line 1,31,2013,www.chinabrt.org
Asia,China,Changzhou,Line 1,,,
Asia,China,Changzhou,Line 2,,,
Asia,China,Chengdu,2nd Ring Elevated Road,26,2013,www.gochengdoo.com
Asia,China,Chongqing,Chongqing BRT,31,2011,www.chinabrt.org
Asia,China,Dalian,Dalian BRT,24,2011,www.chinabrt.org
Asia,China,Guangzhou,Zhongshan Avenue,23,2013,www.embarq.org
Asia,China,Hangzhou,Line 1,,,
Asia,China,Hangzhou,Line 2,,,
Asia,China,Hangzhou,Line 3,,,
Asia,China,Hefei,Changjiang Lu,16,2011,Viva 2010 ( www.uncrd.or.jp );www.chinabrt.org
Asia,China,Jinan,BRT-1,,,
Asia,China,Jinan,BRT-2,,,
Asia,China,Jinan,BRT-3,,,
Asia,China,Jinan,BRT-4,,,
Asia,China,Jinan,BRT-5,,,
Asia,China,Jinan,BRT-6,,,
Asia,China,Jinan,BRT-7,,,
Asia,China,Kunming,,,,
Asia,China,Lanzhou,Line 1,22,2013,www.chinabrt.org
Asia,China,Lianyungang,Line 1,18,2013,www.chinabrt.org
Asia,China,Urumqi,Line 1,,,
Asia,China,Urumqi,Line 2,,,
Asia,China,Urumqi,Line 3,,,
Asia,China,Urumqi,Line 4,,,
Asia,China,Xiamen,Line 1,,,
Asia,China,Xiamen,Line 2,,,
Asia,China,Xiamen,Line 3,,,
Asia,China,Yancheng,Line 1,18,2012,www.chinabrt.org
Asia,China,Yichang,Phase 1,20,2015,itdp-china.org
Asia,China,Yinchuan,Line 1,15,2013,www.chinabrt.org
Asia,China,Zaozhuang,Line 1,30,2011,www.chinabrt.org
Asia,China,Zhengzhou,Line 1,15,2013,www.chinabrt.org
Asia,India,Ahmedabad,,24,2013,www.embarq.org
Asia,India,Bhopal,,,,
Asia,India,Indore,,,,
Asia,India,Jaipur,,18,2011,"Primary Survey,EMBARQ"
Asia,India,Pune,,23,2011,"Primary Survey, EMBARQ"
Asia,India,Rajkot,,,,
Asia,India,Surat,Udhna Darwaza to Sachin GIDC,,,
Asia,Indonesia,Jakarta,Koridor 1,19,2013,www.embarq.org
Asia,Indonesia,Jakarta,Koridor 2,19,2013,www.embarq.org
Asia,Indonesia,Jakarta,Koridor 3,19,2013,www.embarq.org
Asia,Indonesia,Jakarta,Koridor 4,19,2013,www.embarq.org
Asia,Indonesia,Jakarta,Koridor 5,19,2013,www.embarq.org
Asia,Indonesia,Jakarta,Koridor 6,19,2013,www.embarq.org
Asia,Indonesia,Jakarta,Koridor 7,19,2013,www.embarq.org
Asia,Indonesia,Jakarta,Koridor 8,19,2013,www.embarq.org
Asia,Indonesia,Jakarta,Koridor 9,19,2013,www.embarq.org
Asia,Indonesia,Jakarta,Koridor 10,19,2013,www.embarq.org
Asia,Indonesia,Jakarta,Koridor 11,19,2013,www.embarq.org
Asia,Indonesia,Jakarta,Koridor 12,19,2013,www.embarq.org
Asia,Iran,Tabriz,,,,
Asia,Iran,Tehran,Line 1,,,
Asia,Iran,Tehran,Line 2,,,
Asia,Iran,Tehran,Line 3,,,
Asia,Iran,Tehran,Line 4,,,
Asia,Iran,Tehran,Line 5,,,
Asia,Iran,Tehran,Line 7,,,
Asia,Iran,Tehran,Line 8,,,
Asia,Iran,Tehran,Line 10,,,
Asia,Israel,Haifa,The Red Line,27.3,"2015, calculated using running time and corridor length",www.dannorth.co.il
Asia,Israel,Haifa,The Blue Line,24,"2015, calculated using running time and corridor length",www.dannorth.co.il
Asia,Israel,Haifa,The Green Line,21.3,"2015, calculated using running time and corridor length",www.dannorth.co.il
Asia,Japan,Kesennuma - Tome,Kesennuma Line,,,
Asia,Japan,Nagoya,Yutorito Line,30,2007,Bus Rapid Transit Planning Guide (ITDP) 2007 ; www.chinabrt.org
Asia,Malaysia,Subang Jaya,BRT Sunway Line,,,
Asia,Pakistan,Islamabad - Rawalpindi,Rawalpindi - Islmabad,,,
Asia,Pakistan,Lahore,,26,2015,www.pma.punjab.gov.pk
Asia,Republic of Korea,Seoul,,17,2011,Bus Rapid Transit Planning Guide (ITDP) 2007 ; www.chinabrt.org
Asia,Taiwan,Chiayi,Chiayi BRT,,,
Asia,Taiwan,Taichung,Blue Line,,,
Asia,Taiwan,Taipei,,19.5,2007,Bus Rapid Transit Planning Guide (ITDP) 2007
Asia,Thailand,Bangkok,Bangkok BRT,26,2010,Viva 2010 ( www.uncrd.or.jp );www.bangkokpost.comwww.chinabrt.org
Europe,Belgium,Liège,d’Avroy - Sauvenière,,,
Europe,Belgium,Liège,Cadran - Fontainebleau,,,
Europe,Belgium,Liège,Quai Saint-Léonard,,,
Europe,Czech Republic,Prague,Line 213,21.8,2011,COST - European Cooperation in Science and Technology
Europe,Finland,Helsinki,Runkolinja 550,26,2011,COST - European Cooperation in Science and Technology
Europe,France,Belfort,Optymo BHNS,21,2014,info.optymo.fr
Europe,France,Caen,Twisto TVR,20,2010,ITDP (2007) Bus Rapid Transit Planning Guide ; CERTU 2010
Europe,France,Cannes,Ligne 1,,,
Europe,France,Châlon-sur-Saône,Flash,19,2014,www.mobilicites.com
Europe,France,Douai,,24.7,2010,Viva 2010 ( www.uncrd.or.jp );connectedcities.eu ; lw2.easy-site.nl
Europe,France,Evry,Tice,21,2014,www.bus-tice.com
Europe,France,La Rochelle,,,,
Europe,France,Lille,,,,
Europe,France,Lorient,The Triskell,21.5,2011,COST - European Cooperation in Science and Technology .
Europe,France,Lyon,C-Lines,17,2007,ITDP (2007) Bus Rapid Transit Planning Guide ; CERTU 2010
Europe,France,Maubeuge,BHLS - Viavil,,,
Europe,France,Metz,Ligne A,20,2013,Mettis
Europe,France,Metz,Ligne B,20,2013,Mettis
Europe,France,Nancy,TVR (GLT),14.5,2010,CERTU 2010
Europe,France,Nantes,BusWay,21,2011,COST - European Cooperation in Science and Technology
Europe,France,Nice,,,,
Europe,France,Nîmes,Tango+ T1,22.5,2015,www.tangobus.fr
Europe,France,Paris,T Zen 1,,,
Europe,France,Paris,"Ligne 393, RATP",24,2012,www.agglo-hautvaldemarne.fr
Europe,France,Paris,TVM,23,2011,COST - European Cooperation in Science and Technology
Europe,France,Rouen,T1,,,
Europe,France,Rouen,T2,,,
Europe,France,Rouen,T3,,,
Europe,France,Saint-Nazaire,Hélyce,18.4,2014,Google Transit
Europe,France,Strasbourg,Ligne G,18,2014,www.en.strasbourg.eu
