Region,Country,City,Corridor,Value,Year,Source
Africa,Nigeria,Lagos,Lagos BRT,,,
Africa,South Africa,Cape Town,1A,6,2015,myciti.org.za
Africa,South Africa,Johannesburg,1A,64,2013,ITDP
Africa,South Africa,Johannesburg,1B,20,2013,www.reavaya.org.za
Asia,China,Beijing,BRT 1,60,2013,CUSTReC CATS
Asia,China,Beijing,BRT 2,,,
Asia,China,Beijing,BRT 3,,,
Asia,China,Beijing,BRT 4,,,
Asia,China,Changde,Line 1,27,2013,www.chinabrt.org
Asia,China,Changzhou,Line 1,,,
Asia,China,Changzhou,Line 2,,,
Asia,China,Chengdu,2nd Ring Elevated Road,40,2013,www.gochengdoo.com
Asia,China,Chongqing,Chongqing BRT,6,2011,www.chinabrt.org
Asia,China,Dalian,Dalian BRT,75,2011,www.chinabrt.org
Asia,China,Guangzhou,Zhongshan Avenue,350,2013,www.chinabrt.org
Asia,China,Hangzhou,Line 1,,,
Asia,China,Hangzhou,Line 2,,,
Asia,China,Hangzhou,Line 3,,,
Asia,China,Hefei,Changjiang Lu,55,2011,www.chinabrt.org
Asia,China,Jinan,BRT-1,,,
Asia,China,Jinan,BRT-2,,,
Asia,China,Jinan,BRT-3,,,
Asia,China,Jinan,BRT-4,,,
Asia,China,Jinan,BRT-5,,,
Asia,China,Jinan,BRT-6,,,
Asia,China,Jinan,BRT-7,,,
Asia,China,Kunming,,,,
Asia,China,Lanzhou,Line 1,87,2013,www.chinabrt.org
Asia,China,Lianyungang,Line 1,25,2013,www.chinabrt.org
Asia,China,Urumqi,Line 1,,,
Asia,China,Urumqi,Line 2,,,
Asia,China,Urumqi,Line 3,,,
Asia,China,Urumqi,Line 4,,,
Asia,China,Xiamen,Line 1,,,
Asia,China,Xiamen,Line 2,,,
Asia,China,Xiamen,Line 3,,,
Asia,China,Yancheng,Line 1,30,2011,www.chinabrt.org
Asia,China,Yichang,Phase 1,94,2015,www.chinabrt.org
Asia,China,Yinchuan,Line 1,63,2013,www.chinabrt.org
Asia,China,Zaozhuang,Line 1,27,2011,www.chinabrt.org
Asia,China,Zhengzhou,Line 1,52,2011,www.chinabrt.org
Asia,India,Ahmedabad,,20,2012,www.worldbrt.net
Asia,India,Bhopal,,6,2013,www.centralchronicle.com
Asia,India,Indore,,,,
Asia,India,Jaipur,,23,2011,"Primary Survey, EMBARQ"
Asia,India,Pune,,120,2011,"Primary Survey, EMBARQ"
Asia,India,Rajkot,,,,
Asia,India,Surat,Udhna Darwaza to Sachin GIDC,6,2014,www.globalmasstransit.net
Asia,Indonesia,Jakarta,Koridor 1,40,2011,www.chinabrt.org
Asia,Indonesia,Jakarta,Koridor 2,40,2011,www.chinabrt.org
Asia,Indonesia,Jakarta,Koridor 3,40,2011,www.chinabrt.org
Asia,Indonesia,Jakarta,Koridor 4,40,2011,www.chinabrt.org
Asia,Indonesia,Jakarta,Koridor 5,40,2011,www.chinabrt.org
Asia,Indonesia,Jakarta,Koridor 6,40,2011,www.chinabrt.org
Asia,Indonesia,Jakarta,Koridor 7,40,2011,www.chinabrt.org
Asia,Indonesia,Jakarta,Koridor 8,40,2011,www.chinabrt.org
Asia,Indonesia,Jakarta,Koridor 9,40,2011,www.chinabrt.org
Asia,Indonesia,Jakarta,Koridor 10,40,2011,www.chinabrt.org
Asia,Indonesia,Jakarta,Koridor 11,40,2011,www.chinabrt.org
Asia,Indonesia,Jakarta,Koridor 12,40,2011,www.chinabrt.org
Asia,Iran,Tabriz,,,,
Asia,Iran,Tehran,Line 1,90,2013,en.tehran.ir
Asia,Iran,Tehran,Line 2,,,
Asia,Iran,Tehran,Line 3,,,
Asia,Iran,Tehran,Line 4,,,
Asia,Iran,Tehran,Line 5,,,
Asia,Iran,Tehran,Line 7,,,
Asia,Iran,Tehran,Line 8,,,
Asia,Iran,Tehran,Line 10,,,
Asia,Israel,Haifa,The Red Line,15,2015,www.dannorth.co.il
Asia,Israel,Haifa,The Blue Line,10,2015,www.dannorth.co.il
Asia,Israel,Haifa,The Green Line,10,2015,www.dannorth.co.il
Asia,Japan,Kesennuma - Tome,Kesennuma Line,5,2014,ja.wikipedia.org
Asia,Japan,Nagoya,Yutorito Line,17,2007,Bus Rapid Transit Planning Guide (ITDP) 2007 ; www.chinabrt.org
Asia,Malaysia,Subang Jaya,BRT Sunway Line,15,2015,www.thestar.com.my
Asia,Pakistan,Islamabad - Rawalpindi,Rawalpindi - Islmabad,21,2015,www.worldbrt.net
Asia,Pakistan,Lahore,,30,2015,www.pma.punjab.gov.pk
Asia,Republic of Korea,Seoul,,,,
Asia,Taiwan,Chiayi,Chiayi BRT,,,
Asia,Taiwan,Taichung,Blue Line,,,
Asia,Taiwan,Taipei,,,,
Asia,Thailand,Bangkok,Bangkok BRT,14,2010,Viva 2010 ( www.uncrd.or.jp );www.bangkokpost.com www.chinabrt.org
Europe,Belgium,Liège,d’Avroy - Sauvenière,,,
Europe,Belgium,Liège,Cadran - Fontainebleau,,,
Europe,Belgium,Liège,Quai Saint-Léonard,,,
Europe,Czech Republic,Prague,Line 213,10,2011,COST - European Cooperation in Science and Technology
Europe,Finland,Helsinki,Runkolinja 550,20,2011,COST - European Cooperation in Science and Technology
Europe,France,Belfort,Optymo BHNS,12,2014,info.optymo.fr
Europe,France,Caen,Twisto TVR,10,2010,ITDP (2007) Bus Rapid Transit Planning Guide ; CERTU 2010
Europe,France,Cannes,Ligne 1,12,2014,www.silteplait.info
Europe,France,Châlon-sur-Saône,Flash,6,2014,www.mobilicites.com
Europe,France,Douai,,,,
Europe,France,Evry,Tice,,,
Europe,France,La Rochelle,,,,
Europe,France,Lille,,,,
Europe,France,Lorient,The Triskell,9,2011,COST - European Cooperation in Science and Technology .
Europe,France,Lyon,C-Lines,,,
Europe,France,Maubeuge,BHLS - Viavil,,,
Europe,France,Metz,Ligne A,12,2013,Mettis
Europe,France,Metz,Ligne B,12,2013,Mettis
Europe,France,Nancy,TVR (GLT),13,2010,CERTU
Europe,France,Nantes,BusWay,17,2011,COST - European Cooperation in Science and Technology
Europe,France,Nice,,,,
Europe,France,Nîmes,Tango+ T1,12,2015,trambus.nimes-metropole.fr
Europe,France,Paris,T Zen 1,,,
Europe,France,Paris,"Ligne 393, RATP",12,2012,www.agglo-hautvaldemarne.fr
Europe,France,Paris,TVM,17,2011,COST - European Cooperation in Science and Technology
Europe,France,Rouen,T1,30,2011,COST - European Cooperation in Science and Technology
Europe,France,Rouen,T2,30,2011,COST - European Cooperation in Science and Technology
Europe,France,Rouen,T3,30,2011,COST - European Cooperation in Science and Technology
Europe,France,Saint-Nazaire,Hélyce,9,2013,www.mobilicites.com
Europe,France,Strasbourg,Ligne G,,,
Europe,France,Toulouse,,8,2010,Viva 2010 ( www.uncrd.or.jp ); CERTU 2010
Europe,Germany,Essen,The Spurbus,6,2011,COST - European Cooperation in Science and Technology
Europe,Germany,Hamburg,Line 5,12,2011,COST - European Cooperation in Science and Technology
Europe,Germany,Oberhausen,ÖPNV-Trasse,40,2011,COST - European Cooperation in Science and Technology
Europe,Ireland,Dublin,,,,
Europe,Italy,Brescia,LAM1,12,2011,COST - European Cooperation in Science and Technology
Europe,Italy,Brescia,LAM2,9,2011,COST - European Cooperation in Science and Technology
Europe,Italy,Prato,Blu,9,2015,www.capautolinee.it
Europe,Italy,Prato,Arancio,4,2015,www.capautolinee.it
Europe,Italy,Prato,Rossa,6,2015,www.capautolinee.it
Europe,Netherlands,Almere,Line 1,9,2011,COST - European Cooperation in Science and Technology
Europe,Netherlands,Amsterdam,Zuidtangent,10,2011,COST - European Cooperation in Science and Technology
Europe,Netherlands,Eindhoven,Phileas,,,
Europe,Netherlands,Enschede,Line 2,,,
Europe,Netherlands,Enschede,Line3,,,
Europe,Netherlands,Utrecht,,8,2010,Viva 2010 ( www.uncrd.or.jp );www.ashford.gov.uk ; www.chinabrt.org
Europe,Portugal,Lisbon,24 de Julho Corridor (mixed traffic with 10 tramways),30,2011,COST - European Cooperation in Science and Technology
Europe,Spain,Barcelona,Línia 64: Barceloneta - Pedralbes,8,2015,www.tmb.cat
Europe,Spain,Castellon,Line 1,12,2011,COST - European Cooperation in Science and Technology
Europe,Spain,Madrid,Bus VAO,185,2011,COST - European Cooperation in Science and Technology
Europe,Spain,Granada,LAC,3,2015,www.granadadirect.com
Europe,Sweden,Gothenburg,Stombuss,20,2011,COST - European Cooperation in Science and Technology
Europe,Sweden,Jonkoping,Line1,,,
Europe,Sweden,Jonkoping,Line2,,,
Europe,Sweden,Jonkoping,Line3,,,
Europe,Sweden,Stockholm,,15,2011,COST - European Cooperation in Science and Technology
Europe,Switzerland,Zurich,Line 31,8,2011,COST - European Cooperation in Science and Technology
Europe,Turkey,Istanbul,TUYAP - Sogutlucesme Metrobus Corridor,156,2013,IETT
Europe,United Kingdom,Bradford,Manchester Road,22,,webarchive.nationalarchives.gov.uk
Europe,United Kingdom,Cambridge,The Busway,12,2015,embarqbrasil.org
Europe,United Kingdom,Crawley,,6,2007,Bus Rapid Transit Planning Guide (ITDP) 2007
Europe,United Kingdom,Edinburgh,,15,2010,Viva 2010 ( www.uncrd.or.jp );www.ashford.gov.uk
Europe,United Kingdom,Fareham - Gosport,Eclipse,12,2013,www3.hants.gov.uk
Europe,United Kingdom,Kent,Fastrack,,,
Europe,United Kingdom,Leeds,,,,
Europe,United Kingdom,London,,,,
Europe,United Kingdom,Luton,,,,
Europe,United Kingdom,Manchester,A6 Corridor,10,2011,COST - European Cooperation in Science and Technology
Europe,United Kingdom,Runcorn,,6,2013,www.google.com.br
Europe,United Kingdom,Swansea,,,,
Europe,United Kingdom,York,FTR,,,
Latin America,Argentina,Buenos Aires,Sur - Ramal Coronel Roca,,,
Latin America,Argentina,Buenos Aires,Sur - Ramal Fernandéz de la Cruz,,,
Latin America,Argentina,Buenos Aires,9 de Julio,,,
Latin America,Argentina,Buenos Aires,Juan B. Justo,30,2011,movilidad.buenosaires.gob.ar
Latin America,Argentina,Córdoba,Sabattini,,,
Latin America,Argentina,Rosario,Santa Fé - Maipú,,,
Latin America,Argentina,Rosario,San Lorenzo - Laprida,,,
Latin America,Argentina,Rosario,Córdoba,,,
Latin America,Brazil,Belém,Almirante Barroso,,,
Latin America,Brazil,Belo Horizonte,MOVE - Antônio Carlos,500,,BHTrans
Latin America,Brazil,Belo Horizonte,MOVE - Cristiano Machado,9,2014,www.brasil.gov.br
Latin America,Brazil,Belo Horizonte,Nossa Senhora do Carmo,127,,BHTrans
Latin America,Brazil,Belo Horizonte,Boulevard Arrudas,,,
Latin America,Brazil,Belo Horizonte,MOVE - Área Central,19,2014,www.bhtrans.pbh.gov.br
Latin America,Brazil,Belo Horizonte,Amazonas,405,,BHTrans
Latin America,Brazil,Belo Horizonte,Pedro II,,,
Latin America,Brazil,Blumenau,Rua 7 de Setembro,,,
Latin America,Brazil,Blumenau,Av. Martin Luther,,,
Latin America,Brazil,Blumenau, Av. Presidente Castelo Branco (Beira-Rio),,,
Latin America,Brazil,Blumenau,Rua 2 de Setembro,,,
Latin America,Brazil,Blumenau,Rua São Paulo - Iguaçu (Henrique Classen),,,
