Region,Country,City,Corridor,Value,Year,Source
Africa,Nigeria,Lagos,Lagos BRT,,,
Africa,South Africa,Cape Town,1A,,,
Africa,South Africa,Johannesburg,1A,Yes,2013,Rea Vaya
Africa,South Africa,Johannesburg,1B,Yes,2013,Rea Vaya
Asia,China,Beijing,BRT 1,No,2013,CUSTReC CATS
Asia,China,Beijing,BRT 2,No,2013,www.chinabrt.org
Asia,China,Beijing,BRT 3,No,2013,www.chinabrt.org
Asia,China,Beijing,BRT 4,No,2013,www.chinabrt.org
Asia,China,Changde,Line 1,,,
Asia,China,Changzhou,Line 1,,,
Asia,China,Changzhou,Line 2,,,
Asia,China,Chengdu,2nd Ring Elevated Road,,,
Asia,China,Chongqing,Chongqing BRT,,,
Asia,China,Dalian,Dalian BRT,,,
Asia,China,Guangzhou,Zhongshan Avenue,No,2013,www.chinabrt.org
Asia,China,Hangzhou,Line 1,,,
Asia,China,Hangzhou,Line 2,,,
Asia,China,Hangzhou,Line 3,,,
Asia,China,Hefei,Changjiang Lu,,,
Asia,China,Jinan,BRT-1,,,
Asia,China,Jinan,BRT-2,,,
Asia,China,Jinan,BRT-3,,,
Asia,China,Jinan,BRT-4,,,
Asia,China,Jinan,BRT-5,,,
Asia,China,Jinan,BRT-6,,,
Asia,China,Jinan,BRT-7,,,
Asia,China,Kunming,,,,
Asia,China,Lanzhou,Line 1,,,
Asia,China,Lianyungang,Line 1,,,
Asia,China,Urumqi,Line 1,,,
Asia,China,Urumqi,Line 2,,,
Asia,China,Urumqi,Line 3,,,
Asia,China,Urumqi,Line 4,,,
Asia,China,Xiamen,Line 1,,,
Asia,China,Xiamen,Line 2,,,
Asia,China,Xiamen,Line 3,,,
Asia,China,Yancheng,Line 1,,,
Asia,China,Yichang,Phase 1,,,
Asia,China,Yinchuan,Line 1,,,
Asia,China,Zaozhuang,Line 1,,,
Asia,China,Zhengzhou,Line 1,,,
Asia,India,Ahmedabad,,,,
Asia,India,Bhopal,,,,
Asia,India,Indore,,,,
Asia,India,Jaipur,,No,2011,"Primary Survey,EMBARQ"
Asia,India,Pune,,No,2011,"Primary Survey, EMBARQ"
Asia,India,Rajkot,,,,
Asia,India,Surat,Udhna Darwaza to Sachin GIDC,,,
Asia,Indonesia,Jakarta,Koridor 1,,,
Asia,Indonesia,Jakarta,Koridor 2,,,
Asia,Indonesia,Jakarta,Koridor 3,,,
Asia,Indonesia,Jakarta,Koridor 4,,,
Asia,Indonesia,Jakarta,Koridor 5,,,
Asia,Indonesia,Jakarta,Koridor 6,,,
Asia,Indonesia,Jakarta,Koridor 7,,,
Asia,Indonesia,Jakarta,Koridor 8,,,
Asia,Indonesia,Jakarta,Koridor 9,,,
Asia,Indonesia,Jakarta,Koridor 10,,,
Asia,Indonesia,Jakarta,Koridor 11,,,
Asia,Indonesia,Jakarta,Koridor 12,,,
Asia,Iran,Tabriz,,,,
Asia,Iran,Tehran,Line 1,N/A,2014,trafficorg.tehran.ir
Asia,Iran,Tehran,Line 2,N/A,2014,trafficorg.tehran.ir
Asia,Iran,Tehran,Line 3,N/A,2014,trafficorg.tehran.ir
Asia,Iran,Tehran,Line 4,N/A,2014,trafficorg.tehran.ir
Asia,Iran,Tehran,Line 5,N/A,2014,trafficorg.tehran.ir
Asia,Iran,Tehran,Line 7,N/A,2014,trafficorg.tehran.ir
Asia,Iran,Tehran,Line 8,N/A,2014,trafficorg.tehran.ir
Asia,Iran,Tehran,Line 10,N/A,2014,trafficorg.tehran.ir
Asia,Israel,Haifa,The Red Line,,,
Asia,Israel,Haifa,The Blue Line,,,
Asia,Israel,Haifa,The Green Line,,,
Asia,Japan,Kesennuma - Tome,Kesennuma Line,,,
Asia,Japan,Nagoya,Yutorito Line,,,
Asia,Malaysia,Subang Jaya,BRT Sunway Line,Yes,2015,www.chatpropertymalaysia.com
Asia,Pakistan,Islamabad - Rawalpindi,Rawalpindi - Islmabad,No,2015,www.worldbrt.net
Asia,Pakistan,Lahore,,,,
Asia,Republic of Korea,Seoul,,,,
Asia,Taiwan,Chiayi,Chiayi BRT,,,
Asia,Taiwan,Taichung,Blue Line,,,
Asia,Taiwan,Taipei,,,,
Asia,Thailand,Bangkok,Bangkok BRT,,,
Europe,Belgium,Liège,d’Avroy - Sauvenière,,,
Europe,Belgium,Liège,Cadran - Fontainebleau,,,
Europe,Belgium,Liège,Quai Saint-Léonard,,,
Europe,Czech Republic,Prague,Line 213,N/A,,
Europe,Finland,Helsinki,Runkolinja 550,,,
Europe,France,Belfort,Optymo BHNS,,,
Europe,France,Caen,Twisto TVR,,,
Europe,France,Cannes,Ligne 1,,,
Europe,France,Châlon-sur-Saône,Flash,,,
Europe,France,Douai,,,,
Europe,France,Evry,Tice,,,
Europe,France,La Rochelle,,,,
Europe,France,Lille,,,,
Europe,France,Lorient,The Triskell,,,
Europe,France,Lyon,C-Lines,,,
Europe,France,Maubeuge,BHLS - Viavil,,,
Europe,France,Metz,Ligne A,N/A,2013,mettis.metzmetropole.fr
Europe,France,Metz,Ligne B,N/A,2013,mettis.metzmetropole.fr
Europe,France,Nancy,TVR (GLT),,,
Europe,France,Nantes,BusWay,N/A,2011,COST - European Cooperation in Science and Technology
Europe,France,Nice,,,,
Europe,France,Nîmes,Tango+ T1,,,
Europe,France,Paris,T Zen 1,N/A,2011,COST - European Cooperation in Science and Technology
Europe,France,Paris,"Ligne 393, RATP",N/A,2011,COST - European Cooperation in Science and Technology
Europe,France,Paris,TVM,N/A,2011,COST - European Cooperation in Science and Technology
Europe,France,Rouen,T1,N/A,2011,COST - European Cooperation in Science and Technology
Europe,France,Rouen,T2,N/A,2011,COST - European Cooperation in Science and Technology
Europe,France,Rouen,T3,N/A,2011,COST - European Cooperation in Science and Technology
Europe,France,Saint-Nazaire,Hélyce,N/A,,
Europe,France,Strasbourg,Ligne G,N/A,,
Europe,France,Toulouse,,,,
Europe,Germany,Essen,The Spurbus,N/A,2011,COST - European Cooperation in Science and Technology
Europe,Germany,Hamburg,Line 5,N/A,2011,COST - European Cooperation in Science and Technology
Europe,Germany,Oberhausen,ÖPNV-Trasse,,,
Europe,Ireland,Dublin,,,,
Europe,Italy,Brescia,LAM1,,,
Europe,Italy,Brescia,LAM2,,,
Europe,Italy,Prato,Blu,,,
Europe,Italy,Prato,Arancio,,,
Europe,Italy,Prato,Rossa,,,
Europe,Netherlands,Almere,Line 1,Yes,2011,COST - European Cooperation in Science and Technology
Europe,Netherlands,Amsterdam,Zuidtangent,N/A,2011,COST - European Cooperation in Science and Technology
Europe,Netherlands,Eindhoven,Phileas,,,
Europe,Netherlands,Enschede,Line 2,,,
Europe,Netherlands,Enschede,Line3,,,
Europe,Netherlands,Utrecht,,,,
Europe,Portugal,Lisbon,24 de Julho Corridor (mixed traffic with 10 tramways),,,
Europe,Spain,Barcelona,Línia 64: Barceloneta - Pedralbes,Yes,2015,www.tmb.cat
Europe,Spain,Castellon,Line 1,,,
Europe,Spain,Madrid,Bus VAO,,,
Europe,Spain,Granada,LAC,Yes,2014,www.movilidadgranada.com
Europe,Sweden,Gothenburg,Stombuss,Yes,2011,COST - European Cooperation in Science and Technology
Europe,Sweden,Jonkoping,Line1,,,
Europe,Sweden,Jonkoping,Line2,,,
Europe,Sweden,Jonkoping,Line3,,,
Europe,Sweden,Stockholm,,,,
Europe,Switzerland,Zurich,Line 31,Yes,2011,COST - European Cooperation in Science and Technology
Europe,Turkey,Istanbul,TUYAP - Sogutlucesme Metrobus Corridor,No,,
Europe,United Kingdom,Bradford,Manchester Road,,,
Europe,United Kingdom,Cambridge,The Busway,N/A,2013,
Europe,United Kingdom,Crawley,,,,
Europe,United Kingdom,Edinburgh,,,,
Europe,United Kingdom,Fareham - Gosport,Eclipse,N/A,2013,
Europe,United Kingdom,Kent,Fastrack,,,
Europe,United Kingdom,Leeds,,,,
Europe,United Kingdom,London,,,,
Europe,United Kingdom,Luton,,,,
Europe,United Kingdom,Manchester,A6 Corridor,,,
Europe,United Kingdom,Runcorn,,,,
Europe,United Kingdom,Swansea,,,,
Europe,United Kingdom,York,FTR,,,
Latin America,Argentina,Buenos Aires,Sur - Ramal Coronel Roca,No,2013,
Latin America,Argentina,Buenos Aires,Sur - Ramal Fernandéz de la Cruz,No,2013,
Latin America,Argentina,Buenos Aires,9 de Julio,No,2013,
Latin America,Argentina,Buenos Aires,Juan B. Justo,No,2013,
Latin America,Argentina,Córdoba,Sabattini,,,
Latin America,Argentina,Rosario,Santa Fé - Maipú,No,2013,
Latin America,Argentina,Rosario,San Lorenzo - Laprida,No,2013,
Latin America,Argentina,Rosario,Córdoba,No,2013,
Latin America,Brazil,Belém,Almirante Barroso,,,
Latin America,Brazil,Belo Horizonte,MOVE - Antônio Carlos,Yes,2014,BHTrans
Latin America,Brazil,Belo Horizonte,MOVE - Cristiano Machado,Yes,2014,BHTrans
Latin America,Brazil,Belo Horizonte,Nossa Senhora do Carmo,No,,
Latin America,Brazil,Belo Horizonte,Boulevard Arrudas,No,,
Latin America,Brazil,Belo Horizonte,MOVE - Área Central,Yes,2014,BHTrans
Latin America,Brazil,Belo Horizonte,Amazonas,No,,
Latin America,Brazil,Belo Horizonte,Pedro II,No,,
Latin America,Brazil,Blumenau,Rua 7 de Setembro,No,,
Latin America,Brazil,Blumenau,Av. Martin Luther,No,,
Latin America,Brazil,Blumenau, Av. Presidente Castelo Branco (Beira-Rio),No,,
Latin America,Brazil,Blumenau,Rua 2 de Setembro,No,,
Latin America,Brazil,Blumenau,Rua São Paulo - Iguaçu (Henrique Classen),No,,
Latin America,Brazil,Blumenau,Rua São Paulo - Antônio da Veiga (Castelo Branco),No,,
Latin America,Brazil,Blumenau,Rua Eng Paul Werner,No,,
Latin America,Brazil,Blumenau,Rua das Palmeiras,No,,
Latin America,Brazil,Brasília,Expresso DF Sul,Yes,2014,www.dftrans.df.gov.br
Latin America,Brazil,Brasília,Estrada Parque Núcleo Bandeirante,No,,
Latin America,Brazil,Brasília,W3 Norte,No,,
Latin America,Brazil,Brasília,W3 Sul,No,,
Latin America,Brazil,Brasília,Setor Policial,No,,
Latin America,Brazil,Brasília,Estrada Parque Taguatinga-Guará,No,,
Latin America,Brazil,Campinas,Av. Amoreiras,No,,Google Maps
Latin America,Brazil,Campinas,Av. João Jorge,No,,Google Maps
Latin America,Brazil,Campinas,Corredor Central,No,,
Latin America,Brazil,Campo Grande,Duque de Caxias,No,,
Latin America,Brazil,Campo Grande,Rui Barbosa,No,,
Latin America,Brazil,Campo Grande,Av. Calógeras,No,,
Latin America,Brazil,Campo Grande,Rua 26 de Agosto,No,,
Latin America,Brazil,Caxias do Sul,Pinheiro Machado,No,,Google Maps
Latin America,Brazil,Caxias do Sul,Marechal Floriano,No,,Google Maps
Latin America,Brazil,Caxias do Sul,Moreira Cesar - Centro Bairro,No,,Google Maps
Latin America,Brazil,Caxias do Sul,Pio 12 - Moreira,No,,Google Maps
Latin America,Brazil,Caxias do Sul,18 do Forte,No,,Google Maps
Latin America,Brazil,Caxias do Sul,Sinimbu,No,,Google Maps
Latin America,Brazil,Caxias do Sul,Bento,No,,Google Maps
Latin America,Brazil,Criciúma,Av. Centenário,No,,Google Maps
Latin America,Brazil,Curitiba,Linha Verde,Yes,,www.urbs.curitiba.pr.gov.br
Latin America,Brazil,Curitiba,Boqueirão,Yes,,www.urbs.curitiba.pr.gov.br
Latin America,Brazil,Curitiba,Leste,Yes,,www.urbs.curitiba.pr.gov.br
Latin America,Brazil,Curitiba,Oeste,Yes,,www.urbs.curitiba.pr.gov.br
Latin America,Brazil,Curitiba,Norte,Yes,,www.urbs.curitiba.pr.gov.br
Latin America,Brazil,Curitiba,Sul,Yes,,www.urbs.curitiba.pr.gov.br
Latin America,Brazil,Curitiba,Rua XV de Novembro,,,
Latin America,Brazil,São Paulo - Metropolitan area,Corredor Metropolitano ABD,No,,
Latin America,Brazil,Feira de Santana,Av. Senhor dos Passos,No,2013,Google Maps
Latin America,Brazil,Fortaleza,Av. João Pessoa,No,,
Latin America,Brazil,Fortaleza,Av. Bezerra de Menezes,No,,
Latin America,Brazil,Goiânia,Leste Oeste (Eixo Anhanguera),Yes,,www.skyscrapercity.com
Latin America,Brazil,Goiânia,80-90 Goiás,Yes,,www.skyscrapercity.com
Latin America,Brazil,Goiânia,Universitário,No,,
Latin America,Brazil,Guarulhos,Guarulhos,,,
Latin America,Brazil,Jaboatão dos Guararapes,Av. Ayrton Senna,No,2012,
Latin America,Brazil,João Pessoa,Av. Epitácio Pessoa - Av. Miguel Couto - Av. Sanhauá - Rua Guedes Pereira,No,,
Latin America,Brazil,Joinville,Avenida JK,No,,
Latin America,Brazil,Joinville,João Colim,No,,
Latin America,Brazil,Joinville,Blumenau,No,,
Latin America,Brazil,Joinville,Santa Catarina,No,,
Latin America,Brazil,Joinville,São Paulo,No,,
Latin America,Brazil,Juiz de Fora,Av. Barão do Rio Branco,No,,
Latin America,Brazil,Londrina,Rua João Cândido,No,,
Latin America,Brazil,Londrina,Rua Duque de Caxias,No,,
Latin America,Brazil,Londrina,Winston Churchill,No,,
Latin America,Brazil,Maceió,Av. Fernandes Lima,No,,
Latin America,Brazil,Natal,Av. Bernardo Vieira,No,,www.natal.rn.gov.br
Latin America,Brazil,Niterói,Corredor Metropolitano Alameda São Boaventura,No,,
Latin America,Brazil,Olinda,Av. Pan Nordestina - PE 15,Yes,,www.granderecife.pe.gov.br
Latin America,Brazil,Porto Alegre,Av. Farrapos,No,2014,Personal Observation
Latin America,Brazil,Porto Alegre,Av. Assis Brasil,No,2014,Personal Observation
Latin America,Brazil,Porto Alegre,Av. Sertório,No,2014,Personal Observation
Latin America,Brazil,Porto Alegre,Av. Baltazar Garcia,No,2014,Personal Observation
Latin America,Brazil,Porto Alegre,III Perimetral,No,2014,Personal Observation
Latin America,Brazil,Porto Alegre,Av. Aureliano de Figueiredo Pinto - Av. Érico Veríssimo (Cascatinha),No,2014,Personal Observation
Latin America,Brazil,Porto Alegre,Av. João Pessoa,No,2014,Personal Observation
Latin America,Brazil,Porto Alegre,Av. Azenha - Av. Bento,No,2014,Personal Observation
Latin America,Brazil,Porto Alegre,Av. Bento Gonçalves,No,2014,Personal Observation
Latin America,Brazil,Porto Alegre,Av. Osvaldo Aranha - Av. Protásio Alves,No,2014,Personal Observation
Latin America,Brazil,Porto Alegre,Av. Cristovão Colombo,No,2014,Personal Observation
Latin America,Brazil,Porto Alegre,Av. Independência,No,2014,Personal Observation
Latin America,Brazil,Porto Alegre,Av. Teresópolis - Av. Nonoai - Av. Cavalhada,No,2014,Personal Observation
Latin America,Brazil,Porto Alegre,Av. Brasil,No,2014,Personal Observation
Latin America,Brazil,Recife,Via Livre Leste-Oeste,Yes,,www.granderecife.pe.gov.br
Latin America,Brazil,Recife,Via Livre Norte-Sul,Yes,,www.granderecife.pe.gov.br
Latin America,Brazil,Recife,Av. Conde do Boa Vista,Yes,,www.granderecife.pe.gov.br
Latin America,Brazil,Recife,Av. Sul,Yes,,www.granderecife.pe.gov.br
Latin America,Brazil,Rio de Janeiro,TransOeste,No,,
Latin America,Brazil,Rio de Janeiro,TransCarioca,No,2015,BRT Rio
Latin America,Brazil,Rio de Janeiro,BRS Copacabana - Av. Nossa Senhora de Copacabana,No,,
Latin America,Brazil,Rio de Janeiro,BRS Copacabana - Rua Barata Ribeiro,No,,
Latin America,Brazil,Rio de Janeiro,BRS Ipanema/Leblon - Rua Visconde de Pirajá (Rua Ataulfo de Paiva),No,,
Latin America,Brazil,Rio de Janeiro,BRS Ipanema/Leblon - Rua Prudente de Morais (General San Martin),No,,
Latin America,Brazil,Rio de Janeiro,BRS Antônio Carlos,No,,
Latin America,Brazil,Rio de Janeiro,BRS Rio Branco,No,,
Latin America,Brazil,Rio de Janeiro,BRS Presidente Vargas,No,,
Latin America,Brazil,Rio de Janeiro,BRS Estácio,No,2013,noticias.band.uol.com.br
Latin America,Brazil,Rio de Janeiro,BRS Tijuca,No,2013,noticias.band.uol.com.br
Latin America,Brazil,Rio de Janeiro,BRS 24 de maio,No,2013,noticias.band.uol.com.br
Latin America,Brazil,Rio de Janeiro,BRS Carioca,No,2013,brsrio.com.br
Latin America,Brazil,Rio de Janeiro,BRS Marechal Rondon,No,2014,oglobo.globo.com
Latin America,Brazil,Rio de Janeiro,BRS Botafogo - Voluntários,No,2014,www.brsrio.com.br
Latin America,Brazil,Rio de Janeiro,BRS Botafogo - São Clemente,No,2014,www.brsrio.com.br
Latin America,Brazil,Salvador,Av. Tancredo Neves - Av. Luis Viana Filho (Paralela),No,,
Latin America,Brazil,Salvador,Av. Vasco da Gama,No,,
Latin America,Brazil,Salvador,Av. Mario Leal Ferreira (Bonoco),No,,
Latin America,Brazil,Santos,Ana Costa,No,,
Latin America,Brazil,São Paulo,Campo Limpo - Rebouças - Centro,No,,SPTrans
Latin America,Brazil,São Paulo,Expresso Tiradentes (Eixo Sudeste),Yes,,SPTrans
Latin America,Brazil,São Paulo,Inajar - Rio Branco - Centro,Yes,,SPTrans
Latin America,Brazil,São Paulo,Itapecerica - João Dias - Santo Amaro,Yes,,SPTrans
Latin America,Brazil,São Paulo,Paes de Barros,Yes,,SPTrans
Latin America,Brazil,São Paulo,Parelheiros - Rio Bonito - Santo Amaro,Yes,,SPTrans
Latin America,Brazil,São Paulo,Pirituba - Lapa - Centro,Yes,,SPTrans
Latin America,Brazil,São Paulo,Santo Amaro - Nove de Julho - Centro,Yes,,SPTrans
Latin America,Brazil,São Paulo,Ver. José Diniz - Ibirapuera - Santa Cruz,Yes,,SPTrans
Latin America,Brazil,São Paulo,Jd. Ângela - Guarapiranga - Santo Amaro,Yes,,SPTrans
Latin America,Brazil,Sorocaba,Hermelino Matarazzo,No,,URBES
Latin America,Brazil,Sorocaba,Comendador Oeterer,No,,URBES
Latin America,Brazil,Sumaré,Corredor Metropolitano Noroeste,No,,Google Maps
Latin America,Brazil,Teresina,Av. Frei Serafim,,,
Latin America,Brazil,Uberaba,Leste/Oeste,Yes,2015,www.uberaba.mg.gov.br
Latin America,Brazil,Uberlândia,Estrutural Sudeste,Yes,2013,SETTRAN
Latin America,Chile,Santiago,Avenida Grecia,No,,"Observation, EMBARQ"
Latin America,Chile,Santiago,Pajaritos Norte,No,,"Observation, EMBARQ"
Latin America,Chile,Santiago,Santa Rosa Norte,No,,"Observation, EMBARQ"
Latin America,Chile,Santiago,Blanco Encalada - Arica,No,,"Observation, EMBARQ"
Latin America,Chile,Santiago,Santa Rosa Sur,No,,"Observation, EMBARQ"
Latin America,Chile,Santiago,Vicuña Mackenna Norte,No,,"Observation, EMBARQ"
Latin America,Chile,Santiago,Anillo Intermedio Norte,No,,"Observation, EMBARQ"
Latin America,Chile,Santiago,Las Industrias,No,,"Observation, EMBARQ"
Latin America,Chile,Santiago,Departamental Poniente,No,,"Observation, EMBARQ"
Latin America,Chile,Santiago,Dorsal,No,,"Observation, EMBARQ"
Latin America,Chile,Santiago,Pedro Aguirre Cerda,No,,"Observation, EMBARQ"
Latin America,Chile,Santiago,Suiza - Las Rejas,No,,"Observation, EMBARQ"
Latin America,Chile,Santiago,Vicuña Mackenna Sur,No,,"Observation, EMBARQ"
Latin America,Chile,Santiago,Pajaritos Sur,No,,"Observation, EMBARQ"
Latin America,Colombia,Barranquilla,Troncal Murillo,Yes,,
Latin America,Colombia,Barranquilla,Troncal Olaya,Yes,,
Latin America,Colombia,Bogotá,Calle 80,Yes,2012,Transmilenio S.A.
Latin America,Colombia,Bogotá,Caracas,Yes,2012,Transmilenio S.A.
Latin America,Colombia,Bogotá,Caracas Sur,,,
Latin America,Colombia,Bogotá,Eje Ambiental,,,
Latin America,Colombia,Bogotá,Norte,Yes,2012,Transmilenio S.A.
Latin America,Colombia,Bogotá,Américas,Yes,2012,Transmilenio S.A.
Latin America,Colombia,Bogotá,NQS Central,Yes,2012,Transmilenio S.A.
Latin America,Colombia,Bogotá,NQS Sur,,,
Latin America,Colombia,Bogotá,Suba,Yes,2012,Transmilenio S.A.
Latin America,Colombia,Bogotá,Calle 26,Yes,2012,Transmilenio S.A.
Latin America,Colombia,Bogotá,Carrera 10,Yes,2012,Transmilenio S.A.
Latin America,Colombia,Bucaramanga,Metrolínea,Yes,,
Latin America,Colombia,Cali,Avenida 3,Yes,2014,www.mio.com.co
Latin America,Colombia,Cali,Centro (Calle 13/Calle 15),Yes,2014,www.mio.com.co
Latin America,Colombia,Cali,Carrera 1,Yes,2014,www.mio.com.co
Latin America,Colombia,Cali,Calle 5,Yes,2014,www.mio.com.co
Latin America,Colombia,Cali,Carrera 15,Yes,2014,www.mio.com.co
Latin America,Colombia,Cali,Aguablanca,Yes,2014,www.mio.com.co
Latin America,Colombia,Medellín,Línea 1,Yes,,
Latin America,Colombia,Medellín,Línea 2,Yes,,
Latin America,Colombia,Pereira,Ruta 1,Yes,,www.megabus.gov.co
Latin America,Colombia,Pereira,Ruta 2,Yes,,www.megabus.gov.co
Latin America,Colombia,Pereira,Ruta 3,Yes,,www.megabus.gov.co
Latin America,Ecuador,Guayaquil,Guasmo - Río Daule,Yes,,Metrovía
Latin America,Ecuador,Guayaquil,Bastión Popular - Centro,Yes,,Metrovía
Latin America,Ecuador,Guayaquil,25 de Julio - Río Daule,Yes,2013,Metrovía
Latin America,Ecuador,Quito,Ecovía (North Eastern Corridor),Yes,,"Eduardo Sierra, Trolebus"
Latin America,Ecuador,Quito,TroleBús,Yes,,"Eduardo Sierra, Trolebus"
Latin America,Ecuador,Quito,Central Norte,No,,Review of images
Latin America,Ecuador,Quito,Sur Oriental,Yes,,PUC Chile
Latin America,Ecuador,Quito,Sur Occidental,Yes,2012,Empresa Pública Metropolitana de Transporte de Pasajeros de Quito (EPMTPQ)
Latin America,El Salvador,Gran San Salvador,Corredor SITRAMSS,,,
Latin America,Guatemala,Guatemala,Ramal Central,No,,
Latin America,Guatemala,Guatemala,Ramal Sur,No,,
Latin America,Mexico,Chihuahua,ViveBús,,,
Latin America,Mexico,Ecatepec,Linea I: Ciudad Azteca - Ojo de Agua,No,2013,
Latin America,Mexico,Guadalajara,Línea 1,No,,
Latin America,Mexico,Guadalupe,Guadalupe,No,,
Latin America,Mexico,León de los Aldama,Sistema Integrado de Transporte Optibus,Yes,,Dirección General de Movilidad
Latin America,Mexico,Mexico City,"Línea 1, Indios Verdes - Caminero",No,,
Latin America,Mexico,Mexico City,"Línea 2, Tacubaya - Tepalcates",No,,
Latin America,Mexico,Mexico City,"Línea 3, Tenayuca - Etiopia II",No,,
Latin America,Mexico,Mexico City,"Línea 4, Buenavista - San Lázaro - Aeropuerto",No,,
Latin America,Mexico,Mexico City,"Línea 5, Río de los Remedios - San Lázaro",No,,
Latin America,Mexico,Juárez,ViveBús,,,
Latin America,Mexico,Monterrey,Ecovía,,,
Latin America,Mexico,Nezahualcoyotl,Linea III: Chimalhuacán - Pantitlán,No,2013,
Latin America,Mexico,Puebla,Línea 1,No,2013,www.rutapuebla.mx
Latin America,Mexico,Puebla,Línea 2,,,
Latin America,Panama,Panama,Cinta Costera,No,,
Latin America,Peru,Lima,COSAC I,Yes,,Protransporte Planing and Information System Office
Latin America,Trinidad and Tobago,Port of Spain - Arima,Priority Bus Route,,,
Latin America,Uruguay,Montevideo,Corredor Garzón,Yes,2013,www.montevideo.gub.uy
Latin America,Venezuela,Caracas,Línea 7,Yes,2013,Metro Caracas
Latin America,Venezuela,Merida,Trolebús de Mérida - Línea 1,Yes,2013,www.tromerca.gob.ve
Latin America,Venezuela,Barquisimeto,Ruta 1,Partial,2013,www.barquisimeto.com
Latin America,Venezuela,Barquisimeto,Ruta 2,Partial,2013,www.barquisimeto.com
Northern America,Canada,Brampton,Queen East,,,
Northern America,Canada,Brampton,Main,,,
Northern America,Canada,Brampton,Steeles East,,,
Northern America,Canada,Brampton,Bovaird Drive,,,
Northern America,Canada,Gatineau,Rapibus,,,
Northern America,Canada,Halifax,,,,
Northern America,Canada,Ottawa,Transitway,Yes,2013,Street veiw
Northern America,Canada,Vancouver,Broadway Corridor,No,,
Northern America,Canada,Waterloo,200 iXpress,Yes,2007,uwspace.uwaterloo.ca
Northern America,Canada,Waterloo,201 iXpress,Yes,2007,uwspace.uwaterloo.ca
Northern America,Canada,Winnipeg,RT,,,
Northern America,Canada,York Regional Municipality,Line2,,,
Northern America,United States,Albuquerque,The Red Line (766),,,
Northern America,United States,Boston,Silver Line Waterfront,No,,
Northern America,United States,Boston,Silver Line Washington Street,Yes,,mbta.com
Northern America,United States,Chicago,Jeffery Jump,,,
Northern America,United States,Cleveland,HealthLine,,,
Northern America,United States,Eugene,Green Line,,,
Northern America,United States,Eugene,Gateway Line,,,
Northern America,United States,Everett,,,,
Northern America,United States,Kansas City,Main Street,,,
Northern America,United States,Kansas City,Troost Avenue,,,
Northern America,United States,Las Vegas,MAX (Metropolitan Area Express),,,
Northern America,United States,Las Vegas,SDX (Strip & Downtown Express),,,
Northern America,United States,Las Vegas,SX (Sahara Express),,,
Northern America,United States,Los Angeles,Orange Line,No,,
Northern America,United States,Miami,South Miami-Dade Busway,,,
Northern America,United States,New York,Bx12 SBS (Fordham Road - Pelham Pkwy),N/A,,
Northern America,United States,New York,M15 SBS (1st/2nd Ave),N/A,,
Northern America,United States,New York,M34/M34A SBS (34th Street),N/A,,
Northern America,United States,New York,S79 SBS (Hylan Boulevard),N/A,,
Northern America,United States,New York,B44 SBS (Nostrand Avenue),N/A,,
Northern America,United States,New York,Bx41 SBS (Webster Avenue),N/A,,
Northern America,United States,Oakland,San Pablo Rapid,,,
Northern America,United States,Orlando,LYNX Lymmo,,,
Northern America,United States,Phoenix,,,,
Northern America,United States,Pittsburgh,MLK East Busway,,,
Northern America,United States,Pittsburgh,South Busway,,,
Northern America,United States,Pittsburgh,West Busway,,,
Northern America,United States,San Bernardino,sbX,,,
Northern America,United States,San Diego,UTC Transit Center – UCSD,,,
Northern America,United States,San Diego,UTC East Loop,,,
Northern America,United States,Snohomish County,,,,
