Region,Country,City,Corridor,Value,Year,Source
Africa,Nigeria,Lagos,Lagos BRT,,,
Africa,South Africa,Cape Town,1A,All,2014,www.itdp.org
Africa,South Africa,Johannesburg,1A,All,2013,www.reavaya.org.za
Africa,South Africa,Johannesburg,1B,All,2013,www.reavaya.org.za
Asia,China,Beijing,BRT 1,All,2013,CUSTReC CATS
Asia,China,Beijing,BRT 2,All,2013,www.chinabrt.org
Asia,China,Beijing,BRT 3,All,2013,www.chinabrt.org
Asia,China,Beijing,BRT 4,All,2013,www.chinabrt.org
Asia,China,Changde,Line 1,Partial,2014,www.itdp.org
Asia,China,Changzhou,Line 1,All,2014,www.itdp.org
Asia,China,Changzhou,Line 2,All,2014,www.itdp.org
Asia,China,Chengdu,2nd Ring Elevated Road,All,2013,www.gochengdoo.com
Asia,China,Chongqing,Chongqing BRT,,,
Asia,China,Dalian,Dalian BRT,All,2014,www.itdp.org
Asia,China,Guangzhou,Zhongshan Avenue,All,2013,www.chinabrt.org
Asia,China,Hangzhou,Line 1,,,
Asia,China,Hangzhou,Line 2,,,
Asia,China,Hangzhou,Line 3,,,
Asia,China,Hefei,Changjiang Lu,All,2014,www.itdp.org
Asia,China,Jinan,BRT-1,All,2014,www.itdp.org
Asia,China,Jinan,BRT-2,All,2014,www.itdp.org
Asia,China,Jinan,BRT-3,All,2014,www.itdp.org
Asia,China,Jinan,BRT-4,All,2014,www.itdp.org
Asia,China,Jinan,BRT-5,All,2014,www.itdp.org
Asia,China,Jinan,BRT-6,All,2014,www.itdp.org
Asia,China,Jinan,BRT-7,All,2014,www.itdp.org
Asia,China,Kunming,,,,
Asia,China,Lanzhou,Line 1,All,2013,www.chinabrt.org
Asia,China,Lianyungang,Line 1,All,2013,www.chinabrt.org
Asia,China,Urumqi,Line 1,All,2014,www.itdp.org
Asia,China,Urumqi,Line 2,All,2015,www.itdp.org
Asia,China,Urumqi,Line 3,All,2016,www.itdp.org
Asia,China,Urumqi,Line 4,All,2017,www.itdp.org
Asia,China,Xiamen,Line 1,All,2014,www.itdp.org
Asia,China,Xiamen,Line 2,All,2014,www.itdp.org
Asia,China,Xiamen,Line 3,All,2014,www.itdp.org
Asia,China,Yancheng,Line 1,All,2013,www.chinabrt.org
Asia,China,Yichang,Phase 1,All,2015,www.chinabrt.org
Asia,China,Yinchuan,Line 1,All,2013,www.chinabrt.org
Asia,China,Zaozhuang,Line 1,Partial,2014,www.itdp.org
Asia,China,Zhengzhou,Line 1,All,2013,www.chinabrt.org
Asia,India,Ahmedabad,,All,2013,www.worldbrt.net
Asia,India,Bhopal,,,,
Asia,India,Indore,,All,2013,EMBARQ India
Asia,India,Jaipur,,None,2011,"Primary Survey,EMBARQ"
Asia,India,Pune,,None,2011,"Primary Survey, EMBARQ"
Asia,India,Rajkot,,,,
Asia,India,Surat,Udhna Darwaza to Sachin GIDC,All,2014,www.youtube.com
Asia,Indonesia,Jakarta,Koridor 1,All,2014,Transjakarta
Asia,Indonesia,Jakarta,Koridor 2,All,2014,Transjakarta
Asia,Indonesia,Jakarta,Koridor 3,All,2014,Transjakarta
Asia,Indonesia,Jakarta,Koridor 4,All,2014,Transjakarta
Asia,Indonesia,Jakarta,Koridor 5,All,2014,Transjakarta
