Region,Country,City,Corridor,Value,Year,Source
Africa,Nigeria,Lagos,Lagos BRT,800,2015,Calculated using system length and stations
Africa,South Africa,Cape Town,1A,485.7,,Calculated using corridor length and stations
Africa,South Africa,Johannesburg,1A,772,2013,Calculated using corridor length and stations
Africa,South Africa,Johannesburg,1B,1384,2013,Calculated using corridor length and stations
Asia,China,Beijing,BRT 1,950,2013,Calculated using corridor length and stations
Asia,China,Beijing,BRT 2,750,2013,Calculated using corridor length and stations
Asia,China,Beijing,BRT 3,1000,2013,Calculated using corridor length and stations
Asia,China,Beijing,BRT 4,1300,2013,Calculated using corridor length and stations
Asia,China,Changde,Line 1,780,2013,Calculated using corridor length and stations
Asia,China,Changzhou,Line 1,925,2013,Calculated using corridor length and stations
Asia,China,Changzhou,Line 2,810,2013,Calculated using corridor length and stations
Asia,China,Chengdu,2nd Ring Elevated Road,1028.6,2014,Calculated using corridor length and stations
Asia,China,Chongqing,Chongqing BRT,,,
Asia,China,Dalian,Dalian BRT,1250,2013,Calculated using corridor length and stations
Asia,China,Guangzhou,Zhongshan Avenue,860,2013,Calculated using corridor length and stations
Asia,China,Hangzhou,Line 1,1500,2013,Calculated using corridor length and stations
Asia,China,Hangzhou,Line 2,780,2013,Calculated using corridor length and stations
Asia,China,Hangzhou,Line 3,1030,2013,Calculated using corridor length and stations
Asia,China,Hefei,Changjiang Lu,800,2013,Calculated using corridor length and stations
Asia,China,Jinan,BRT-1,,,
Asia,China,Jinan,BRT-2,,,
Asia,China,Jinan,BRT-3,,,
Asia,China,Jinan,BRT-4,,,
Asia,China,Jinan,BRT-5,,,
Asia,China,Jinan,BRT-6,,,
Asia,China,Jinan,BRT-7,,,
Asia,China,Kunming,,,,
Asia,China,Lanzhou,Line 1,650,2013,Calculated using corridor length and stations
Asia,China,Lianyungang,Line 1,1170,2013,Calculated using corridor length and stations
Asia,China,Urumqi,Line 1,,,
Asia,China,Urumqi,Line 2,,,
Asia,China,Urumqi,Line 3,,,
Asia,China,Urumqi,Line 4,,,
Asia,China,Xiamen,Line 1,1340,2013,Calculated using corridor length and stations
Asia,China,Xiamen,Line 2,2500,2013,Calculated using corridor length and stations
Asia,China,Xiamen,Line 3,710,2013,Calculated using corridor length and stations
Asia,China,Yancheng,Line 1,650,2013,Calculated using corridor length and stations
Asia,China,Yichang,Phase 1,590.9,2015,Calculated using system length and stations
Asia,China,Yinchuan,Line 1,770,2013,Calculated using corridor length and stations
Asia,China,Zaozhuang,Line 1,1375,2013,Calculated using corridor length and stations
Asia,China,Zhengzhou,Line 1,800,2013,www.chinabrt.org
Asia,India,Ahmedabad,,,,
Asia,India,Bhopal,,585.4,2013,Calculated using corridor length and stations
Asia,India,Indore,,550,2013,EMBARQ India
Asia,India,Jaipur,,710,2011,"Primary Survey,EMBARQ"
Asia,India,Pune,,586,2011,"Primary Survey, EMBARQ"
Asia,India,Rajkot,,600,2013,EMBARQ India
Asia,India,Surat,Udhna Darwaza to Sachin GIDC,526.3,2014,Calculated using corridor length and stations
Asia,Indonesia,Jakarta,Koridor 1,645,2014,Calculated using corridor length and stations
Asia,Indonesia,Jakarta,Koridor 2,583,2014,Calculated using corridor length and stations
Asia,Indonesia,Jakarta,Koridor 3,1187,2014,Calculated using corridor length and stations
Asia,Indonesia,Jakarta,Koridor 4,697,2014,Calculated using corridor length and stations
Asia,Indonesia,Jakarta,Koridor 5,750,2014,Calculated using corridor length and stations
Asia,Indonesia,Jakarta,Koridor 6,665,2014,Calculated using corridor length and stations
Asia,Indonesia,Jakarta,Koridor 7,914,2014,Calculated using corridor length and stations
Asia,Indonesia,Jakarta,Koridor 8,1181,2014,Calculated using corridor length and stations
Asia,Indonesia,Jakarta,Koridor 9,1066,2014,Calculated using corridor length and stations
Asia,Indonesia,Jakarta,Koridor 10,881,2014,Calculated using corridor length and stations
Asia,Indonesia,Jakarta,Koridor 11,712,2014,Calculated using corridor length and stations
Asia,Indonesia,Jakarta,Koridor 12,991,2014,Calculated using corridor length and stations
Asia,Iran,Tabriz,,,,
Asia,Iran,Tehran,Line 1,779,2014,Calculated using corridor length and stations
Asia,Iran,Tehran,Line 2,693,2014,Calculated using corridor length and stations
Asia,Iran,Tehran,Line 3,841,2014,Calculated using corridor length and stations
Asia,Iran,Tehran,Line 4,1075,2014,Calculated using corridor length and stations
Asia,Iran,Tehran,Line 5,1375,2014,Calculated using corridor length and stations
Asia,Iran,Tehran,Line 7,686,2014,Calculated using corridor length and stations
Asia,Iran,Tehran,Line 8,885,2014,Calculated using corridor length and stations
Asia,Iran,Tehran,Line 10,588,2014,Calculated using corridor length and stations
Asia,Israel,Haifa,The Red Line,595.2,2015,Calculated using corridor length and stations
Asia,Israel,Haifa,The Blue Line,666.7,2015,Calculated using corridor length and stations
Asia,Israel,Haifa,The Green Line,571.4,2015,Calculated using corridor length and stations
Asia,Japan,Kesennuma - Tome,Kesennuma Line,1276,2014,Calculated using corridor length and stations
Asia,Japan,Nagoya,Yutorito Line,,,
Asia,Malaysia,Subang Jaya,BRT Sunway Line,771,2015,Calculated using system length and stations
Asia,Pakistan,Islamabad - Rawalpindi,Rawalpindi - Islmabad,937.5,2015,Calculated using corridor length and stations
Asia,Pakistan,Lahore,,1000,2015,Calculated using system length and stations
Asia,Republic of Korea,Seoul,,,,
Asia,Taiwan,Chiayi,Chiayi BRT,1647,2014,Calculated using corridor length and stations
Asia,Taiwan,Taichung,Blue Line,820,2014,easts.info
Asia,Taiwan,Taipei,,380,2007,Bus Rapid Transit Planning Guide (ITDP) 2007
Asia,Thailand,Bangkok,Bangkok BRT,,,
Europe,Belgium,Liège,d’Avroy - Sauvenière,314.3,2009,Calculated using corridor length and stations
Europe,Belgium,Liège,Cadran - Fontainebleau,600,2009,Calculated using corridor length and stations
Europe,Belgium,Liège,Quai Saint-Léonard,371.4,2009,Calculated using corridor length and stations
Europe,Czech Republic,Prague,Line 213,600,2011,COST - European Cooperation in Science and Technology
Europe,Finland,Helsinki,Runkolinja 550,750,2011,COST - European Cooperation in Science and Technology
Europe,France,Belfort,Optymo BHNS,300,2014,Calculated using corridor length and stations
Europe,France,Caen,Twisto TVR,,,
