Region,Country,City,Corridor,Value,Year,Source
Africa,Nigeria,Lagos,Lagos BRT,1.7,2010,Viva 2010 ( www.uncrd.or.jp ); Trans-Africa Consortium 2010 ; www.itdp.org
Africa,South Africa,Cape Town,1A,,,
Africa,South Africa,Johannesburg,1A,,,
Africa,South Africa,Johannesburg,1B,,,
Asia,China,Beijing,BRT 1,6.84,2013,CUSTReC CATS
Asia,China,Beijing,BRT 2,,,
Asia,China,Beijing,BRT 3,,,
Asia,China,Beijing,BRT 4,,,
Asia,China,Changde,Line 1,,,
Asia,China,Changzhou,Line 1,,,
Asia,China,Changzhou,Line 2,,,
Asia,China,Chengdu,2nd Ring Elevated Road,18.97,"2014, this value is the total cost of the 2nd Ring Elevated Road, which includes six lanes",www.gochengdoo.com
Asia,China,Chongqing,Chongqing BRT,,,
Asia,China,Dalian,Dalian BRT,2.6,2011,www.chinabrt.org
Asia,China,Guangzhou,Zhongshan Avenue,,,
Asia,China,Hangzhou,Line 1,,,
Asia,China,Hangzhou,Line 2,,,
Asia,China,Hangzhou,Line 3,,,
Asia,China,Hefei,Changjiang Lu,,,
Asia,China,Jinan,BRT-1,,,
Asia,China,Jinan,BRT-2,,,
Asia,China,Jinan,BRT-3,,,
Asia,China,Jinan,BRT-4,,,
Asia,China,Jinan,BRT-5,,,
Asia,China,Jinan,BRT-6,,,
Asia,China,Jinan,BRT-7,,,
Asia,China,Kunming,,,,
Asia,China,Lanzhou,Line 1,,,
Asia,China,Lianyungang,Line 1,,,
Asia,China,Urumqi,Line 1,,,
Asia,China,Urumqi,Line 2,,,
Asia,China,Urumqi,Line 3,,,
Asia,China,Urumqi,Line 4,,,
Asia,China,Xiamen,Line 1,,,
Asia,China,Xiamen,Line 2,,,
Asia,China,Xiamen,Line 3,,,
Asia,China,Yancheng,Line 1,,,
Asia,China,Yichang,Phase 1,,,
Asia,China,Yinchuan,Line 1,,,
Asia,China,Zaozhuang,Line 1,,,
Asia,China,Zhengzhou,Line 1,,,
Asia,India,Ahmedabad,,4.8,2013,www.worldbrt.net
Asia,India,Bhopal,,,,
Asia,India,Indore,,,,
Asia,India,Jaipur,,,,
Asia,India,Pune,,,,
Asia,India,Rajkot,,,,
Asia,India,Surat,Udhna Darwaza to Sachin GIDC,,,
Asia,Indonesia,Jakarta,Koridor 1,1,2003,www.itdp.org
Asia,Indonesia,Jakarta,Koridor 2,,,
Asia,Indonesia,Jakarta,Koridor 3,,,
Asia,Indonesia,Jakarta,Koridor 4,,,
Asia,Indonesia,Jakarta,Koridor 5,,,
Asia,Indonesia,Jakarta,Koridor 6,,,
Asia,Indonesia,Jakarta,Koridor 7,,,
Asia,Indonesia,Jakarta,Koridor 8,,,
Asia,Indonesia,Jakarta,Koridor 9,,,
Asia,Indonesia,Jakarta,Koridor 10,,,
Asia,Indonesia,Jakarta,Koridor 11,,,
Asia,Indonesia,Jakarta,Koridor 12,,,
Asia,Iran,Tabriz,,,,
Asia,Iran,Tehran,Line 1,,,
Asia,Iran,Tehran,Line 2,,,
Asia,Iran,Tehran,Line 3,,,
Asia,Iran,Tehran,Line 4,,,
Asia,Iran,Tehran,Line 5,,,
Asia,Iran,Tehran,Line 7,,,
Asia,Iran,Tehran,Line 8,,,
Asia,Iran,Tehran,Line 10,,,
Asia,Israel,Haifa,The Red Line,,,
Asia,Israel,Haifa,The Blue Line,,,
Asia,Israel,Haifa,The Green Line,,,
