Region,Country,City,Corridor,Value,Year,Source
Africa,Nigeria,Lagos,Lagos BRT,2008,,Viva 2010 ( www.uncrd.or.jp ); Trans-Africa Consortium 2010 ; www.itdp.org
Africa,South Africa,Cape Town,1A,2011,,www.capetown.gov.za
Africa,South Africa,Johannesburg,1A,2009,,www.reavaya.org.za
Africa,South Africa,Johannesburg,1B,2013,,www.itdp.org
Asia,China,Beijing,BRT 1,2004,,CUSTReC CATS
Asia,China,Beijing,BRT 2,2008,,CUSTReC CATS
Asia,China,Beijing,BRT 3,2008,,CUSTReC CATS
Asia,China,Beijing,BRT 4,2012,,CUSTReC CATS
Asia,China,Changde,Line 1,2012,,www.chinabrt.org
Asia,China,Changzhou,Line 1,2008,,www.chinabrt.org
Asia,China,Changzhou,Line 2,2009,,www.chinabrt.org
Asia,China,Chengdu,2nd Ring Elevated Road,2013,,www.worldbrt.net
Asia,China,Chongqing,Chongqing BRT,2008,,www.chinabrt.org
Asia,China,Dalian,Dalian BRT,2008,,www.chinabrt.org
Asia,China,Guangzhou,Zhongshan Avenue,2010,,www.chinabrt.org
Asia,China,Hangzhou,Line 1,2006,,www.chinabrt.org
Asia,China,Hangzhou,Line 2,2008,,www.chinabrt.org
Asia,China,Hangzhou,Line 3,2010,,www.chinabrt.org
Asia,China,Hefei,Changjiang Lu,2010,,www.chinabrt.org
Asia,China,Jinan,BRT-1,2008,,Jinan Urban Transport Research Center
Asia,China,Jinan,BRT-2,2008,,Jinan Urban Transport Research Center
Asia,China,Jinan,BRT-3,2009,,Jinan Urban Transport Research Center
Asia,China,Jinan,BRT-4,2009,,Jinan Urban Transport Research Center
Asia,China,Jinan,BRT-5,2009,,Jinan Urban Transport Research Center
Asia,China,Jinan,BRT-6,2009,,Jinan Urban Transport Research Center
Asia,China,Jinan,BRT-7,2014,,Jinan Urban Transport Research Center
Asia,China,Kunming,,1999,,
Asia,China,Lanzhou,Line 1,2013,,www.chinabrt.org
Asia,China,Lianyungang,Line 1,2012,,www.chinabrt.org
Asia,China,Urumqi,Line 1,2011,,www.chinabrt.org
Asia,China,Urumqi,Line 2,2012,,www.chinabrt.org
Asia,China,Urumqi,Line 3,2013,,www.chinabrt.org
Asia,China,Urumqi,Line 4,2014,,www.chinabrt.org
Asia,China,Xiamen,Line 1,2008,,www.chinabrt.org
Asia,China,Xiamen,Line 2,2010,,www.chinabrt.org
Asia,China,Xiamen,Line 3,,,
Asia,China,Yancheng,Line 1,2010,,www.chinabrt.org
Asia,China,Yichang,Phase 1,2015,,news.3xgd.com
Asia,China,Yinchuan,Line 1,2012,,www.chinabrt.org
Asia,China,Zaozhuang,Line 1,2010,,www.chinabrt.org
Asia,China,Zhengzhou,Line 1,2009,,www.chinabrt.org
Asia,India,Ahmedabad,,2009,,www.worldbrt.net
Asia,India,Bhopal,,2013,,Embarq India
Asia,India,Indore,,2013,,EMBARQ India
Asia,India,Jaipur,,2010,,Interview with JCTSL officials
Asia,India,Pune,,2006,,Interview with PMPML Officials
Asia,India,Rajkot,,2012,,EMBARQ India
Asia,India,Surat,Udhna Darwaza to Sachin GIDC,2014,,cept.ac.in
Asia,Indonesia,Jakarta,Koridor 1,2004,,Transjakarta
