Region,Country,City,Value,Year,Source
Africa,Nigeria,Lagos,47,2010,Viva 2010 ( www.uncrd.or.jp ); Trans-Africa Consortium 2010 ;www.itdp.org
Africa,South Africa,Cape Town,7,,Calculated using annual demand and fare
Africa,South Africa,Johannesburg,8,,Calculated using annual demand and fare
Asia,China,Beijing,20,,Calculated using annual demand and fare
Asia,China,Changde,,,
Asia,China,Changzhou,12,,Calculated using annual demand and fare
Asia,China,Chengdu,,,
Asia,China,Chongqing,0,2011,www.chinabrt.org
Asia,China,Dalian,3,,Calculated using annual demand and fare
Asia,China,Guangzhou,57,,Calculated using annual demand and fare
Asia,China,Hangzhou,35,,Calculated using annual demand and fare
Asia,China,Hefei,4,,Calculated using annual demand and fare
Asia,China,Jinan,15,,Calculated using annual demand and fare
Asia,China,Kunming,11,2007,Bus Rapid Transit Planning Guide (ITDP) 2007 ; www.chinabrt.org
Asia,China,Lanzhou,10,,Calculated using annual demand and fare
Asia,China,Lianyungang,1,,Calculated using annual demand and fare
Asia,China,Urumqi,13,,Calculated using annual demand and fare
Asia,China,Xiamen,57,,Calculated using annual demand and fare
Asia,China,Yancheng,1,,Calculated using annual demand and fare
Asia,China,Yichang,16,,Calculated using annual demand and fare
Asia,China,Yinchuan,3,,Calculated using annual demand and fare
Asia,China,Zaozhuang,2,,Calculated using annual demand and fare
Asia,China,Zhengzhou,22,,Calculated using annual demand and fare
Asia,India,Ahmedabad,10,,Calculated using annual demand and fare
Asia,India,Bhopal,6,,Calculated using annual demand and fare
Asia,India,Indore,,,
Asia,India,Jaipur,0,,Calculated using annual demand and fare
Asia,India,Pune - Primpi-Chinchwad,,,
Asia,India,Rajkot,,,
Asia,India,Surat,1,,Calculated using annual demand and fare
Asia,Indonesia,Jakarta,21,,Calculated using annual demand and fare
Asia,Iran,Isfahan,,,
Asia,Iran,Tabriz,,,
Asia,Iran,Tehran,28,,Calculated using annual demand and fare
Asia,Israel,Haifa,33,,Calculated using annual demand and fare
Asia,Japan,Kesennuma - Tome,,,
Asia,Japan,Nagoya,5,,Calculated using annual demand and fare
Asia,Malaysia,Subang Jaya,,,
Asia,Pakistan,Islamabad - Rawalpindi,5,2015,Calculated using annual demand and fare
Asia,Pakistan,Lahore,7,,Calculated using annual demand and fare
Asia,Republic of Korea,Seoul,,,
Asia,Taiwan,Chiayi,,,
Asia,Taiwan,Taichung,15,,Calculated using annual demand and fare
Asia,Taiwan,Taipei,197,2007,Bus Rapid Transit Planning Guide (ITDP) 2007
Asia,Thailand,Bangkok,2,,Calculated using annual demand and fare
Europe,Belgium,Liège,,,
