Region,Country,City,Value,Year,Source
Africa,Nigeria,Lagos,200000,2011,Viva 2010 ( www.uncrd.or.jp ); Trans-Africa Consortium 2010 ;www.itdp.org
Africa,South Africa,Cape Town,20000,2013,www.citylab.com
Africa,South Africa,Johannesburg,42000,2013,Rea Vaya
Asia,China,Beijing,305000,2013,CUSTReC CATS
Asia,China,Changde,,,
Asia,China,Changzhou,350000,2011,CUSTReC CATS
Asia,China,Chengdu,,,
Asia,China,Chongqing,12000,2012,www.chinabrt.org
Asia,China,Dalian,87000,2011,www.chinabrt.org
Asia,China,Guangzhou,850000,2014,www.chinabrt.org
Asia,China,Hangzhou,260000,2012,www.chinabrt.org
Asia,China,Hefei,65250,2010,www.chinabrt.org
Asia,China,Jinan,220000,2011,CUSTReC CATS
Asia,China,Kunming,156000,2010,www.chinabrt.org
Asia,China,Lanzhou,290000,2013,www.chinabrt.org
Asia,China,Lianyungang,20000,2013,CUSTReC CATS
Asia,China,Urumqi,380000,2012,CUSTReC CATS
Asia,China,Xiamen,340000,2012,CUSTReC CATS
Asia,China,Yancheng,33000,2010,CUSTReC CATS
Asia,China,Yichang,240000,2015,www.chinabrt.org
Asia,China,Yinchuan,87000,2013,CUSTReC CATS
Asia,China,Zaozhuang,30000,2010,CUSTReC CATS
Asia,China,Zhengzhou,650000,2013,CUSTReC CATS
Asia,India,Ahmedabad,130000,2013,www.ahmedabadbrts.com
Asia,India,Bhopal,70000,2013,EMBARQ India
Asia,India,Indore,45500,2014,BRT Planning for Vientiane at www.asiabrts.org
Asia,India,Jaipur,6622,2010,EMBARQ India
Asia,India,Pune - Primpi-Chinchwad,67000,2015,www.itdp.org
Asia,India,Rajkot,7500,2013,EMBARQ India
Asia,India,Surat,13500,2014,Integrated City Bus Services Surat at www.asiabrts.org
Asia,Indonesia,Jakarta,370000,2013,"Yoga Adiwinarto, presentation"
Asia,Iran,Isfahan,135000,2015,Division of Transportation - Isfahan Municipality  Division of Transportation - Isfahan Municipality  
Asia,Iran,Tabriz,,,
Asia,Iran,Tehran,2000000,2013,www.heraldboy.com
Asia,Israel,Haifa,92000,2015,www.ynet.co.il
Asia,Japan,Kesennuma - Tome,,,
Asia,Japan,Nagoya,9000,2007,Bus Rapid Transit Planning Guide (ITDP) 2007 ; www.chinabrt.org
Asia,Malaysia,Subang Jaya,,,
Asia,Pakistan,Islamabad - Rawalpindi,125000,2015,www.worldbrt.net
Asia,Pakistan,Lahore,180000,2015,en.wikipedia.org
Asia,Republic of Korea,Seoul,400000,2009,www.chinabrt.org buses and ridership estimated
Asia,Taiwan,Chiayi,2000,2010,Transportation and tourism department
Asia,Taiwan,Taichung,50000,2014,BRT Experiences : Taiwan at www.asiabrts.org
Asia,Taiwan,Taipei,1200000,2007,Bus Rapid Transit Planning Guide (ITDP) 2007
Asia,Thailand,Bangkok,15000,2011,www.chinabrt.org
Europe,Belgium,Liège,,,
Europe,Czech Republic,Prague,18000,2011,COST - European Cooperation in Science and Technology
Europe,Finland,Helsinki,30000,2011,COST - European Cooperation in Science and Technology
Europe,France,Belfort,32000,2013,info.optymo.fr
Europe,France,Caen,48000,2009,www.nbrti.org
Europe,France,Cannes,,,
Europe,France,Châlon-sur-Saône,5300,2013,www.info-chalon.com
Europe,France,Douai,1800,2010,Viva 2010 ( www.uncrd.or.jp ); connectedcities.eu ; lw2.easy-site.nl
Europe,France,Evry,,,
Europe,France,La Rochelle,5600,2010,www.ville-larochelle.fr
Europe,France,Lille,,,
Europe,France,Lorient,45000,2011,COST - European Cooperation in Science and Technology .
Europe,France,Lyon,4700,2009,www.nbrti.org
Europe,France,Maubeuge,5000,2009,www.nbrti.org
Europe,France,Metz,25000,2013,mettis.metzmetropole.fr
Europe,France,Nancy,37000,2011,www.nbrti.org
Europe,France,Nantes,25000,2011,COST - European Cooperation in Science and Technology
Europe,France,Nice,58000,2009,bhns.fr
Europe,France,Nîmes,7719,2014,trambus.nimes-metropole.fr
Europe,France,Paris,89500,2011,
Europe,France,Rouen,42000,2015,www.la-crea.fr
Europe,France,Saint-Nazaire,10000,2013,www.mobilicites.com
Europe,France,Strasbourg,9000,2014,technicity.daimler.com
Europe,France,Toulouse,13300,2010,Viva 2010 ( www.uncrd.or.jp ); CERTU 2010
Europe,Germany,Essen,17000,2011,COST - European Cooperation in Science and Technology
Europe,Germany,Hamburg,60000,2011,COST - European Cooperation in Science and Technology
Europe,Germany,Oberhausen,25000,2011,COST - European Cooperation in Science and Technology
Europe,Ireland,Dublin,34000,2009,"Heddebaut O. et. al ""The European Bus with a High Level of Service (BHLS): Concept and Practice"", Built Environment Vol 36, No. 3, 2010"
Europe,Italy,Brescia,12000,2011,COST - European Cooperation in Science and Technology
Europe,Italy,Prato,23000,2011,www.uitp.org
Europe,Netherlands,Almere,16000,2009,COST - European Cooperation in Science and Technology
Europe,Netherlands,Amsterdam,40000,2011,COST - European Cooperation in Science and Technology
Europe,Netherlands,Eindhoven,12000,2007,Bus Rapid Transit Planning Guide (ITDP) 2007
Europe,Netherlands,Enschede,2568,2011,COST - European Cooperation in Science and Technology
Europe,Netherlands,Utrecht,40000,2010,Viva 2010 ( www.uncrd.or.jp ); www.ashford.gov.uk ; www.chinabrt.org
Europe,Portugal,Lisbon,27000,2011,COST - European Cooperation in Science and Technology
Europe,Spain,Barcelona,15300,2011,COST - European Cooperation in Science and Technology
Europe,Spain,Castellon,3200,2011,COST - European Cooperation in Science and Technology
