Region,Country,City,Value,Year,Source
Africa,Nigeria,Lagos,15,2010,staging.wider.unu.edu
Africa,South Africa,Cape Town,47,2014,www.statssa.gov.za
Africa,South Africa,Johannesburg,37,2002,www.joburg.org.za
Asia,China,Beijing,23,2005,ltaacademy.gov.sg
Asia,China,Changde,,,
Asia,China,Changzhou,,,
Asia,China,Chengdu,11,2002,www.kas.de
Asia,China,Chongqing,,,
Asia,China,Dalian,,,
Asia,China,Guangzhou,21,2007,www.cities-for-mobility.net
Asia,China,Hangzhou,,,
Asia,China,Hefei,,,
Asia,China,Jinan,,,
Asia,China,Kunming,,,
Asia,China,Lanzhou,,,
Asia,China,Lianyungang,,,
Asia,China,Urumqi,,,
Asia,China,Xiamen,,,
Asia,China,Yancheng,,,
Asia,China,Yichang,,,
Asia,China,Yinchuan,,,
Asia,China,Zaozhuang,,,
Asia,China,Zhengzhou,,,
Asia,India,Ahmedabad,42,2011,www.lta.gov.sg
Asia,India,Bhopal,19,2005,cleanairinitiative.org
Asia,India,Indore,37,2005,cleanairinitiative.org
Asia,India,Jaipur,39,2010,cseindia.org
Asia,India,Pune,55,2005,cleanairinitiative.org
Asia,India,Rajkot,38,2005,cleanairinitiative.org
Asia,India,Surat,31,2005,cleanairinitiative.org
Asia,Indonesia,Jakarta,41,2009,www.ide.titech.ac.jp
Asia,Iran,Isfahan,,,
Asia,Iran,Tabriz,,,
Asia,Iran,Tehran,,,
Asia,Israel,Haifa,57,2007,www.eltis.org
Asia,Japan,Kesennuma - Tome,,,
Asia,Japan,Nagoya,,,
Asia,Malaysia,Subang Jaya,81,2012,eps.mbpj.gov.my
Asia,Pakistan,Islamabad - Rawalpindi,,,
Asia,Pakistan,Lahore,24,1992,www.nctr.usf.edu
Asia,Republic of Korea,Seoul,,,
Asia,Taiwan,Chiayi,,,
Asia,Taiwan,Taichung,84,2013,easts.info
Asia,Taiwan,Taipei,47,2009,ltaacademy.gov.sg
Asia,Thailand,Bangkok,60,2009,www.ide.titech.ac.jp
Europe,Belgium,Liège,76,2008,www.epomm.eu
Europe,Czech Republic,Prague,33,2009,ltaacademy.gov.sg
Europe,Finland,Helsinki,23,2013,www.epomm.eu
Europe,France,Belfort,,,
Europe,France,Caen,,,
Europe,France,Cannes,,,
Europe,France,Châlon-sur-Saône,,,
Europe,France,Douai,,,
Europe,France,Evry,,,
Europe,France,La Rochelle,,,
Europe,France,Lille,58,2006,www.epomm.eu
Europe,France,Lorient,66,2004,www.epomm.eu
Europe,France,Lyon,51,2006,www.epomm.eu
Europe,France,Maubeuge,70,2004,www.epomm.eu
Europe,France,Metz,54,2006,Metz Mètropole
Europe,France,Nancy,50,2013,www.epomm.eu
Europe,France,Nantes,52,2012,www.epomm.eu
Europe,France,Nice,48,2009,www.epomm.eu
Europe,France,Nîmes,57,2004,www.nimes-metropole.fr
Europe,France,Paris,16,2008,www.epomm.eu
Europe,France,Rouen,58,2007,www.epomm.eu
Europe,France,Saint-Nazaire,,,
Europe,France,Strasbourg,47,2009,www.epomm.eu
Europe,France,Toulouse,75,2004,www.epomm.eu
Europe,Germany,Essen,54,2001,www.epomm.eu
Europe,Germany,Hamburg,42,2008,www.epomm.eu
Europe,Germany,Oberhausen,56,2002,www.epomm.eu
Europe,Ireland,Dublin,58,2011,www.cso.ie
Europe,Italy,Brescia,68,2001,www.epomm.eu
Europe,Italy,Prato,84,2001,www.nationaler-radverkehrsplan.de
Europe,Netherlands,Almere,51,2008,www.epomm.eu
Europe,Netherlands,Amsterdam,38,2008,www.epomm.eu
Europe,Netherlands,Eindhoven,56,2008,www.epomm.eu
Europe,Netherlands,Enschede,55,2008,www.epomm.eu
Europe,Netherlands,Utrecht,47,2008,www.epomm.eu
Europe,Portugal,Lisbon,48,2001,www.epomm.eu
Europe,Spain,Barcelona,37,2007,"EMIT 2007, TMB"
Europe,Spain,Castellon,,,
Europe,Spain,Madrid,29,2012,www.epomm.eu
Europe,Spain,Granada,,,
Europe,Sweden,Gothenburg,50,2006,www.epomm.eu
Europe,Sweden,Jonkoping,,,
Europe,Sweden,Stockholm,47,2006,www.epomm.eu
Europe,Switzerland,Zurich,30,2005,www.epomm.eu
Europe,Turkey,Istanbul,15,2011,Istanbul Transportation Master Plan by the Greater City Municipality
Europe,United Kingdom,Bradford,72,2010,www.wymetro.com
Europe,United Kingdom,Cambridge,70,2010,Office for National Statistics
Europe,United Kingdom,Crawley,,,
Europe,United Kingdom,Edinburgh,45,2008,www.epomm.eu
Europe,United Kingdom,Fareham - Gosport,70,"2012, South Hampshire modal split",www3.hants.gov.uk
Europe,United Kingdom,Kent,,,
Europe,United Kingdom,Leeds,57,2010,www.epomm.eu
Europe,United Kingdom,London,40,2011,ltaacademy.gov.sg
Europe,United Kingdom,Luton,,,
Europe,United Kingdom,Manchester,71,2011,www.epomm.eu
Europe,United Kingdom,Runcorn,75,2009,www3.halton.gov.uk
Europe,United Kingdom,Swansea,,,
Europe,United Kingdom,York,57,2011,www.epomm.eu
Latin America,Argentina,Buenos Aires,46.3,2010,omu.caf.com
Latin America,Argentina,Córdoba,29.8,2009,www2.cordoba.gov.ar
Latin America,Argentina,Rosario,36,2008,www.ptuba.gov.ar
Latin America,Brazil,Belém,25.7,"2011, North region",www.ipea.gov.br
Latin America,Brazil,Belo Horizonte,36.7,2012,www.bhtrans.pbh.gov.br
Latin America,Brazil,Blumenau,44.1,"2011, South region",www.ipea.gov.br
Latin America,Brazil,Brasília,40.8,2009,editais.st.df.gov.br & editais.st.df.gov.br
Latin America,Brazil,Campinas,43.8,2011,www.stm.sp.gov.br
Latin America,Brazil,Campo Grande,43,"2011, Midwest region",www.ipea.gov.br
Latin America,Brazil,Caxias do Sul,44.1,"2011, South region",www.ipea.gov.br
Latin America,Brazil,Criciúma,44.1,"2011, South region",www.ipea.gov.br
Latin America,Brazil,Curitiba,26,,URBS - Unidade de Gestão de Informação
