Region,Country,City,Value,Year,Source
Africa,Nigeria,Lagos,71.5,2010,staging.wider.unu.edu
Africa,South Africa,Cape Town,43.7,2014,www.statssa.gov.za
Africa,South Africa,Johannesburg,32,2002,www.joburg.org.za
Asia,China,Beijing,24,2005,ltaacademy.gov.sg
Asia,China,Changde,,,
Asia,China,Changzhou,,,
Asia,China,Chengdu,15,2002,www.kas.de
Asia,China,Chongqing,,,
Asia,China,Dalian,,,
Asia,China,Guangzhou,32,2007,www.cities-for-mobility.net
Asia,China,Hangzhou,,,
Asia,China,Hefei,,,
Asia,China,Jinan,,,
Asia,China,Kunming,,,
Asia,China,Lanzhou,,,
Asia,China,Lianyungang,,,
Asia,China,Urumqi,,,
Asia,China,Xiamen,,,
Asia,China,Yancheng,,,
Asia,China,Yichang,,,
Asia,China,Yinchuan,,,
Asia,China,Zaozhuang,,,
Asia,China,Zhengzhou,,,
Asia,India,Ahmedabad,22,2011,www.lta.gov.sg
Asia,India,Bhopal,28,2005,cleanairinitiative.org
Asia,India,Indore,16,2005,cleanairinitiative.org
Asia,India,Jaipur,29,2010,cseindia.org
Asia,India,Pune,12,2005,cleanairinitiative.org
Asia,India,Rajkot,13,2005,cleanairinitiative.org
Asia,India,Surat,13,2005,cleanairinitiative.org
Asia,Indonesia,Jakarta,36,2009,www.ide.titech.ac.jp
Asia,Iran,Tabriz,,,
Asia,Iran,Tehran,,,
Asia,Israel,Haifa,19,2007,www.eltis.org
Asia,Japan,Kesennuma - Tome,,,
Asia,Japan,Nagoya,,,
Asia,Malaysia,Subang Jaya,19,2012,eps.mbpj.gov.my
Asia,Pakistan,Islamabad - Rawalpindi,35,2012,cdia.asia
Asia,Pakistan,Lahore,16,1992,www.nctr.usf.edu
Asia,Republic of Korea,Seoul,,,
Asia,Taiwan,Chiayi,,,
Asia,Taiwan,Taichung,8,2013,easts.info
Asia,Taiwan,Taipei,34,2009,ltaacademy.gov.sg
Asia,Thailand,Bangkok,30,2009,www.ide.titech.ac.jp
Europe,Belgium,Liège,16,2008,www.epomm.eu
Europe,Czech Republic,Prague,43,2009,ltaacademy.gov.sg
Europe,Finland,Helsinki,34,2013,www.epomm.eu
Europe,France,Belfort,,,
Europe,France,Caen,,,
Europe,France,Cannes,,,
Europe,France,Châlon-sur-Saône,,,
Europe,France,Douai,,,
Europe,France,Evry,,,
Europe,France,La Rochelle,,,
Europe,France,Lille,9,2006,www.epomm.eu
Europe,France,Lorient,8,2004,www.epomm.eu
Europe,France,Lyon,15,2006,www.epomm.eu
Europe,France,Maubeuge,5,2004,www.epomm.eu
Europe,France,Metz,11.2,2006,Metz Mètropole
Europe,France,Nancy,13,2013,www.epomm.eu
Europe,France,Nantes,16,2012,www.epomm.eu
Europe,France,Nice,11,2009,www.epomm.eu
Europe,France,Nîmes,10,2004,www.nimes-metropole.fr
Europe,France,Paris,34,2008,www.epomm.eu
Europe,France,Rouen,10,2007,www.epomm.eu
Europe,France,Saint-Nazaire,,,
Europe,France,Strasbourg,12,2009,www.epomm.eu
Europe,France,Toulouse,8,2004,www.epomm.eu
Europe,Germany,Essen,17,2001,www.epomm.eu
Europe,Germany,Hamburg,18,2008,www.epomm.eu
Europe,Germany,Oberhausen,16,2002,www.epomm.eu
Europe,Ireland,Dublin,21.2,2011,www.cso.ie
Europe,Italy,Brescia,14,2001,www.epomm.eu
Europe,Italy,Prato,5,2001,www.nationaler-radverkehrsplan.de
Europe,Netherlands,Almere,13,2008,www.epomm.eu
Europe,Netherlands,Amsterdam,20,2008,www.epomm.eu
Europe,Netherlands,Eindhoven,7,2008,www.epomm.eu
Europe,Netherlands,Enschede,4,2008,www.epomm.eu
Europe,Netherlands,Utrecht,18,2008,www.epomm.eu
Europe,Portugal,Lisbon,35,2001,www.epomm.eu
Europe,Spain,Barcelona,22.1,2007,"EMIT 2007, TMB"
Europe,Spain,Castellon,,,
Europe,Spain,Madrid,42,2012,www.epomm.eu
Europe,Spain,Granada,,,
Europe,Sweden,Gothenburg,26,2006,www.epomm.eu
Europe,Sweden,Jonkoping,,,
Europe,Sweden,Stockholm,35,2006,www.epomm.eu
Europe,Switzerland,Zurich,29,2005,www.epomm.eu
Europe,Turkey,Istanbul,36,2011,Istanbul Transportation Master Plan by the Greater City Municipality
Europe,United Kingdom,Bradford,23.1,2010,www.wymetro.com
Europe,United Kingdom,Cambridge,9,2010,Office for National Statistics
Europe,United Kingdom,Crawley,,,
Europe,United Kingdom,Edinburgh,19,2008,www.epomm.eu
Europe,United Kingdom,Fareham - Gosport,5,"2012, South Hampshire modal split",www3.hants.gov.uk
Europe,United Kingdom,Kent,,,
Europe,United Kingdom,Leeds,38,2010,www.epomm.eu
Europe,United Kingdom,London,28,2011,ltaacademy.gov.sg
Europe,United Kingdom,Luton,,,
Europe,United Kingdom,Manchester,17,2011,www.epomm.eu
Europe,United Kingdom,Runcorn,16,2009,www3.halton.gov.uk
Europe,United Kingdom,Swansea,,,
Europe,United Kingdom,York,11,2011,www.epomm.eu
Latin America,Argentina,Buenos Aires,44.7,2010,omu.caf.com
Latin America,Argentina,Córdoba,40.3,2009,www2.cordoba.gov.ar
Latin America,Argentina,Rosario,34.3,2008,www.ptuba.gov.ar
Latin America,Brazil,Belém,40.3,"2011, North region",www.ipea.gov.br
Latin America,Brazil,Belo Horizonte,28.1,2012,www.bhtrans.pbh.gov.br
Latin America,Brazil,Blumenau,46.3,"2011, South region",www.ipea.gov.br
Latin America,Brazil,Brasília,36.2,2009,editais.st.df.gov.br & editais.st.df.gov.br
Latin America,Brazil,Campinas,28.9,2011,www.stm.sp.gov.br
Latin America,Brazil,Campo Grande,39.6,"2011, Midwest region",www.ipea.gov.br
Latin America,Brazil,Caxias do Sul,46.3,"2011, South region",www.ipea.gov.br
Latin America,Brazil,Criciúma,46.3,"2011, South region",www.ipea.gov.br
Latin America,Brazil,Curitiba,46,,URBS - Unidade de Gestão de Informação
Latin America,Brazil,São Paulo - Metropolitan area,36.8,"2012, metropolitan area",www.metro.sp.gov.br
Latin America,Brazil,Feira de Santana,37.5,"2011, Northeast region",www.ipea.gov.br
Latin America,Brazil,Fortaleza,37.5,"2011, Northeast region",www.ipea.gov.br
Latin America,Brazil,Goiânia,30,2012,indicadores.cidadessustentaveis.org.br
Latin America,Brazil,Guarulhos,36.5,2007,www.metro.sp.gov.br
Latin America,Brazil,Jaboatão dos Guararapes,37.5,"2011, Northeast region",www.ipea.gov.br
Latin America,Brazil,João Pessoa,37.5,"2011, Northeast region",www.ipea.gov.br
Latin America,Brazil,Joinville,26.5,2010,ippuj.joinville.sc.gov.br
Latin America,Brazil,Juiz de Fora,50.7,"2011, Southeast region",www.ipea.gov.br
Latin America,Brazil,Londrina,36,2004,IPPUL
Latin America,Brazil,Maceió,37.5,"2011, Northeast region",www.ipea.gov.br
Latin America,Brazil,Natal,36,,www.entrebairros.com.br
Latin America,Brazil,Niterói,46.5,,Plano Diretor de Transporte Urbano da RMRJ - Resultado da pesquisa origem/destino
Latin America,Brazil,Olinda,,,
Latin America,Brazil,Porto Alegre,43,2003,lproweb.procempa.com.br
Latin America,Brazil,Recife,45.7,2012,indicadores.cidadessustentaveis.org.br
Latin America,Brazil,Rio de Janeiro,48.7,"2012, metropolitan area",www.seaerj.org.br
Latin America,Brazil,Salvador,41.4,2012,www.seinfra.ba.gov.br
