Region,Country,City,Value,Year,Source
Africa,Nigeria,Lagos,30,2015,www.lamata-ng.com
Africa,South Africa,Cape Town,,,
Africa,South Africa,Johannesburg,30,2013,www.embarq.org
Asia,China,Beijing,26,2013,
Asia,China,Changde,31,2013,www.chinabrt.org
Asia,China,Changzhou,18,2011,www.chinabrt.org
Asia,China,Chengdu,26,2013,www.gochengdoo.com
Asia,China,Chongqing,31,2011,www.chinabrt.org
Asia,China,Dalian,24,2011,www.chinabrt.org
Asia,China,Guangzhou,23,2013,www.embarq.org
Asia,China,Hangzhou,18,2011,www.chinabrt.org
Asia,China,Hefei,16,2011,Viva 2010 ( www.uncrd.or.jp ); www.chinabrt.org
Asia,China,Jinan,17.5,2014,www.chinabrt.org
Asia,China,Kunming,18,2007,Bus Rapid Transit Planning Guide (ITDP) 2007 ; www.chinabrt.org
Asia,China,Lanzhou,22,2013,www.chinabrt.org
Asia,China,Lianyungang,18,2013,www.chinabrt.org
Asia,China,Urumqi,13,2013,www.chinabrt.org
Asia,China,Xiamen,27,2011,Viva (www.chinabrt.org
Asia,China,Yancheng,18,2012,www.chinabrt.org
Asia,China,Yichang,20,2015,itdp-china.org
Asia,China,Yinchuan,15,2013,www.chinabrt.org
Asia,China,Zaozhuang,30,2011,www.chinabrt.org
Asia,China,Zhengzhou,15,2013,www.chinabrt.org
Asia,India,Ahmedabad,24,2013,www.embarq.org
Asia,India,Bhopal,,,
Asia,India,Indore,,,
Asia,India,Jaipur,18,2011,"Primary Survey, EMBARQ"
Asia,India,Pune - Primpi-Chinchwad,,,
Asia,India,Rajkot,,,
Asia,India,Surat,,,
Asia,Indonesia,Jakarta,19,2013,www.embarq.org
Asia,Iran,Isfahan,,,
Asia,Iran,Tabriz,,,
Asia,Iran,Tehran,19,2011,Tehran bus
Asia,Israel,Haifa,24.7,2015,"Calculated using Red, Blue and Green Lines operating speed and their representativeness (length) in the system"
Asia,Japan,Kesennuma - Tome,,,
Asia,Japan,Nagoya,30,2007,Bus Rapid Transit Planning Guide (ITDP) 2007 ; www.chinabrt.org
Asia,Malaysia,Subang Jaya,,,
Asia,Pakistan,Islamabad - Rawalpindi,,,
Asia,Pakistan,Lahore,26,2015,www.pma.punjab.gov.pk
Asia,Republic of Korea,Seoul,17,2011,Bus Rapid Transit Planning Guide (ITDP) 2007 ; www.chinabrt.org
Asia,Taiwan,Chiayi,,,
Asia,Taiwan,Taichung,,,
Asia,Taiwan,Taipei,19.5,2007,Bus Rapid Transit Planning Guide (ITDP) 2007
Asia,Thailand,Bangkok,26,2010,Viva 2010 ( www.uncrd.or.jp ); www.bangkokpost.comwww.chinabrt.org
Europe,Belgium,Liège,,,
Europe,Czech Republic,Prague,21.8,2011,COST - European Cooperation in Science and Technology
Europe,Finland,Helsinki,26,2011,COST - European Cooperation in Science and Technology
Europe,France,Belfort,21,2014,info.optymo.fr
Europe,France,Caen,20,2010,ITDP (2007) Bus Rapid Transit Planning Guide ; CERTU 2010
Europe,France,Cannes,,,
Europe,France,Châlon-sur-Saône,19,2014,www.mobilicites.com
Europe,France,Douai,24.7,2010,Viva 2010 ( www.uncrd.or.jp ); connectedcities.eu ; lw2.easy-site.nl
Europe,France,Evry,21,2014,www.bus-tice.com
Europe,France,La Rochelle,,,
Europe,France,Lille,,,
Europe,France,Lorient,19,2011,COST - European Cooperation in Science and Technology .
Europe,France,Lyon,17,2007,ITDP (2007) Bus Rapid Transit Planning Guide ; CERTU 2010
Europe,France,Maubeuge,,,
Europe,France,Metz,20,2013,Mettis
Europe,France,Nancy,14.5,2010,CERTU 2010
Europe,France,Nantes,21,2011,COST - European Cooperation in Science and Technology
Europe,France,Nice,,,
Europe,France,Nîmes,22.5,2015,www.tangobus.fr
Europe,France,Paris,23.5,2011,
Europe,France,Rouen,17.5,2015,www.la-crea.fr
Europe,France,Saint-Nazaire,18.4,2014,Google Transit
Europe,France,Strasbourg,18,2014,www.en.strasbourg.eu
Europe,France,Toulouse,25,2010,Viva 2010 ( www.uncrd.or.jp ); CERTU 2010
Europe,Germany,Essen,16.5,2011,COST - European Cooperation in Science and Technology
Europe,Germany,Hamburg,18.8,2011,COST - European Cooperation in Science and Technology
Europe,Germany,Oberhausen,34,2011,COST - European Cooperation in Science and Technology
Europe,Ireland,Dublin,,,
Europe,Italy,Brescia,15.5,2011,
Europe,Italy,Prato,19.6,2015,"Calculated using operating speed, corridor"
Europe,Netherlands,Almere,24.5,2011,COST - European Cooperation in Science and Technology
Europe,Netherlands,Amsterdam,35,2011,COST - European Cooperation in Science and Technology
Europe,Netherlands,Eindhoven,21,2007,Bus Rapid Transit Planning Guide (ITDP) 2007
Europe,Netherlands,Enschede,23.8,2011,COST - European Cooperation in Science and Technology
Europe,Netherlands,Utrecht,,,
Europe,Portugal,Lisbon,16,2011,COST - European Cooperation in Science and Technology
Europe,Spain,Barcelona,10,2011,COST - European Cooperation in Science and Technology
Europe,Spain,Castellon,18,2011,COST - European Cooperation in Science and Technology
Europe,Spain,Madrid,28.5,2011,COST - European Cooperation in Science and Technology
Europe,Spain,Granada,,,
Europe,Sweden,Gothenburg,21,2011,COST - European Cooperation in Science and Technology
Europe,Sweden,Jonkoping,22,2011,COST - European Cooperation in Science and Technology
Europe,Sweden,Stockholm,16.5,2011,COST - European Cooperation in Science and Technology
Europe,Switzerland,Zurich,19,2011,COST - European Cooperation in Science and Technology
Europe,Turkey,Istanbul,35,2013,IETT
Europe,United Kingdom,Bradford,,,
Europe,United Kingdom,Cambridge,60,"2011, on guided section",COST - European Cooperation in Science and Technology
Europe,United Kingdom,Crawley,20,2007,Bus Rapid Transit Planning Guide (ITDP) 2007
Europe,United Kingdom,Edinburgh,,,
Europe,United Kingdom,Fareham - Gosport,,,
Europe,United Kingdom,Kent,,,
Europe,United Kingdom,Leeds,,,
Europe,United Kingdom,London,,,
Europe,United Kingdom,Luton,,,
Europe,United Kingdom,Manchester,16,2011,COST - European Cooperation in Science and Technology
Europe,United Kingdom,Runcorn,31,2001,onlinepubs.trb.org
Europe,United Kingdom,Swansea,,,
Europe,United Kingdom,York,,,
Latin America,Argentina,Buenos Aires,24,,
Latin America,Argentina,Córdoba,,,
Latin America,Argentina,Rosario,15,2013,ar.finanzas.yahoo.com
Latin America,Brazil,Belém,27.7,2014,ww3.belem.pa.gov.br
Latin America,Brazil,Belo Horizonte,17.6,,
Latin America,Brazil,Blumenau,20.6,,
Latin America,Brazil,Brasília,,,
Latin America,Brazil,Campinas,,,
Latin America,Brazil,Campo Grande,17.8,,
Latin America,Brazil,Caxias do Sul,,,
Latin America,Brazil,Criciúma,40,,
Latin America,Brazil,Curitiba,,,
Latin America,Brazil,São Paulo - Metropolitan area,21,2014,www.etransport.com.br
