Region,Country,City,Value,Year,Source
Africa,Nigeria,Lagos,,,
Africa,South Africa,Cape Town,6,2015,myciti.org.za
Africa,South Africa,Johannesburg,64,2012,ITDP
Asia,China,Beijing,60,2013,
Asia,China,Changde,27,2013,www.chinabrt.org
Asia,China,Changzhou,77,2011,www.chinabrt.org
Asia,China,Chengdu,40,2013,www.gochengdoo.com
Asia,China,Chongqing,6,2011,www.chinabrt.org
Asia,China,Dalian,75,2011,www.chinabrt.org
Asia,China,Guangzhou,350,2013,
Asia,China,Hangzhou,80,2011,www.chinabrt.org
Asia,China,Hefei,55,2011,www.chinabrt.org
Asia,China,Jinan,49,2014,www.chinabrt.org
Asia,China,Kunming,,,
Asia,China,Lanzhou,87,2013,www.chinabrt.org
Asia,China,Lianyungang,25,2013,www.chinabrt.org
Asia,China,Urumqi,87,2013,www.chinabrt.org
Asia,China,Xiamen,104,2012,www.chinabrt.org
Asia,China,Yancheng,30,2011,www.chinabrt.org
Asia,China,Yichang,94,2015,www.chinabrt.org
Asia,China,Yinchuan,63,2013,www.chinabrt.org
Asia,China,Zaozhuang,27,2011,www.chinabrt.org
Asia,China,Zhengzhou,52,2011,www.chinabrt.org
Asia,India,Ahmedabad,20,2012,www.worldbrt.net
Asia,India,Bhopal,6,2013,www.centralchronicle.com
Asia,India,Indore,,,
Asia,India,Jaipur,23,2011,"Primary Survey,EMBARQ"
Asia,India,Pune - Primpi-Chinchwad,40,2015,webcache.googleusercontent.com
Asia,India,Rajkot,,,
Asia,India,Surat,6,2014,www.globalmasstransit.net
Asia,Indonesia,Jakarta,40,2011,www.chinabrt.org
Asia,Iran,Isfahan,,,
Asia,Iran,Tabriz,,,
Asia,Iran,Tehran,90,2013,en.tehran.ir
Asia,Israel,Haifa,15,2013,www.dannorth.co.il
Asia,Japan,Kesennuma - Tome,5,2014,ja.wikipedia.org
Asia,Japan,Nagoya,17,2007,Bus Rapid Transit Planning Guide (ITDP) 2007 ;www.chinabrt.org
Asia,Malaysia,Subang Jaya,15,2015,www.thestar.com.my
Asia,Pakistan,Islamabad - Rawalpindi,21,2015,www.worldbrt.net
Asia,Pakistan,Lahore,30,2015,www.pma.punjab.gov.pk
Asia,Republic of Korea,Seoul,,,
Asia,Taiwan,Chiayi,,,
Asia,Taiwan,Taichung,,,
Asia,Taiwan,Taipei,,,
Asia,Thailand,Bangkok,15,2011,www.chinabrt.org
Europe,Belgium,Liège,,,
Europe,Czech Republic,Prague,10,2011,COST - European Cooperation in Science and Technology
Europe,Finland,Helsinki,20,2011,COST - European Cooperation in Science and Technology
Europe,France,Belfort,12,2014,info.optymo.fr
Europe,France,Caen,10,2010,ITDP (2007) Bus Rapid Transit Planning Guide ; CERTU 2010
Europe,France,Cannes,12,2014,www.silteplait.info
Europe,France,Châlon-sur-Saône,6,2014,www.mobilicites.com
Europe,France,Douai,,,
Europe,France,Evry,,,
Europe,France,La Rochelle,,,
Europe,France,Lille,,,
Europe,France,Lorient,9,2011,COST - European Cooperation in Science and Technology .
Europe,France,Lyon,,,
Europe,France,Maubeuge,,,
Europe,France,Metz,12,2013,Mettis
Europe,France,Nancy,13,2010,CERTU
Europe,France,Nantes,17,2011,COST - European Cooperation in Science and Technology
Europe,France,Nice,,,
Europe,France,Nîmes,12,2015,trambus.nimes-metropole.fr
Europe,France,Paris,17,2011,COST - European Cooperation in Science and Technology
Europe,France,Rouen,30,2011,COST - European Cooperation in Science and Technology
Europe,France,Saint-Nazaire,9,2013,www.mobilicites.com
Europe,France,Strasbourg,,,
Europe,France,Toulouse,8,2010,Viva 2010 ( www.uncrd.or.jp ); CERTU 2010
Europe,Germany,Essen,6,2011,COST - European Cooperation in Science and Technology
Europe,Germany,Hamburg,12,2011,COST - European Cooperation in Science and Technology
Europe,Germany,Oberhausen,40,2011,COST - European Cooperation in Science and Technology
Europe,Ireland,Dublin,,,
Europe,Italy,Brescia,12,2011,COST - European Cooperation in Science and Technology
Europe,Italy,Prato,8,2011,www.uitp.org
Europe,Netherlands,Almere,9,2011,COST - European Cooperation in Science and Technology
