Region,Country,City,Value,Year,Source
Africa,Nigeria,Lagos,,,
Africa,South Africa,Cape Town,,,
Africa,South Africa,Johannesburg,5760,2013,www.embarq.org
Asia,China,Beijing,8000,2011,Jane's Urban Transport Systems
Asia,China,Changde,800,2013,www.chinabrt.org
Asia,China,Changzhou,,,
Asia,China,Chengdu,6650,2013,www.worldbrt.net
Asia,China,Chongqing,,,
Asia,China,Dalian,6430,2014,www.chinabrt.org
Asia,China,Guangzhou,29000,2013,www.embarq.org
Asia,China,Hangzhou,3700,2015,www.worldbrt.net
Asia,China,Hefei,3600,2011,www.chinabrt.org
Asia,China,Jinan,2050,2014,www.chinabrt.org
Asia,China,Kunming,6300,2007,Bus Rapid Transit Planning Guide (ITDP) 2007 ; www.chinabrt.org
Asia,China,Lanzhou,6550,2013,www.chinabrt.org
Asia,China,Lianyungang,1650,2013,www.chinabrt.org
Asia,China,Urumqi,6950,2013,www.chinabrt.org
Asia,China,Xiamen,8360,2012,www.chinabrt.org
Asia,China,Yancheng,1300,2011,www.chinabrt.org
Asia,China,Yichang,5400,2015,www.chinabrt.org
Asia,China,Yinchuan,3600,2012,www.chinabrt.org
Asia,China,Zaozhuang,700,2011,www.chinabrt.org
Asia,China,Zhengzhou,5600,2013,www.chinabrt.org
Asia,India,Ahmedabad,1780,2013,www.embarq.org
Asia,India,Bhopal,,,
Asia,India,Indore,,,
Asia,India,Jaipur,1046,2011,"Primary Survey, EMBARQ"
Asia,India,Pune - Primpi-Chinchwad,3600,2015,webcache.googleusercontent.com
Asia,India,Rajkot,,,
Asia,India,Surat,,,
Asia,Indonesia,Jakarta,3600,2013,www.embarq.org
Asia,Iran,Isfahan,,,
Asia,Iran,Tabriz,,,
Asia,Iran,Tehran,,,
Asia,Israel,Haifa,,,
Asia,Japan,Kesennuma - Tome,,,
Asia,Japan,Nagoya,750,2007,Bus Rapid Transit Planning Guide (ITDP) 2007 ; www.chinabrt.org
Asia,Malaysia,Subang Jaya,,,
Asia,Pakistan,Islamabad - Rawalpindi,2100,2015,www.worldbrt.net
Asia,Pakistan,Lahore,10000,2015,en.wikipedia.org
Asia,Republic of Korea,Seoul,8400,2011,Bus Rapid Transit Planning Guide (ITDP) 2007 ; www.chinabrt.org
Asia,Taiwan,Chiayi,,,
Asia,Taiwan,Taichung,,,
Asia,Taiwan,Taipei,9500,2007,Bus Rapid Transit Planning Guide (ITDP) 2007
Asia,Thailand,Bangkok,1200,2011,www.chinabrt.org
Europe,Belgium,Liège,,,
Europe,Czech Republic,Prague,,,
Europe,Finland,Helsinki,,,
Europe,France,Belfort,,,
Europe,France,Caen,,,
Europe,France,Cannes,,,
Europe,France,Châlon-sur-Saône,,,
Europe,France,Douai,,,
Europe,France,Evry,,,
Europe,France,La Rochelle,,,
Europe,France,Lille,,,
Europe,France,Lorient,,,
Europe,France,Lyon,,,
Europe,France,Maubeuge,,,
Europe,France,Metz,,,
Europe,France,Nancy,,,
Europe,France,Nantes,2000,2011,COST - European Cooperation in Science and Technology
Europe,France,Nice,,,
Europe,France,Nîmes,,,
Europe,France,Paris,3000,2011,
Europe,France,Rouen,,,
Europe,France,Saint-Nazaire,,,
Europe,France,Strasbourg,,,
Europe,France,Toulouse,,,
Europe,Germany,Essen,,,
Europe,Germany,Hamburg,,,
Europe,Germany,Oberhausen,,,
Europe,Ireland,Dublin,6400,2009,"Heddebaut O. et. al ""The European Bus with a High Level of Service (BHLS): Concept and Practice"", Built Environment Vol 36, No. 3, 2010"
Europe,Italy,Brescia,,,
Europe,Italy,Prato,,,
Europe,Netherlands,Almere,,,
Europe,Netherlands,Amsterdam,960,2011,ITDP
Europe,Netherlands,Eindhoven,,,
Europe,Netherlands,Enschede,,,
Europe,Netherlands,Utrecht,,,
Europe,Portugal,Lisbon,12000,2011,European Cooperation in Science and Technology. 2011. Buses with High Level Service – Fundamental characteristics and recommendations for decision-making and research.
Europe,Spain,Barcelona,1220,2011,COST - European Cooperation in Science and Technology
Europe,Spain,Castellon,,,
Europe,Spain,Madrid,7500,2011,COST - European Cooperation in Science and Technology
Europe,Spain,Granada,,,
Europe,Sweden,Gothenburg,,,
Europe,Sweden,Jonkoping,,,
Europe,Sweden,Stockholm,,,
Europe,Switzerland,Zurich,1300,2011,COST - European Cooperation in Science and Technology
Europe,Turkey,Istanbul,30000,2013,Levinson H. et. al - A Bus Rapid Transit Line Case Study: Istanbul’s Metrobüs System
