Region,Country,City,Value,Year,Source
Africa,Nigeria,Lagos,11009,2012,nigeria.prognoz.com
Africa,South Africa,Cape Town,1530,2011,beta2.statssa.gov.za
Africa,South Africa,Johannesburg,2696,2011,beta2.statssa.gov.za
Asia,China,Beijing,1006.4,2013,China City Statistical Yearbook. Beijing: National Statistics Bureau Press
Asia,China,Changde,558.2,2013,China City Statistical Yearbook. Beijing: National Statistics Bureau Press
Asia,China,Changzhou,1237.8,2013,China City Statistical Yearbook. Beijing: National Statistics Bureau Press
Asia,China,Chengdu,1200,2010,chengdu.isfoundhere.com
Asia,China,Chongqing,601.3,2013,China City Statistical Yearbook. Beijing: National Statistics Bureau Press
Asia,China,Dalian,1165.5,2013,China City Statistical Yearbook. Beijing: National Statistics Bureau Press
Asia,China,Guangzhou,1764.2,2013,China City Statistical Yearbook. Beijing: National Statistics Bureau Press
Asia,China,Hangzhou,1451.9,2013,China City Statistical Yearbook. Beijing: National Statistics Bureau Press
Asia,China,Hefei,2401.8,2013,China City Statistical Yearbook. Beijing: National Statistics Bureau Press
Asia,China,Jinan,742.3,2015,Jinan Public Transport Research Center
Asia,China,Kunming,590.8,2013,China City Statistical Yearbook. Beijing: National Statistics Bureau Press
Asia,China,Lanzhou,1264.6,2013,China City Statistical Yearbook. Beijing: National Statistics Bureau Press
Asia,China,Lianyungang,805.4,2013,China City Statistical Yearbook. Beijing: National Statistics Bureau Press
Asia,China,Urumqi,263,2013,China City Statistical Yearbook. Beijing: National Statistics Bureau Press
Asia,China,Xiamen,1213.7,2013,China City Statistical Yearbook. Beijing: National Statistics Bureau Press
Asia,China,Yancheng,895.8,2013,China City Statistical Yearbook. Beijing: National Statistics Bureau Press
Asia,China,Yichang,330,2010,en.wikipedia.org
Asia,China,Yinchuan,433.7,2013,China City Statistical Yearbook. Beijing: National Statistics Bureau Press
Asia,China,Zaozhuang,735.6,2013,China City Statistical Yearbook. Beijing: National Statistics Bureau Press
Asia,China,Zhengzhou,5813.9,2013,China City Statistical Yearbook. Beijing: National Statistics Bureau Press
Asia,India,Ahmedabad,4060,,
Asia,India,Bhopal,3578,2011,en.wikipedia.org
Asia,India,Indore,,,
Asia,India,Jaipur,1830,2001,City Development Plan for Jaipur
Asia,India,Pune,10407,2010,www.punecorporation.org
Asia,India,Rajkot,,,
Asia,India,Surat,1089.9,2011,www.census2011.co.in
Asia,Indonesia,Jakarta,3830.4,2011,
Asia,Iran,Tabriz,,,
Asia,Iran,Tehran,10854,2012,Census of the Islamic Republic of Iran
Asia,Israel,Haifa,984.5,2009,en.wikipedia.org
Asia,Japan,Kesennuma - Tome,171,2010,www.stat.go.jp
Asia,Japan,Nagoya,1398,2011,www.stat.go.jp
Asia,Malaysia,Subang Jaya,6581,2010,en.wikipedia.org
Asia,Pakistan,Islamabad - Rawalpindi,726.7,2015,www.pbs.gov.pk & rawalpindi.gov.pk
Asia,Pakistan,Lahore,,,
Asia,Republic of Korea,Seoul,2176,2012,www.index.go.kr
Asia,Taiwan,Chiayi,4512,2013,www.citypopulation.de
Asia,Taiwan,Taichung,1219.8,2013,www.citypopulation.de
Asia,Taiwan,Taipei,2829,2012,eng.stat.gov.tw
Asia,Thailand,Bangkok,1876,2010,"2010 Population and Housing Census, National Statistical Office, Ministry of Information and Communication Technology"
Europe,Belgium,Liège,600.9,2006,en.wikipedia.org
Europe,Czech Republic,Prague,222.3,2011,appsso.eurostat.ec.europa.eu
Europe,Finland,Helsinki,1418,2014,en.wikipedia.org
Europe,France,Belfort,254.7,2010,www.insee.fr
Europe,France,Caen,221.1,2010,www.insee.fr
Europe,France,Cannes,3309.8,2010,www.insee.fr
