Region,Country,City,Value,Year,Source
Africa,Nigeria,Lagos,22583305,2014 (Projection based on population growth rate of 3.2% from Census 2006. Supplied by Lagos Bureau of Statistics),www.lagosstate.gov.ng
Africa,South Africa,Cape Town,3740026,2011,www.capetown.gov.za
Africa,South Africa,Johannesburg,957441,2011,census2011.adrianfrith.com
Asia,China,Beijing,12265000,2013,China City Statistical Yearbook. Beijing: National Statistics Bureau Press
Asia,China,Changde,1401000,2013,China City Statistical Yearbook. Beijing: National Statistics Bureau Press
Asia,China,Changzhou,2305000,2013,China City Statistical Yearbook. Beijing: National Statistics Bureau Press
Asia,China,Chengdu,7415590,2010,chengdu.isfoundhere.com
Asia,China,Chongqing,17791000,2013,China City Statistical Yearbook. Beijing: National Statistics Bureau Press
Asia,China,Dalian,2992000,2013,China City Statistical Yearbook. Beijing: National Statistics Bureau Press
Asia,China,Guangzhou,6780000,2013,China City Statistical Yearbook. Beijing: National Statistics Bureau Press
Asia,China,Hangzhou,4454000,2013,China City Statistical Yearbook. Beijing: National Statistics Bureau Press
Asia,China,Hefei,2222000,2013,China City Statistical Yearbook. Beijing: National Statistics Bureau Press
Asia,China,Jinan,4340000,2015,Jinan Public Transport Research Center
Asia,China,Kunming,2727000,2013,China City Statistical Yearbook. Beijing: National Statistics Bureau Press
Asia,China,Lanzhou,2064000,2013,China City Statistical Yearbook. Beijing: National Statistics Bureau Press
Asia,China,Lianyungang,967000,2013,China City Statistical Yearbook. Beijing: National Statistics Bureau Press
Asia,China,Urumqi,2518000,2013,China City Statistical Yearbook. Beijing: National Statistics Bureau Press
Asia,China,Xiamen,1909000,2013,China City Statistical Yearbook. Beijing: National Statistics Bureau Press
Asia,China,Yancheng,760000,2013,China City Statistical Yearbook. Beijing: National Statistics Bureau Press
Asia,China,Yichang,1049363,2010,www.citypopulation.de
Asia,China,Yinchuan,1130000,2013,China City Statistical Yearbook. Beijing: National Statistics Bureau Press
Asia,China,Zaozhuang,2258000,2013,China City Statistical Yearbook. Beijing: National Statistics Bureau Press
Asia,China,Zhengzhou,5872000,2013,China City Statistical Yearbook. Beijing: National Statistics Bureau Press
Asia,India,Ahmedabad,5726000,2010,www.unhabitat.org
Asia,India,Bhopal,1843000,2011,sustainablecitiescollective.com
Asia,India,Indore,1960631,2011,censusindia.gov.in
Asia,India,Jaipur,3136000,2010,www.unhabitat.org
Asia,India,Pune,3115431,2011,www.census2011.co.in
Asia,India,Rajkot,1286995,2011,censusindia.gov.in
Asia,India,Surat,4462002,2011,censusindia.gov.in
Asia,Indonesia,Jakarta,9607787,2011,www.bps.go.id
Asia,Iran,Tabriz,2383294,2012,Census of the Islamic Republic of Iran
Asia,Iran,Tehran,8244535,2012,Census of the Islamic Republic of Iran
Asia,Israel,Haifa,271400,2012,www1.haifa.muni.il
Asia,Japan,Kesennuma - Tome,176643,"2010, population of Tome, Minamisanriku and Kesennuma",www.stat.go.jp
Asia,Japan,Nagoya,2262176,2013,www.city.nagoya.jp
Asia,Malaysia,Subang Jaya,708296,2010,Department of Statistics Malaysia Census
Asia,Pakistan,Islamabad - Rawalpindi,3871000,"2015, population of both cities",www.cia.gov
Asia,Pakistan,Lahore,7132000,2010,UN Habitat
Asia,Republic of Korea,Seoul,10442426,2012,www.index.go.kr
Asia,Taiwan,Chiayi,270872,2013,www.citypopulation.de
Asia,Taiwan,Taichung,2701661,2013,www.citypopulation.de
Asia,Taiwan,Taipei,2618772,2012,eng.stat.gov.tw
Asia,Thailand,Bangkok,8305218,2010,"2010 Population and Housing Census, National Statistical Office, Ministry of Information and Communication Technology"
Europe,Belgium,Liège,195414,2013,www.liege.be
Europe,Czech Republic,Prague,1268796,2011,www.czso.cz
Europe,Finland,Helsinki,614074,2014,vrk.fi
Europe,France,Belfort,50078,2010,www.insee.fr
Europe,France,Caen,108954,2010,www.insee.fr
Europe,France,Cannes,137757,"2010, population of Cannes, Le Cannet and Mandelieu-la-Napoule",www.insee.fr
Europe,France,Châlon-sur-Saône,44985,2010,www.insee.fr
Europe,France,Douai,42197,2010,www.insee.fr
Europe,France,Evry,52802,2010,www.evry.fr
Europe,France,La Rochelle,75170,2010,www.insee.fr
Europe,France,Lille,227560,2010,www.insee.fr
Europe,France,Lorient,57204,2010,www.insee.fr
Europe,France,Lyon,484344,2010,www.insee.fr
Europe,France,Maubeuge,31046,2010,www.insee.fr
Europe,France,Metz,120738,2010,www.insee.fr
Europe,France,Nancy,105421,2010,www.insee.fr
Europe,France,Nantes,284970,2010,www.insee.fr
Europe,France,Nice,343304,2010,www.insee.fr
Europe,France,Nîmes,146709,2012,www.insee.fr
Europe,France,Paris,2243833,2010,www.insee.fr
Europe,France,Rouen,110933,2010,www.insee.fr
Europe,France,Saint-Nazaire,67097,2011,www.linternaute.com
Europe,France,Strasbourg,272222,2011,www.insee.fr
Europe,France,Toulouse,441802,2010,www.insee.fr
Europe,Germany,Essen,566201,2011,ergebnisse.zensus2011.de
Europe,Germany,Hamburg,1706696,2011,ergebnisse.zensus2011.de
Europe,Germany,Oberhausen,209097,2013,www.citypopulation.de
Europe,Ireland,Dublin,525383,2011,www.cso.ie
Europe,Italy,Brescia,189085,2012,ISTAT
Europe,Italy,Prato,184885,2012,ISTAT
Europe,Netherlands,Almere,195846,2013,statline.cbs.nl
Europe,Netherlands,Amsterdam,802938,2013,statline.cbs.nl
Europe,Netherlands,Eindhoven,219456,2013,statline.cbs.nl
Europe,Netherlands,Enschede,157962,2013,statline.cbs.nl
Europe,Netherlands,Utrecht,323845,2013,statline.cbs.nl
Europe,Portugal,Lisbon,547733,2011,www.ine.pt
Europe,Spain,Barcelona,1615448,2011,barcelonacatalonia.cat
Europe,Spain,Castellon,180185,2013,www.ine.es
Europe,Spain,Madrid,3207247,2013,www.ine.es
Europe,Spain,Granada,237540,2014,www.ine.es
Europe,Sweden,Gothenburg,529343,2013,www.scb.se
Europe,Sweden,Jonkoping,129889,2013,www.scb.se
Europe,Sweden,Stockholm,889501,2013,www.scb.se
Europe,Switzerland,Zurich,396389,2012,www.stadt-zuerich.ch
Europe,Turkey,Istanbul,14160467,2014,www.istanbul.com
Europe,United Kingdom,Bradford,523115,2012,www.ons.gov.uk
Europe,United Kingdom,Cambridge,128000,2013,www.cambridgeshireinsight.org.uk
Europe,United Kingdom,Crawley,107053,2012,www.ons.gov.uk
Europe,United Kingdom,Edinburgh,477940,2012,www.ons.gov.uk
Europe,United Kingdom,Fareham - Gosport,194203,"2011, population of both cities",documents.hants.gov.uk
Europe,United Kingdom,Kent,199370,"2012, population of Dartford and Gravesham",www.ons.gov.uk
Europe,United Kingdom,Leeds,750683,2012,www.ons.gov.uk
Europe,United Kingdom,London,8308369,2012,www.ons.gov.uk
Europe,United Kingdom,Luton,203641,2012,www.ons.gov.uk
Europe,United Kingdom,Manchester,514417,2013,www.neighbourhood.statistics.gov.uk
Europe,United Kingdom,Runcorn,61789,2011,www.citypopulation.de
Europe,United Kingdom,Swansea,239600,2012,www.ons.gov.uk
Europe,United Kingdom,York,197783,2012,www.ons.gov.uk
Latin America,Argentina,Buenos Aires,2891082,2010,www.censo2010.indec.gov.ar
Latin America,Argentina,Córdoba,1329604,2010,www2.cordoba.gov.ar
Latin America,Argentina,Rosario,909866,2010,www.rosario.gov.ar
Latin America,Brazil,Belém,1439561,2015,ftp.ibge.gov.br
Latin America,Brazil,Belo Horizonte,2502557,2015,ftp.ibge.gov.br
Latin America,Brazil,Blumenau,338876,2015,ftp.ibge.gov.br
Latin America,Brazil,Brasília,2914830,2015,ftp.ibge.gov.br
Latin America,Brazil,Campinas,1164098,2015,ftp.ibge.gov.br
Latin America,Brazil,Campo Grande,853622,2015,ftp.ibge.gov.br
Latin America,Brazil,Caxias do Sul,474853,2015,ftp.ibge.gov.br
Latin America,Brazil,Criciúma,206918,2015,ftp.ibge.gov.br
Latin America,Brazil,Curitiba,1879355,2015,ftp.ibge.gov.br
Latin America,Brazil,São Paulo - Metropolitan area,14360674,"2015, for cities Diadema, São Bernardo, Santo André, Mauá and São Paulo",ftp.ibge.gov.br
Latin America,Brazil,Feira de Santana,617528,2015,ftp.ibge.gov.br
Latin America,Brazil,Fortaleza,2591188,2015,ftp.ibge.gov.br
Latin America,Brazil,Goiânia,1430697,2015,ftp.ibge.gov.br
Latin America,Brazil,Guarulhos,1324781,2015,ftp.ibge.gov.br
Latin America,Brazil,Jaboatão dos Guararapes,686122,2015,ftp.ibge.gov.br
Latin America,Brazil,João Pessoa,791438,2015,ftp.ibge.gov.br
Latin America,Brazil,Joinville,562151,2015,ftp.ibge.gov.br
Latin America,Brazil,Juiz de Fora,555284,2015,ftp.ibge.gov.br
Latin America,Brazil,Londrina,548249,2015,ftp.ibge.gov.br
Latin America,Brazil,Maceió,1013773,2015,ftp.ibge.gov.br
Latin America,Brazil,Natal,869954,2015,ftp.ibge.gov.br
Latin America,Brazil,Niterói,496696,2015,ftp.ibge.gov.br
