Region,Country,City,Value,Year,Source
Latin America,Argentina,Buenos Aires,0.97,2015,www.xcolectivo.com.ar
Latin America,Argentina,Córdoba,0.75,2015,www2.cordoba.gov.ar
Latin America,Argentina,Rosario,0.6,2015,www.etr.gov.ar
Oceania,Australia,Adelaide,2.47,2015,www.adelaidemetro.com.au
Oceania,Australia,Brisbane,3.98,"2015, zone 2",translink.com.au
Oceania,Australia,Sydney - Blacktown - Rouse Hill,1.71,2015,www.transportnsw.info
Oceania,Australia,Sydney - Liverpool - Parramatta,1.71,2015,www.transportnsw.info
Oceania,Australia,Sydney - Parramatta - Rouse Hill,1.71,2015,www.transportnsw.info
Europe,Belgium,Liège,2.1,2015,www.infotec.be
Latin America,Brazil,Belém,0.7,2015,g1.globo.com
Latin America,Brazil,Belo Horizonte,0.96,2016,www.bhtrans.pbh.gov.br
Latin America,Brazil,Blumenau,0.86,2015,g1.globo.com
Latin America,Brazil,Brasília,0.78,2015,www.dftrans.df.gov.br
Latin America,Brazil,Campinas,0.91,2015,www.emdec.com.br
Latin America,Brazil,Campo Grande,0.78,2015,www.assetur.com.br
Latin America,Brazil,Caxias do Sul,0.78,2015,www.visate.com.br
Latin America,Brazil,Criciúma,0.91,2015,www.actu.com.br
Latin America,Brazil,Curitiba,0.86,2015,www.urbs.curitiba.pr.gov.br
Latin America,Brazil,São Paulo - Metropolitan area,0.96,2015,www.emtu.sp.gov.br
Latin America,Brazil,Feira de Santana,0.7,2015,g1.globo.com
Latin America,Brazil,Fortaleza,0.62,2015,www.fortaleza.ce.gov.br
Latin America,Brazil,Goiânia,0.86,2015,g1.globo.com
Latin America,Brazil,Guarulhos,0.91,2015,novo.guarulhos.sp.gov.br
Latin America,Brazil,Jaboatão dos Guararapes,0.64,2015,www.diariodepernambuco.com.br
Latin America,Brazil,João Pessoa,0.7,2015,g1.globo.com
Latin America,Brazil,Joinville,0.96,2015,www.gidion.com.br
Latin America,Brazil,Juiz de Fora,0.65,2015,g1.globo.com
Latin America,Brazil,Londrina,0.84,2015,g1.globo.com
Latin America,Brazil,Maceió,0.71,2015,www.maceio.al.gov.br
Latin America,Brazil,Natal,0.69,2015,g1.globo.com
Latin America,Brazil,Niterói,0.86,2015,g1.globo.com
Latin America,Brazil,Olinda,0.64,2015,www.diariodepernambuco.com.br
Latin America,Brazil,Porto Alegre,0.84,2015,zh.clicrbs.com.br
Latin America,Brazil,Recife,0.64,2015,www.diariodepernambuco.com.br
Latin America,Brazil,Rio de Janeiro,0.98,2016,www.rioonibus.com
Latin America,Brazil,Salvador,0.78,2015,g1.globo.com
Latin America,Brazil,Santos,0.84,2015,g1.globo.com
Latin America,Brazil,São Paulo,0.98,2016,www.sptrans.com.br
