Region,Country,City,Value,Year,Source
Africa,Nigeria,Lagos,22,2015,www.lamata-ng.com
Africa,South Africa,Cape Town,17,2013,ITDP BRT Standard
Africa,South Africa,Johannesburg,43.5,2013,Rea Vaya
Asia,China,Beijing,74.5,2013,
Asia,China,Changde,18.9,2013,www.chinabrt.org
Asia,China,Changzhou,49.9,2013,www.chinabrt.org
Asia,China,Chengdu,28.8,2013,www.worldbrt.net
Asia,China,Chongqing,11.5,2011,www.chinabrt.org
Asia,China,Dalian,13.7,2013,www.chinabrt.org
Asia,China,Guangzhou,22.5,2013,
Asia,China,Hangzhou,55.4,2013,www.chinabrt.org
Asia,China,Hefei,7.2,2013,www.chinabrt.org
Asia,China,Jinan,83.8,2015,Jinan Urban Transport Research Center
Asia,China,Kunming,46.7,2010,www.chinabrt.org
Asia,China,Lanzhou,9.1,2013,www.gov.cn
Asia,China,Lianyungang,34,2013,www.chinabrt.org
Asia,China,Urumqi,40.2,2013,Urumuqi BRT website
Asia,China,Xiamen,48.9,2013,www.chinabrt.org
Asia,China,Yancheng,16,2013,www.chinabrt.org
Asia,China,Yichang,13,2015,www.itdp.org
Asia,China,Yinchuan,17,2013,www.chinabrt.org
Asia,China,Zaozhuang,33,2013,www.chinabrt.org
Asia,China,Zhengzhou,30.5,2013,www.chinabrt.org
Asia,India,Ahmedabad,82,2014,Making of Janmarg Amdavad atwww.asiabrts.org
Asia,India,Bhopal,24,2013,EMBARQ India
Asia,India,Indore,11.45,2013,EMBARQ India
Asia,India,Jaipur,7.1,2011,
Asia,India,Pune - Primpi-Chinchwad,29.2,2016,rainbowbrtpune.wordpress.com
Asia,India,Rajkot,10.7,2013,EMBARQ India
Asia,India,Surat,10,2014,cept.ac.in
Asia,Indonesia,Jakarta,206.75,2014,Transjakarta
Asia,Iran,Isfahan,17,2016,Division of Transportation - Isfahan Municipality  Division of Transportation - Isfahan Municipality  
Asia,Iran,Tabriz,18,2011,www.globalmasstransit.net
Asia,Iran,Tehran,129.9,2014,trafficorg.tehran.ir
Asia,Israel,Haifa,40,2013,www.jpost.com
Asia,Japan,Kesennuma - Tome,21.7,2014,ja.wikipedia.org
Asia,Japan,Nagoya,6.8,2007,Bus Rapid Transit Planning Guide (ITDP) 2007 ;www.chinabrt.org
Asia,Malaysia,Subang Jaya,5.4,2015,www.myrapid.com.my
Asia,Pakistan,Islamabad - Rawalpindi,22.5,,www.metrobus.com.pk
