Region,Country,City,Value,Year,Source
Oceania,Australia,Adelaide,O-Bahn,,
Asia,India,Ahmedabad,Janmarg,,
Northern America,United States,Albuquerque,Rapid Ride,2015,www.cabq.gov
Northern America,United States,Alexandria - Arlington,Metroway,2016,metrowayva.com
Europe,Netherlands,Almere,MAXX,,
Europe,Netherlands,Amsterdam,Zuidtangent BRT,,
Oceania,New Zealand,Auckland,Northern Busway,,
Asia,Thailand,Bangkok,Bangkok BRT,,
Europe,Spain,Barcelona,RetBus,2011,
Latin America,Venezuela,Barquisimeto,Transbarca,,www.barquisimeto.com
Latin America,Colombia,Barranquilla,Transmetro,,
Asia,China,Beijing,Beijing BRT,,
Europe,France,Belfort,Optymo BHNS,,
Latin America,Brazil,Belo Horizonte,MOVE,"2014, only corridors Antônio Carlos, Cristiano Machado and Área Central are part of MOVE system",
Latin America,Brazil,Belém,,,
Asia,India,Bhopal,MyBus,,
Latin America,Brazil,Blumenau,,,
Latin America,Colombia,Bogotá,TransMilenio,,
Northern America,United States,Boston,MBTA Silver Line,,
Europe,United Kingdom,Bradford,Manchester Road,,
Northern America,Canada,Brampton,Züm,2015,www.brampton.ca
Latin America,Brazil,Brasília,,,
Europe,Italy,Brescia,The LAM network,,
Oceania,Australia,Brisbane,Brisbane Busway,,
Latin America,Colombia,Bucaramanga,Metrolínea,,
Latin America,Argentina,Buenos Aires,Metrobus,,
Europe,France,Caen,Twisto TVR,,
Latin America,Colombia,Cali,MIO,,
Europe,United Kingdom,Cambridge,Cambridgeshire Guided Busway,,
Latin America,Brazil,Campinas,,,
Latin America,Brazil,Campo Grande,Sistema Integrado de Transportes,,
Europe,France,Cannes,Le Palm Express,,
Africa,South Africa,Cape Town,MyCiti,2015,
Latin America,Venezuela,Caracas,BusCaracas,,
Europe,Spain,Castellon,TVRCAS,,
Latin America,Brazil,Caxias do Sul,,,
Asia,China,Changde,Changde BRT,,
Asia,China,Changzhou,Changzhou BRT,,
Asia,China,Chengdu,Chengdu BRT,2013,
Asia,Taiwan,Chiayi,Chiayi BRT,,
Northern America,United States,Chicago,BRTChicago,,
Latin America,Mexico,Chihuahua,ViveBús,,
Asia,China,Chongqing,Chongqing BRT,,
Europe,France,Châlon-sur-Saône,Flash,,
Northern America,United States,Cleveland,HealthLine,,
Europe,United Kingdom,Crawley,Fastway,,
Latin America,Brazil,Criciúma,,,
Latin America,Brazil,Curitiba,Rede Integrada de Transporte,,
Latin America,Argentina,Córdoba,Solo Bus,2014,
Asia,China,Dalian,Dalian BRT,,
Europe,France,Douai,Le Tram,,
Europe,Ireland,Dublin,QBC,,
Latin America,Mexico,Ecatepec,Mexibús,,
Europe,United Kingdom,Edinburgh,Fastlink,,
Europe,Netherlands,Eindhoven,Phileas,,
Europe,Netherlands,Enschede,HOV lines,,
Europe,Germany,Essen,The Spurbus,,
Northern America,United States,Eugene,EmX,,
Northern America,United States,Everett,Swift,,
Europe,France,Evry,Tice,2014,
Europe,United Kingdom,Fareham - Gosport,Eclipse,,
Latin America,Brazil,Feira de Santana,,,
Latin America,Brazil,Fortaleza,Sistema Integrado de Transportes,,
Northern America,Canada,Gatineau,Rapibus,,
Latin America,Brazil,Goiânia,Rede Metropolitana de Transporte Coletivo,,
Europe,Sweden,Gothenburg,Stombuss,,
Latin America,El Salvador,Gran San Salvador,SITRAMSS,,www.vmt.gob.sv
Europe,Spain,Granada,Línea de Alta Capacidad (LAC),2015,www.granadadirect.com
Latin America,Mexico,Guadalajara,Macrobús,,
Latin America,Mexico,Guadalupe,TransMetro,,
Asia,China,Guangzhou,Guangzhou BRT,,
Latin America,Brazil,Guarulhos,,,
Latin America,Guatemala,Guatemala,Transmetro,,
Latin America,Ecuador,Guayaquil,Metrovía,,
Asia,Israel,Haifa,Metronit,2015,en.wikipedia.org
Northern America,Canada,Halifax,Metrolink,,
Europe,Germany,Hamburg,The MetroBus Line 5,,
Asia,China,Hangzhou,Hangzhou BRT,,
Asia,China,Hefei,Hefei BRT,,
Europe,Finland,Helsinki,Runkolinja 550,2014,
Asia,India,Indore,ibus,,
Asia,Iran,Isfahan,Isfahan BRT,,
Asia,Pakistan,Islamabad - Rawalpindi,Rawalpindi-Islamabad Metrobus,2015,www.metrobus.com.pk
Europe,Turkey,Istanbul,Metrobüs,2015,metrobus.iett.gov.tr
Latin America,Brazil,Jaboatão dos Guararapes,,,
Asia,India,Jaipur,Jaipur Bus,,
Asia,Indonesia,Jakarta,TransJakarta,,
Asia,China,Jinan,Jinan BRT,,
Africa,South Africa,Johannesburg,Rea Vaya,2015,
Latin America,Brazil,Joinville,,,
Europe,Sweden,Jonkoping,PT,,
Latin America,Brazil,João Pessoa,Corredor de Ônibus de João Pessoa,,
Latin America,Brazil,Juiz de Fora,,,
Latin America,Mexico,Juárez,ViveBús,,
Northern America,United States,Kansas City,MAX,,
Europe,United Kingdom,Kent,Fastrack,,
Asia,Japan,Kesennuma - Tome,,,
Asia,China,Kunming,Busways,,
Europe,France,La Rochelle,ILLICO,,
Africa,Nigeria,Lagos,Lagos BRT,,
Asia,Pakistan,Lahore,Lahore Metro Bus System,,www.pakistantimes.com
Asia,China,Lanzhou,Lanzhou BRT,,
Northern America,United States,Las Vegas,RTC Express Routes,,
Europe,United Kingdom,Leeds,Superbus,,
Latin America,Mexico,León de los Aldama,Sistema Integrado de Transporte Optibus,,
Asia,China,Lianyungang,Lianyugang BRT,,
Europe,France,Lille,Liane,,
Latin America,Peru,Lima,Metropolitano,,
Europe,Portugal,Lisbon,24 de Julho Corridor,,
Europe,Belgium,Liège,,,
Europe,United Kingdom,London,East London Transit,,
Latin America,Brazil,Londrina,,,
Europe,France,Lorient,BHLS,,
Northern America,United States,Los Angeles,,,
Europe,United Kingdom,Luton,FTR train to plane,,
Europe,France,Lyon,C-Lines,,
Latin America,Brazil,Maceió,,,
Europe,Spain,Madrid,Bus VAO,2014,
Europe,United Kingdom,Manchester,QBC,2014,
Europe,France,Maubeuge,BHLS - Viavil,,
Latin America,Colombia,Medellín,Metroplús,,
Latin America,Venezuela,Merida,Tromerca,,
Europe,France,Metz,Mettis,,
Latin America,Mexico,Mexico City,Metrobús,,
Northern America,United States,Miami,South Miami-Dade Busway,,
Latin America,Mexico,Monterrey,Ecovía,,
Latin America,Uruguay,Montevideo,Sistema de Transporte Metropolitano,,
Asia,Japan,Nagoya,Yutorito Line,,
Europe,France,Nancy,TVR (GLT),,
Europe,France,Nantes,BusWay,,
Latin America,Brazil,Natal,Sistema Integrado de Transportes,,
Northern America,United States,New York,Select Bus Service (SBS),2010,
Latin America,Mexico,Nezahualcoyotl,Mexibús,,
Europe,France,Nice,Ligne d'azur,,
Latin America,Brazil,Niterói,,,
Europe,France,Nîmes,Tango,2015,www.nimes-metropole.fr
Northern America,United States,Oakland,San Pablo Rapid,,
Europe,Germany,Oberhausen,ÖPNV-Trasse,2011,COST - European Cooperation in Science and Technology
Latin America,Brazil,Olinda,Sistema Estrutural Integrado (Leste-Oeste),,
Northern America,United States,Orlando,LYNX Lymmo,,
Northern America,Canada,Ottawa,Transitway,,www.octranspo1.com
Latin America,Panama,Panama,Metrobús,,
Europe,France,Paris,"TVM, RATP, T ZEN",,
Latin America,Colombia,Pereira,Megabús,,
Northern America,United States,Phoenix,LINK,,
Northern America,United States,Pittsburgh,Pittsburgh BRT,,
Latin America,Trinidad and Tobago,Port of Spain - Arima,,,
Latin America,Brazil,Porto Alegre,,,
Europe,Czech Republic,Prague,PT Bus,,
Europe,Italy,Prato,LAM,,
Latin America,Mexico,Puebla,Red Urbana de Transporte Articulado (RUTA) ,,
Asia,India,Pune,Pune BRTS,,
Latin America,Ecuador,Quito,Metrobus-Q,,
Asia,India,Rajkot,Rajpath,,
Latin America,Brazil,Recife,Via Livre,"2014, only corridors Norte-Sul and Leste-Oeste",
Latin America,Brazil,Rio de Janeiro,BRT Rio,"2014, only corridors TransOeste and TransCarioca",
Latin America,Argentina,Rosario,,,
Europe,France,Rouen,TEOR,,
Europe,United Kingdom,Runcorn,,,
Europe,France,Saint-Nazaire,Hélyce,,
Latin America,Brazil,Salvador,Sistema de Transporte Coletivo por Ônibus de Salvador,,
Northern America,United States,San Bernardino,sbX,,
Northern America,United States,San Diego,SuperLoop,,
Latin America,Chile,Santiago,Transantiago corridors,,
Latin America,Brazil,Santos,,,
Asia,Republic of Korea,Seoul,Median bus lanes,,
Northern America,United States,Snohomish County,Swift,,
Latin America,Brazil,Sorocaba,,,
Europe,Sweden,Stockholm,Stockholm BHLS (The trunk network for Buses),,
Northern America,United States,Stockton,Metro Express,2015,www.sanjoaquinrtd.com
Europe,France,Strasbourg,Ligne G du BHNS de Strasbourg,,
Asia,Malaysia,Subang Jaya,BRT Sunway Line,2015,www.sunway.com.my
Latin America,Brazil,Sumaré,,,
Asia,India,Surat,SitiLink,2014,
Europe,United Kingdom,Swansea,FTMetro,,
Oceania,Australia,Sydney - Blacktown - Rouse Hill,T-way,,
Oceania,Australia,Sydney - Liverpool - Parramatta,T-way,,
Oceania,Australia,Sydney - Parramatta - Rouse Hill,T-way,,
Latin America,Brazil,São Paulo,,,
Latin America,Brazil,São Paulo - Metropolitan area,Corredor Metropolitano ABD,,
Asia,Iran,Tabriz,Tabriz BRT,,
Asia,Taiwan,Taichung,Taichung BRT,,
Asia,Taiwan,Taipei,Busways,,
Asia,Iran,Tehran,Tehran BRT,,
Latin America,Brazil,Teresina,,,
Europe,France,Toulouse,BSP,,
Latin America,Brazil,Uberaba,Vetor,2015,www.uberaba.mg.gov.br
Latin America,Brazil,Uberlândia,Sistema Integrado de Transportes de Uberlândia,2013,www.uberlandia.mg.gov.br
Asia,China,Urumqi,Urumqi BRT,,
Europe,Netherlands,Utrecht,TVM,,
Northern America,Canada,Vancouver,TransLink,,
Northern America,Canada,Waterloo,iXpress,2015,www.grt.ca
Northern America,Canada,Winnipeg,RT,,
Asia,China,Xiamen,Xiamen BRT,,
Asia,China,Yancheng,Yancheng BRT,,
Asia,China,Yichang,Yichang BRT,2015,citiscope.org
Asia,China,Yinchuan,Yinchuan BRT,,
Europe,United Kingdom,York,FTR,,
Northern America,Canada,York Regional Municipality,Viva,,
Asia,China,Zaozhuang,Zaozhuang BRT,,
Asia,China,Zhengzhou,Zhengzhou BRT,,
Europe,Switzerland,Zurich,VBZ zurich,,
