Region,Country,City,Value,Year,Source
Africa,Nigeria,Lagos,2008,,Viva 2010 ( www.uncrd.or.jp ); Trans-Africa Consortium 2010 ;www.itdp.org
Africa,South Africa,Cape Town,2011,,www.capetown.gov.za
Africa,South Africa,Johannesburg,2009,,Rea Vaya
Asia,China,Beijing,2004,,www.chinabrt.org
Asia,China,Changde,2012,,www.chinabrt.org
Asia,China,Changzhou,2008,,www.chinabrt.org
Asia,China,Chengdu,2013,,www.worldbrt.net
Asia,China,Chongqing,2008,,www.chinabrt.org
Asia,China,Dalian,2008,,www.chinabrt.org
Asia,China,Guangzhou,2010,,www.chinabrt.org
Asia,China,Hangzhou,2006,,www.chinabrt.org
Asia,China,Hefei,2010,,www.chinabrt.org
Asia,China,Jinan,2008,,www.chinabrt.org
Asia,China,Kunming,1999,,www.chinabrt.org
Asia,China,Lanzhou,2013,,www.chinabrt.org
Asia,China,Lianyungang,2012,,www.chinabrt.org
Asia,China,Urumqi,2011,,www.chinabrt.org
Asia,China,Xiamen,2008,,www.chinabrt.org
Asia,China,Yancheng,2010,,www.chinabrt.org
Asia,China,Yichang,2015,,www.itdp.org
Asia,China,Yinchuan,2012,,www.chinabrt.org
Asia,China,Zaozhuang,2010,,www.chinabrt.org
Asia,China,Zhengzhou,2009,,www.chinabrt.org
Asia,India,Ahmedabad,2009,,www.worldbrt.net
Asia,India,Bhopal,2013,,Embarq India
Asia,India,Indore,2013,,EMBARQ India
Asia,India,Jaipur,2010,,
Asia,India,Pune,2006,,
Asia,India,Rajkot,2012,,EMBARQ India
Asia,India,Surat,2014,,www.embarq.org
Asia,Indonesia,Jakarta,2004,,Transjakarta
Asia,Iran,Tabriz,2009,,www.globalmasstransit.net
Asia,Iran,Tehran,2008,,Tehran Bus
Asia,Israel,Haifa,2013,,www.brt.cl
Asia,Japan,Kesennuma - Tome,2012,,en.wikipedia.org
Asia,Japan,Nagoya,2001,,Bus Rapid Transit Planning Guide (ITDP) 2007 ; www.chinabrt.org
Asia,Malaysia,Subang Jaya,2015,,www.chatpropertymalaysia.com
Asia,Pakistan,Islamabad - Rawalpindi,2015,,www.pakistantimes.com
Asia,Pakistan,Lahore,2013,,thecityfix.com
Asia,Republic of Korea,Seoul,2004,,Bus Rapid Transit Planning Guide (ITDP) 2007
Asia,Taiwan,Chiayi,2008,,e-bus.chiayi.gov.tw
Asia,Taiwan,Taichung,2014,,easts.info
Asia,Taiwan,Taipei,1998,,Bus Rapid Transit Planning Guide (ITDP) 2007
Asia,Thailand,Bangkok,2010,,www.chinabrt.org
Europe,Belgium,Liège,1968,,siteresources.worldbank.org
Europe,Czech Republic,Prague,1994,,
Europe,Finland,Helsinki,2003,,"COST - European Cooperation in Science and Technology, 2006 change the brand"
Europe,France,Belfort,2013,,info.optymo.fr
Europe,France,Caen,2002,,www.nbrti.org
Europe,France,Cannes,2013,,www.silteplait.info
Europe,France,Châlon-sur-Saône,2012,,www.ville-rail-transports.com
Europe,France,Douai,2006,,Viva 2010 ( www.uncrd.or.jp ); connectedcities.eu ; lw2.easy-site.nl
Europe,France,Evry,1975,,snotice.fr
Europe,France,La Rochelle,2009,,www.ville-larochelle.fr
Europe,France,Lille,2008,,www.nbrti.org bhns.fr
Europe,France,Lorient,2007,,COST - European Cooperation in Science and Technology .
Europe,France,Lyon,2006,,www.nbrti.org
Europe,France,Maubeuge,2008,,www.nbrti.org
Europe,France,Metz,2013,,mettis.metzmetropole.fr
Europe,France,Nancy,2001,,www.nbrti.org
Europe,France,Nantes,2006,,COST - European Cooperation in Science and Technology
Europe,France,Nice,2010,,bhns.fr
Europe,France,Nîmes,2012,,trambus.nimes-metropole.fr
Europe,France,Paris,1993,,COST - European Cooperation in Science and Technology
Europe,France,Rouen,2001,,www.la-crea.fr
Europe,France,Saint-Nazaire,2012,,www.aup-urba.fr
Europe,France,Strasbourg,2013,,www.lemoniteur.fr
Europe,France,Toulouse,2008,,Viva 2010 ( www.uncrd.or.jp ); CERTU 2010
Europe,Germany,Essen,1980,,COST - European Cooperation in Science and Technology
Europe,Germany,Hamburg,2005,,COST - European Cooperation in Science and Technology
Europe,Germany,Oberhausen,1996,,COST - European Cooperation in Science and Technology
Europe,Ireland,Dublin,1997,,"Heddebaut O. et. al ""The European Bus with a High Level of Service (BHLS): Concept and Practice"", Built Environment Vol 36, No. 3, 2010"
Europe,Italy,Brescia,2006,,COST - European Cooperation in Science and Technology
Europe,Italy,Prato,2003,,www.uitp.org
Europe,Netherlands,Almere,2004,,
Europe,Netherlands,Amsterdam,2002,,COST - European Cooperation in Science and Technology
Europe,Netherlands,Eindhoven,2003,,Bus Rapid Transit Planning Guide (ITDP) 2007
Europe,Netherlands,Enschede,2000,,www.uitp.org
Europe,Netherlands,Utrecht,2001,,Viva 2010 ( www.uncrd.or.jp ); www.ashford.gov.uk ;www.chinabrt.org
