country,country_BRTData,country_ITDP
Argentina,Argentina,Argentina
Australia,Australia,Australia
Belgium,Belgium,NA
Brazil,Brazil,Brazil
Canada,Canada,Canada
Chile,Chile,Chile
China,China,China
Colombia,Colombia,Colombia
Czech Republic,Czech Republic,
Ecuador,Ecuador,Ecuador
El Salvador,El Salvador,
Finland,Finland,
France,France,France
Germany,Germany,
Guatemala,Guatemala,Guatemala
India,India,India
Indonesia,Indonesia,Indonesia
Iran,Iran,
Ireland,Ireland,
Israel,Israel,
Italy,Italy,
Japan,Japan,
Malaysia,Malaysia,
Mexico,Mexico,Mexico
Netherlands,Netherlands,
New Zealand,New Zealand,
Nigeria,Nigeria,
Pakistan,Pakistan,
Panama,Panama,
Peru,Peru,Peru
Portugal,Portugal,
Republic of Korea,Republic of Korea,
South Africa,South Africa,South Africa
South Korea,,South Korea
Spain,Spain,
Sweden,Sweden,
Switzerland,Switzerland,
Taiwan,Taiwan,
Thailand,Thailand,Thailand
Trinidad and Tobago,Trinidad and Tobago,
Turkey,Turkey,Turkey
United Kingdom,United Kingdom,UK
United States,United States,USA
Uruguay,Uruguay,
Venezuela,Venezuela,Venezuela
