City,Country,Year,System,Corridor,Data reliability from BRTdata,Population,"Population, metro area","Population density, metropolitan area",Year population,"Peak load, corridor (passengers per hour per direction)","Daily demand corridor(ppd)",Speed (kph) BRTdata,Speed (kph) ITDP,Year Speed (kph) BRTdata,Validation,Corridor length (km) BRTdata,Corridor Length (km) ITDP,Year Corridor length (km) BRTdata,Validation,Busway alignment,Dedicated right-of-way,Off-board fare collection,Intersection treatments,Platform-level boarding,BRT BASICS,Multiple routes,Peak frequency 2013,Off-peak frequency 2013,"Express, limited, and local services",Control center,Located In top ten corridors,Hours of operations,Demand Profile,Multi-corridor network,SERVICE PLANNING,Passing lanes at stations,Minimizing bus emissions,Stations set back from intersections,Center stations,Pavement quality,INFRASTRUCTURE,Distances between stations,Safe and comfortable stations,Number of doors on bus,Docking bays and sub-stops,Sliding doors in BRT stations,STATIONS,Branding,Passenger information,COMMUNICATIONS,Universal access,Integration with other public transport,Pedestrian access,Secure bicycle parking,Bicycle lanes,Bicycle-sharing integration,ACCESS AND INTEGRATION,TOTAL 100,MINIMUM BRT BASICS REQUIRED,Commercial Speeds,"Peak passengers per hour per direction (pphpd) below 1,000",Lack of enforcement of right-of-way,Significant gap between bus floor and station platform,Overcrowding,"Poorly-maintained Busway, Buses, Stations and Technology Systems",Peak frequency 2014,Off-peak frequency 2014,POINT DEDUCTIONS,TOTAL SCORE,CLASSIFICATION
Buenos Aires,Argentina,2013,Metrobus,Juan B Justo,,"2,891,082","15,594,428",50.7,2010,"3,500","94,000",24,>20,2011,1,12,12.5,2016,1,7,7,0,5,4,23,4,3,2,0,0,2,2,3,2,18,0,0,3,0,1,4,2,3,3,1,0,9,1,1,2,2,1,3,0,0,0,6,62,YES,0,0,-1,0,0,0,,,-1,61,BRONZE
Buenos Aires,Argentina,2014,Metrobus,9 de Julio,,"2,891,082","15,594,428",50.7,2010,,"255,000",NI,>20,NI,0,3,3.5,2013,1,8,8,0,6,6,28,4,,,0,0,2,2,3,2,13,4,0,3,2,2,11,2,3,2,1,0,8,1,1,2,3,1,3,0,1,0,8,70,YES,0,0,0,0,0,0,0,0,0,70,SILVER
Brisbane,Australia,2013,(no BRT system name),South East Busway,,"1,970,000","2,065,996",347.2,2010-2011-2011,"19,900","108,300",55,>20,2013,1,16.5,16.5,2013,1,7,7,0,6,3,23,4,1,1,3,3,2,2,3,2,21,4,2,3,2,2,13,0,3,3,0,0,6,3,2,5,3,3,3,2,1,0,12,80,YES,0,0,0,-2,0,-1,,,-3,77,SILVER
Belo Horizonte,Brazil,2014,Move,Cristiano Machado,,"2,502,557","4,963,420",524.7,2015-2012-2012,"3,500","185,000",18.96,>20,2014,1,7.1,6.7,2014,1,8,8,8,5,7,36,4,,,3,3,2,1,3,2,18,4,1,3,2,2,12,2,3,3,1,1,10,3,2,5,3,2,1,1,1,0,8,89,YES,0,0,-2,-1,0,0,0,0,-3,86,GOLD
Curitiba,Brazil,2013,Rede Integrada de Transporte (RIT),Green Line,,,,,,,,,>20,,,,9.5,,0,7,7,7,6,6,33,4,3,2,3,3,2,2,3,2,24,4,2,3,1,2,12,2,3,3,1,1,10,3,1,4,2,3,3,0,1,0,9,92,YES,0,0,0,0,0,0,,,0,92,[
Curitiba,Brazil,2013,Rede Integrada de Transporte (RIT),(All RIT corridors),,,,,,,,,>20,,,,74,,0,7,7,7,6,6,33,4,3,2,3,3,2,2,3,2,24,0,1,3,0,1,5,2,2,3,0,1,8,3,1,4,2,3,2,0,1,0,8,82,YES,0,0,0,0,0,0,,,0,82,SILVER
Rio de Janeiro,Brazil,2013,(no BRT system name),TransOeste,,,,,,,,,>20,,,,54.7,,0,7,7,7,6,6,33,4,3,2,3,2,2,2,3,2,23,4,2,3,2,1,12,2,3,3,1,1,10,3,1,4,3,1,2,1,1,0,8,90,YES,0,0,0,-1,0,-1,,,-2,88,GOLD
Rio de Janeiro,Brazil,2014,(no BRT system name),TransOeste,,"6,476,631","12,229,867","2,208.80",2015-2014-2014,"13,000","220,000",Express service: 50.1 and Local service: 29.2,>20,2015,1,58,54.7,2016,0,8,8,8,7,7,38,4,,,3,3,2,2,3,2,19,4,2,3,2,1,12,2,2,3,1,0,8,3,1,4,3,2,1,1,1,0,8,89,YES,0,0,0,-3,-5,-4,0,0,-12,77,SILVER
Rio de Janeiro,Brazil,2014,(no BRT system name),Transcarioca,,"6,476,631","12,229,867","2,208.80",2015-2014-2014,"11,000","230,000",Express service: 29.8 and Local service: 25.4,>20,2015,1,39,39,2014,1,8,8,8,7,7,38,4,,,3,3,2,2,3,2,19,4,2,3,2,2,13,2,2,3,1,1,9,3,0,3,3,2,2,0,0,0,7,89,YES,0,0,-1,-2,0,0,0,0,-3,86,GOLD
SÜo Paulo,Brazil,2013,(no BRT system name),Expresso Tiradentes,,,,,,,,,>20,,,,8,,0,7,7,7,6,6,33,4,3,2,0,3,2,2,3,2,21,0,2,3,1,2,8,0,3,3,1,0,7,3,2,5,2,1,3,0,0,0,6,80,YES,0,0,0,0,0,0,,,0,80,SILVER
SÜo Paulo,Brazil,2013,(no BRT system name),Abd. Jabaquara,,,,,,,,,>20,,,,5,,0,7,7,1,5,0,20,4,3,1,0,3,2,2,3,2,20,0,2,3,0,2,7,2,1,3,0,0,6,2,0,2,1,1,3,0,0,0,5,60,YES,0,0,0,0,0,0,,,0,60,BRONZE
