Year,Country,City,System,Corridor,Corridor Length (km),BRT Basics - Minimum score of 20 points needed,Dedicated right-of-way - Minimum 4 points,Busway alignment - Minimum 4 points,Off-board fare collection,Intersection treatments,Platform-level boarding,Service Planning,Multiple routes,"Express, limited, and local services",Control center,Located In top ten corridors,Demand Profile,Hours of operations,Multi-corridor network,Infrastructure,Passing lanes at stations,Minimizing bus emissions,Stations set back from intersections,Center stations,Pavement quality,Station Design and Station-bus Interface,Distances between stations,Safe and comfortable stations,Number of doors on bus,Docking bays and sub-stops,Sliding doors in BRT stations,Communications and Marketing,Branding,Passenger information,Integration and Access,Universal access,Integration with other public transport,Pedestrian access,Secure bicycle parking,Bicycle lanes,Bicycle-sharing integration,TOTAL 100,BRT BASICS (MINIMUM NEEDED 20),Point Deductions,Commercial Speeds,"Peak passengers per hour per direction (pphpd) below 1,000",Lack of enforcement of right-of-way,Significant gap between bus floor and station platform,Overcrowding,Peak frequency,Off-peak frequency,"Poorly-maintained Busway, Buses, Stations and Technology Systems",Total Score,Classification,Suggestions for Quick Improvements 1,Suggestions for Quick Improvements 2,Suggestions for Quick Improvements 3
2014,Argentina,Buenos Aires,Metrobus,9 de Julio,3.5,28,8,8,0,6,6,13,4,0,0,2,3,2,2,11,4,0,3,2,2,8,2,3,2,1,0,2,1,1,8,3,1,3,0,1,0,70,28,0,0,0,0,0,0,0,0,0,70,SILVER,1) Implement off-board fare collection,2) Add true express service along corridor,3) Improve fare integration between buses and metro
2014,Brazil,Belo Horizonte,Move,Cristiano Machado,6.7,36,8,8,8,5,7,18,4,3,3,2,3,1,2,12,4,1,3,2,2,10,2,3,3,1,1,5,3,2,8,3,2,1,1,1,0,89,36,-3,0,0,-2,-1,0,0,0,0,86,GOLD,1) Implement more bus priority and turn restrictions at intersections,2) improve fare and information integration between BRT and other transit services,3) Improve ROW enforcement in CBD
2014,Brazil,Rio de Janeiro,(no BRT system name),Transoeste,54.7,38,8,8,8,7,7,19,4,3,3,2,3,2,2,12,4,2,3,2,1,8,2,2,3,1,0,4,3,1,8,3,2,1,1,1,0,89,38,-12,0,0,0,-3,-5,0,0,-4,77,SILVER,1) Rebuild deteriorated busway,2) Run more buses to reduce crowding,3) Train drivers to pull closer to platform to reduce gap.
2014,Brazil,Rio de Janeiro,(no BRT system name),Transcarioca,39,38,8,8,8,7,7,19,4,3,3,2,3,2,2,13,4,2,3,2,2,9,2,2,3,1,1,3,3,0,7,3,2,2,0,0,0,89,38,-3,0,0,-1,-2,0,0,0,0,86,GOLD,"1) Significantly improve customer information, including real-time arrival data",2) Train drivers to eliminate gap between bus & platform,3) Improve bike access through bicycle lanes and secure bicycle parking
2014,Chile,Santiago,Transantiago,Avenida Grecia,10,21,7,8,0,6,0,14,4,0,3,2,3,2,0,7,4,0,3,0,0,7,2,1,3,1,0,2,2,0,5,1,2,2,0,0,0,56,21,0,0,0,0,0,0,0,0,0,56,BRONZE,1) Significanlty improve customer information,2) Add express or limited services,3) Improve bike access through bicycle lanes and secure bicycle parking
2014,Chile,Santiago,Transantiago,"Avenidas Las Industrias, Pedro Aguirre Cerda and Santa Rosa",15.2,22,8,8,0,6,0,14,4,0,3,2,3,2,0,7,4,0,3,0,0,7,2,1,3,1,0,2,2,0,5,1,2,2,0,0,0,57,22,0,0,0,0,0,0,0,0,0,57,BRONZE,1) Significanlty improve customer information,2) Add express or limited services,3) Improve bike access through bicycle lanes and secure bicycle parking
2014,China,Changde,Changde BRT,Changde Dadao,18.9,27,8,8,4,0,7,11,4,0,3,2,0,2,0,3,0,1,0,0,2,8,0,3,3,1,1,5,3,2,4,0,3,0,0,1,0,58,27,-5,0,-5,0,0,0,0,0,0,53,Basic BRT,1) Expand off-board fare collection to entrie corridor,2) Implement turn restrictions along corridor,3) Improve access to stations and within stations
2014,China,Chengdu,Chengdu BRT,Erhuan Lu,28.8,38,8,8,8,7,7,11,4,0,3,2,0,2,0,7,0,1,3,1,2,5,0,3,0,1,1,5,3,2,6,0,3,2,0,1,0,72,38,0,0,0,0,0,0,0,0,0,72,SILVER,1) Add elevators to improve wheelchair access,2) Improve bike access through bicycle lanes and secure bicycle parking,3) Expand bike share to include BRT corridor
2014,China,Dalian,Dalian BRT,Zhangqian Lu - Songjiang Lu - Huabei Lu - Xi'an Lu,9,27,5,7,8,0,7,8,4,0,0,2,0,2,0,6,0,0,3,1,2,4,0,1,3,0,0,2,1,1,4,0,2,2,0,0,0,51,27,0,0,0,0,0,0,0,0,0,51,Basic BRT,1) Implement turn restrictions and improve bus priority at intersections,2) Implement corridor branding and improved passenger information systems,3) Improve bike access through bicycle lanes and secure bicycle parking
2014,China,Hefei,Hefei BRT,Hefei Line 1 (Changjiang),15,20,4,8,8,0,0,11,4,0,3,2,0,2,0,12,4,1,3,2,2,7,0,3,3,1,0,1,0,1,6,0,2,2,0,2,0,57,20,-5,-3,0,-2,0,0,0,0,0,52,Basic BRT,1) Implement turn restrictions and improve bus priority at intersections,2) Implement corridor branding and improved passenger information systems,3) Improve ROW enforcement
2014,China,Jinan,Jinan BRT,B7 corridor Xierhuan,7.1,31,8,8,8,0,7,7,0,0,3,0,0,2,2,5,0,1,0,2,2,9,2,3,3,0,1,5,3,2,8,0,3,3,0,2,0,65,31,-5,0,-5,0,0,0,0,0,0,60,BRONZE,1) Implement turn restrictions and improve bus priority at intersections,2) Implement universal access to stations,3) Improve bike access through secure bicycle parking
2014,China,Lianyungang,Lianyungang BRT,Xingfu-Hailian-Xingangcheng-Gangcheng,32.8,31,8,8,8,0,7,11,4,0,3,2,0,2,0,4,0,1,0,1,2,8,0,3,3,1,1,5,3,2,5,0,3,0,0,2,0,64,31,-3,-3,0,0,0,0,0,0,0,61,BRONZE,1) Implement turn restrictions and improve bus priority at intersections,2) Improve pedestrian access to stations,3) Improve bike access through secure bicycle parking
2014,China,Urumuqi,Urumuqi BRT,Corridor 1 (Beijinglu-Xibeilu-Yangzijianglu),15.5,31,8,8,8,0,7,16,4,0,3,2,3,2,2,4,0,0,0,2,2,10,2,3,3,1,1,5,3,2,4,0,3,1,0,0,0,70,31,-10,-10,0,0,0,0,0,0,0,60,BRONZE,1) Implement turn restrictions and improve bus priority at intersections,2) Improve pedestrian access to stations,3) Improve bike access through secure bicycle parking
2014,China,Xiamen,Xiamen BRT,,51,38,8,8,8,7,7,15,4,2,3,2,0,2,2,7,0,1,3,1,2,8,0,3,3,1,1,5,3,2,4,0,3,1,0,0,0,77,38,-3,0,0,0,0,-3,0,0,0,74,SILVER,1) Improve pedestrian access to stations,2) Improve bike access through secure bicycle parking,3) Run more buses or increase sixe of vehicles to reduce crowding
2014,China,Yancheng,Yancheng BRT,Kaifang Dadao - Jiefang Nanlu,16,31,8,8,8,0,7,9,4,0,3,0,0,2,0,3,0,0,0,1,2,9,2,3,3,0,1,3,2,1,3,0,2,1,0,0,0,58,31,-3,-3,0,0,0,0,0,0,0,55,BRONZE,1) Implement turn restrictions and improve bus priority at intersections,2) Improve pedestrian access to stations,3) Improve bike access through secure bicycle parking and bicycle lanes
2014,China,Yinchuan,Yinchuan BRT,Huanghe East-Nanxun-Qinghe,17,29,8,8,8,0,5,11,4,0,3,2,0,2,0,4,0,1,0,1,2,10,2,3,3,1,1,3,1,2,5,0,3,1,0,1,0,62,29,-6,-6,0,0,0,0,0,0,0,56,BRONZE,1) Implement turn restrictions and improve bus priority at intersections,2) Improve corridor branding,3) Improve pedestrian access to stations
2014,China,Zaozhuang,Zaozhuang BRT,B1,33.5,25,8,5,5,0,7,16,4,3,3,2,0,2,2,3,0,0,0,1,2,7,0,3,3,1,0,4,3,1,5,0,2,2,0,1,0,60,25,-3,0,0,0,0,0,-3,0,0,57,BRONZE,1) Expand off-board fare collection to entire corridor,2) Implement turn restrictions and improve bus priority at intersections,3) Improve peak hour frequency of service along corridor
2014,China,Zaozhuang,Zaozhuang BRT,B3,32.2,31,8,8,8,0,7,7,0,0,3,0,0,2,2,3,0,0,0,1,2,8,0,3,3,1,1,4,3,1,4,0,2,2,0,0,0,57,31,-8,0,-5,0,0,0,-3,0,0,49,Basic BRT,1) Implement turn restrictions and improve bus priority at intersections,2) Examine adding additional routes to service the corridor,3) Improve peak hour frequency of service along corridor
2014,China,Zaozhuang,Zaozhuang BRT,B5,18.5,31,8,8,8,0,7,7,0,0,3,0,0,2,2,3,0,0,0,1,2,8,0,3,3,1,1,4,3,1,5,0,2,2,0,1,0,58,31,-8,0,-5,0,0,0,-3,0,0,50,Basic BRT,1) Implement turn restrictions and improve bus priority at intersections,2) Examine adding additional routes to service the corridor,3) Improve peak hour frequency of service along corridor
2014,China,Zhengzhou,Zhengzhou BRT,(no corridor name),30.5,31,8,8,8,0,7,11,4,0,3,2,0,2,0,3,0,0,0,1,2,10,2,3,3,1,1,5,3,2,5,0,3,1,0,1,0,65,31,-6,-6,0,0,0,0,0,0,0,59,BRONZE,1) Implement turn restrictions and improve bus priority at intersections,2) Improve pedestrian access to stations,3) Improve bike access through secure bicycle parking and bicycle lanes
2014,China,Zhongshan,Zhongshan BRT,Zhongshan 2nd-5th Rd - Jiangling Rd,13,31,8,8,8,0,7,11,4,0,3,2,0,2,0,5,0,1,0,2,2,8,0,3,3,1,1,5,3,2,7,1,3,3,0,0,0,67,31,-5,0,-5,0,0,0,0,0,0,62,BRONZE,1) Implement turn restrictions and improve bus priority at intersections,2) Improve bike access through secure bicycle parking and bicycle lanes,3) Consider bike share to improve bike access and increase BRT ridership
2014,Ecuador,Quito,Metrobus,Corredor sur occidental,13.4,32,5,7,7,6,7,14,4,0,1,2,3,2,2,7,1,0,2,2,2,5,2,2,0,1,0,1,0,1,8,3,3,2,0,0,0,67,32,-5,-1,0,0,0,0,0,0,-4,62,BRONZE,1) Improve corridor branding,2) Improve bike access through secure bicycle parking and bicycle lanes,3) Improve bus and station maintenance
2014,Ecuador,Quito,Metrobus,Corredor sur oriental,11.1,31,6,5,7,6,7,12,1,1,1,2,3,2,2,10,1,2,3,2,2,8,2,2,3,1,0,4,3,1,8,3,3,2,0,0,0,73,31,-7,-1,0,0,0,-3,0,0,-3,66,BRONZE,1) Examine adding additional routes to serve the corridor,2) Improve bike access through secure bicycle parking and bicycle lanes,3) Improve bus and station maintenance
2014,France,Île-de-France (Greater Paris),Trans-Val-de-Marne (TVM),TVM (Antony-La Croix de Berny - Saint-Maur-Créteil,16.2,28,8,8,7,5,0,14,4,0,3,0,3,2,2,8,0,3,3,0,2,8,2,2,3,1,0,4,2,2,9,2,3,3,0,1,0,71,28,0,0,0,0,0,0,0,0,0,71,SILVER,1) Examine ways to create platform-level boarding,2) Improve bike access through secure bicycle parking and bicycle lanes,3) Exapnd bike share system to improve bike access and increase BRT ridership
2014,Guatemala,Guatemala City,Transmetro,Eje Sur,13,37,8,8,8,6,7,18,4,3,3,2,3,1,2,10,2,3,3,0,2,7,0,3,3,1,0,4,3,1,9,2,3,3,0,1,0,85,37,0,0,0,0,0,0,0,0,0,85,GOLD,1) Run services later in the evenings,2) Consider adding sliding doors at stations,3) Improve bike access through secure bicycle parking and bicycle lanes
2014,Guatemala,Guatemala City,Transmetro,Eje Central,11.7,34,8,5,8,6,7,10,0,0,3,2,2,1,2,8,0,3,3,0,2,8,2,3,3,0,0,4,3,1,9,3,3,3,0,0,0,73,34,0,0,0,0,0,0,0,0,0,73,SILVER,1) Examine adding additional routes to serve the corridor,2) Run services later in the evenings,3) Improve bike access through secure bicycle parking and bicycle lanes
2014,India,Ahmedabad,Janmarg,Sola-AEC,3.1,35,8,8,8,4,7,12,4,0,2,2,0,2,2,7,0,1,3,2,1,9,2,3,2,1,1,5,3,2,6,2,3,1,0,0,0,74,35,-9,0,-5,0,-1,0,-3,0,0,65,BRONZE,1) Increase the number of turn restrictions at intersections,2) Improve bike access through secure bicycle parking and bicycle lanes,3) Increase peak hour service frequency
2014,India,Surat,Sitilink,Udhna - Sachin GIDC,10,35,7,8,8,5,7,5,0,0,1,2,0,1,1,10,4,0,2,2,2,7,2,3,0,1,1,5,3,2,4,2,0,1,0,1,0,66,35,-8,0,-5,-1,0,0,-2,0,0,58,BRONZE,1) Increase the number of turn restrictions at intersections,2) Extend hours of operation,3) Purchase additional buses with 3 doors or 2 wide doors and low-emissions
2014,Indonesia,Jakarta,Transjakarta,Corridor 1,12.9,37,8,8,8,6,7,15,4,0,2,2,3,2,2,5,0,0,3,2,0,7,2,2,2,1,0,4,2,2,6,2,2,2,0,0,0,74,37,-3,0,0,0,-1,-2,0,0,0,71,SILVER,1) Restrict access to corridor to BRT buses with mutiple doors,2) Improve bike access through secure bicycle parking and bicycle lanes,3) Add additional service frequency to reduce crowding
2014,Mexico,Mexico City,Metrobus,L5 Río de los Remedios - San Lazaro,10,38,8,8,8,7,7,12,0,0,3,2,3,2,2,8,0,2,3,1,2,8,2,3,3,0,0,5,3,2,11,3,2,3,1,2,0,82,38,0,0,0,0,0,0,0,0,0,82,SILVER,1) Examine adding additional routes to serve the corridor,2) Better integrate system with other public transportation,3) Implement more secure bicycle parking at stations
2014,Mexico,Mexico City,Mexibus,L3 Pantitlán-Chimalhuacan,14.5,37,8,8,8,6,7,11,0,3,1,2,3,2,0,12,4,2,3,1,2,9,2,3,3,1,0,4,3,1,5,2,0,2,0,1,0,78,37,-6,0,0,-1,0,-5,0,0,0,72,SILVER,1) Examine adding additional routes to serve the corridor,2) Better integrate system with other public transportation,3) Add additional service frequency to reduce crowding
2014,Mexico,Monterrey,Ecovia,Lincoln-Ruiz Cortines,30,37,8,8,8,6,7,11,0,0,2,2,3,2,2,8,0,1,3,2,2,9,2,3,3,0,1,4,3,1,6,2,2,1,1,0,0,75,37,0,0,0,0,0,0,0,0,0,75,SILVER,1) Examine adding additional routes to serve the corridor,2) Improve pedestrian access at stations.,3) Improve bike access through secure bicycle parking and bicycle lanes
2014,Mexico,Puebla,RUTA,Chachapa -Tlaxcalancingo,18.5,37,8,8,8,6,7,9,0,0,1,2,3,1,2,9,0,2,3,2,2,8,2,3,3,0,0,4,3,1,6,2,3,1,0,0,0,73,37,-4,0,0,0,0,0,0,0,-4,69,BRONZE,1) Examine adding additional routes to serve the corridor,2) Improve bike access through secure bicycle parking and bicycle lanes,3) Improve corridor maintenance
2014,South Africa,Johannesburg,Rea Vaya,Phase IB,16.7,32.5,8,7.5,8,2,7,14,4,0,2,2,3,1,2,10,4,2,2,2,0,8,0,3,3,1,1,3.5,3,0.5,6,2,1,3,0,0,0,74,32.5,-13,0,0,-4,-2,0,-2,-1,-4,61,BRONZE,1) Improve ROW enforcement to maintain exclusive space for BRT vehicles,2) Improve driver training to eliminate gap between bus &  platform,"3) Improve station, bus, & information system maintenance"
2014,South Korea,Seoul,(no system name),Yeouidaebang-ro/Siheung-daero,9.5,22,8,8,0,6,0,15,4,0,2,2,3,2,2,8,0,3,3,0,2,4,2,1,0,1,0,2,0,2,6,0,3,3,0,0,0,57,22,-6,-6,0,0,0,0,0,0,0,51,Basic BRT,1) Implement off-board fare collection,"2) Purchase new buses with multiple, wide doors and ability to have platform-level boarding",3) Brand BRT buses separate from other buses on BRT corridor
2014,South Korea,Seoul,(no system name),Gyeongin-ro,5.6,20,7,7,0,6,0,15,4,0,2,2,3,2,2,8,0,3,3,0,2,4,2,1,0,1,0,2,0,2,6,0,3,3,0,0,0,55,20,-6,-6,0,0,0,0,0,0,0,49,Basic BRT,1) Implement off-board fare collection,"2) Purchase new buses with multiple, wide doors and ability to have platform-level boarding",3) Brand BRT buses separate from other buses on BRT corridor
2014,South Korea,Seoul,(no system name),Gangnam-Daero,4.7,22,8,8,0,6,0,15,4,0,2,2,3,2,2,8,0,3,3,0,2,4,2,1,0,1,0,2,0,2,6,0,3,3,0,0,0,57,22,-6,-6,0,0,0,0,0,0,0,51,Basic BRT,1) Implement off-board fare collection,"2) Purchase new buses with multiple, wide doors and ability to have platform-level boarding",3) Brand BRT buses separate from other buses on BRT corridor
2014,South Korea,Seoul,(no system name),Dongsomun-ro/Dobong-ro,14.3,22,8,8,0,6,0,15,4,0,2,2,3,2,2,8,0,3,3,0,2,4,2,1,0,1,0,2,0,2,6,0,3,3,0,0,0,57,22,-6,-6,0,0,0,0,0,0,0,51,Basic BRT,1) Implement off-board fare collection,"2) Purchase new buses with multiple, wide doors and ability to have platform-level boarding",3) Brand BRT buses separate from other buses on BRT corridor
2014,South Korea,Seoul,(no system name),Susack BRT,20,22,8,8,0,6,0,15,4,0,2,2,3,2,2,8,0,3,3,0,2,4,2,1,0,1,0,2,0,2,8,2,3,3,0,0,0,59,22,-6,-6,0,0,0,0,0,0,0,53,Basic BRT,1) Implement off-board fare collection,"2) Purchase new buses with multiple, wide doors and ability to have platform-level boarding",3) Brand BRT buses separate from other buses on BRT corridor
2014,South Korea,Seoul,(no system name),Cheonho-Daero - West,5.4,22,8,8,0,6,0,15,4,0,2,2,3,2,2,8,0,3,3,0,2,4,2,1,0,1,0,2,0,2,6,0,3,3,0,0,0,57,22,-6,-6,0,0,0,0,0,0,0,51,Basic BRT,1) Implement off-board fare collection,"2) Purchase new buses with multiple, wide doors and ability to have platform-level boarding",3) Brand BRT buses separate from other buses on BRT corridor
2014,South Korea,Seoul,(no system name),Cheonho-Daero - East,9.2,20,5,8,0,7,0,17,4,2,2,2,3,2,2,8,0,3,3,0,2,4,2,1,0,1,0,2,0,2,8,2,3,3,0,0,0,59,20,-6,-6,0,0,0,0,0,0,0,53,Basic BRT,1) Implement off-board fare collection,"2) Purchase new buses with multiple, wide doors and ability to have platform-level boarding",3) Brand BRT buses separate from other buses on BRT corridor
2014,Thailand,Bangkok,Bangkok BRT,Sathorn Station to Rama III Station,11.5,32,4,8,7,6,7,7,0,0,3,2,0,2,0,5,0,0,3,0,2,3,0,3,0,0,0,5,3,2,7,1,3,3,0,0,0,59,32,0,0,0,0,0,0,0,0,0,59,BRONZE,1) Implement exclusive BRT lanes on overpasses.,2) Examine adding additional routes to serve the corridor,3) Improve bike access through secure bicycle parking and bicycle lanes
2014,Turkey,Istanbul,Metrobüs,Avc_lar - Sö_ütlüçe_me,52,37,8,8,7,7,7,17,4,3,2,2,3,2,1,10,0,3,3,2,2,5,0,1,3,1,0,4.5,2.5,2,4.5,1,2.5,1,0,0,0,78,37,-8,0,0,0,-3,-5,0,0,0,70,SILVER,1) Assure universal accesiblity.,2) Reduce gaps between bus and platform at stations through better driver training and better management/education to keep riders away from the platform edge.,3) Improve bicycle integration by adding safe bike racks and better integration with the bikesharing system.
