"REGION","COUNTRY","CITY","CORRIDOR","CORRIDOR_LENGTH_KM","DAILY_DEMAND_CORRIDOR_PASSENGERS_PER_DAY","GRADE_SEPARATED_INTERSECTIONS_CORRIDOR","LENGTH_OF_EXCLUSIVE_LANES_CORRIDOR_KM","LENGTH_OF_SEGREGATED_COUNTERFLOW_LANES_CORRIDOR_KM","LENGTH_OF_SEGREGATED_LANES_CORRIDOR_KM","OPERATING_SPEED_CORRIDOR","PEAK_FREQUENCY_CORRIDOR_BUSES_PER_HOUR_PER_DIRECTION","PEAK_LOAD_CORRIDOR_PASSENGERS_PER_HOUR_PER_DIRECTION","PHYSICALLY_INTEGRATED_FEEDERS","PRE_BOARD_FARE_COLLECTION_CORRIDOR","STATION_SPACING_CORRIDOR_M","TOTAL_COST_PER_KILOMETER_CORRIDOR_US_MILLION_PER_KM","YEAR_CORRIDOR_COMMENCED"
"Africa","Nigeria","Lagos","Lagos BRT","www.lamata-ng.com","Viva 2010 ( www.uncrd.or.jp ); Trans-Africa Consortium 2010 ; www.itdp.org","","","","www.lamata-ng.com","www.lamata-ng.com","","","","","Calculated using system length and stations","Viva 2010 ( www.uncrd.or.jp ); Trans-Africa Consortium 2010 ; www.itdp.org","Viva 2010 ( www.uncrd.or.jp ); Trans-Africa Consortium 2010 ; www.itdp.org"
"Africa","South Africa","Cape Town","1A","ITDP BRT Standard","www.citylab.com","","","","","","myciti.org.za","","","www.itdp.org","Calculated using corridor length and stations","","www.capetown.gov.za"
"Africa","South Africa","Johannesburg","1A","Rea Vaya","www.joburg.org.za","Rea Vaya","Rea Vaya","Rea Vaya","Rea Vaya","www.embarq.org","ITDP","www.embarq.org","Rea Vaya","www.reavaya.org.za","Calculated using corridor length and stations","","www.reavaya.org.za"
"Africa","South Africa","Johannesburg","1B","Rea Vaya","","Rea Vaya","Rea Vaya","Rea Vaya","Rea Vaya","","www.reavaya.org.za","","Rea Vaya","www.reavaya.org.za","Calculated using corridor length and stations","","www.itdp.org"
"Asia","China","Beijing","BRT 1","www.chinabrt.org","CUSTReC CATS","CUSTReC CATS","CUSTReC CATS","CUSTReC CATS","CUSTReC CATS","CUSTReC CATS","CUSTReC CATS","Jane's Urban Transport Systems","CUSTReC CATS","CUSTReC CATS","Calculated using corridor length and stations","CUSTReC CATS","CUSTReC CATS"
"Asia","China","Beijing","BRT 2","www.chinabrt.org","","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","","","","www.chinabrt.org","www.chinabrt.org","Calculated using corridor length and stations","","CUSTReC CATS"
"Asia","China","Beijing","BRT 3","www.chinabrt.org","","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","","","","www.chinabrt.org","www.chinabrt.org","Calculated using corridor length and stations","","CUSTReC CATS"
"Asia","China","Beijing","BRT 4","www.chinabrt.org","","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","","","","www.chinabrt.org","www.chinabrt.org","Calculated using corridor length and stations","","CUSTReC CATS"
"Asia","China","Changde","Line 1","www.chinabrt.org","","","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","","www.itdp.org","Calculated using corridor length and stations","","www.chinabrt.org"
"Asia","China","Changzhou","Line 1","www.chinabrt.org","","","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","","","","","www.itdp.org","Calculated using corridor length and stations","","www.chinabrt.org"
"Asia","China","Changzhou","Line 2","www.chinabrt.org","","","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","","","","","www.itdp.org","Calculated using corridor length and stations","","www.chinabrt.org"
"Asia","China","Chengdu","2nd Ring Elevated Road","www.worldbrt.net","","www.transportphoto.net","www.worldbrt.net","www.worldbrt.net","www.worldbrt.net","www.gochengdoo.com","www.gochengdoo.com","www.worldbrt.net","","www.gochengdoo.com","Calculated using corridor length and stations","www.gochengdoo.com","www.worldbrt.net"
"Asia","China","Chongqing","Chongqing BRT","www.chinabrt.org","www.chinabrt.org","","","","","www.chinabrt.org","www.chinabrt.org","","","","","","www.chinabrt.org"
"Asia","China","Dalian","Dalian BRT","www.chinabrt.org","www.chinabrt.org","","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","","www.itdp.org","Calculated using corridor length and stations","www.chinabrt.org","www.chinabrt.org"
"Asia","China","Guangzhou","Zhongshan Avenue","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","www.embarq.org","www.chinabrt.org","www.embarq.org","www.chinabrt.org","www.chinabrt.org","Calculated using corridor length and stations","","www.chinabrt.org"
"Asia","China","Hangzhou","Line 1","www.chinabrt.org","","","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","","","","","","Calculated using corridor length and stations","","www.chinabrt.org"
"Asia","China","Hangzhou","Line 2","www.chinabrt.org","","","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","","","","","","Calculated using corridor length and stations","","www.chinabrt.org"
"Asia","China","Hangzhou","Line 3","www.chinabrt.org","","","","","","","","","","","Calculated using corridor length and stations","","www.chinabrt.org"
"Asia","China","Hefei","Changjiang Lu","CUSTReC CATS","www.chinabrt.org","","","","","Viva 2010 ( www.uncrd.or.jp );www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","","www.itdp.org","Calculated using corridor length and stations","","www.chinabrt.org"
"Asia","China","Jinan","BRT-1","Jinan Urban Transport Research Center","","","","","","","","","","www.itdp.org","","","Jinan Urban Transport Research Center"
"Asia","China","Jinan","BRT-2","Jinan Urban Transport Research Center","","","","","","","","","","www.itdp.org","","","Jinan Urban Transport Research Center"
"Asia","China","Jinan","BRT-3","Jinan Urban Transport Research Center","","","","","","","","","","www.itdp.org","","","Jinan Urban Transport Research Center"
"Asia","China","Jinan","BRT-4","Jinan Urban Transport Research Center","","","","","","","","","","www.itdp.org","","","Jinan Urban Transport Research Center"
"Asia","China","Jinan","BRT-5","Jinan Urban Transport Research Center","","","","","","","","","","www.itdp.org","","","Jinan Urban Transport Research Center"
"Asia","China","Jinan","BRT-6","Jinan Urban Transport Research Center","","","","","","","","","","www.itdp.org","","","Jinan Urban Transport Research Center"
"Asia","China","Jinan","BRT-7","Jinan Urban Transport Research Center","","","","","","","","","","www.itdp.org","","","Jinan Urban Transport Research Center"
"Asia","China","Kunming","","www.chinabrt.org","www.chinabrt.org","","","","","","","Bus Rapid Transit Planning Guide (ITDP) 2007 ;www.chinabrt.org","","","","",""
"Asia","China","Lanzhou","Line 1","www.chinabrt.org","www.chinabrt.org","","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","","www.chinabrt.org","Calculated using corridor length and stations","","www.chinabrt.org"
"Asia","China","Lianyungang","Line 1","www.chinabrt.org","CUSTReC CATS","","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","","www.chinabrt.org","Calculated using corridor length and stations","","www.chinabrt.org"
"Asia","China","Urumqi","Line 1","","","","","","","","","","","www.itdp.org","","","www.chinabrt.org"
"Asia","China","Urumqi","Line 2","","","","","","","","","","","www.itdp.org","","","www.chinabrt.org"
"Asia","China","Urumqi","Line 3","","","","","","","","","","","www.itdp.org","","","www.chinabrt.org"
"Asia","China","Urumqi","Line 4","","","","","","","","","","","www.itdp.org","","","www.chinabrt.org"
"Asia","China","Xiamen","Line 1","www.chinabrt.org","","","","","","","","","","www.itdp.org","Calculated using corridor length and stations","","www.chinabrt.org"
"Asia","China","Xiamen","Line 2","www.chinabrt.org","","","","","","","","","","www.itdp.org","Calculated using corridor length and stations","","www.chinabrt.org"
"Asia","China","Xiamen","Line 3","www.chinabrt.org","","","","","","","","","","www.itdp.org","Calculated using corridor length and stations","",""
"Asia","China","Yancheng","Line 1","www.chinabrt.org","CUSTReC CATS","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","","www.chinabrt.org","Calculated using corridor length and stations","","www.chinabrt.org"
"Asia","China","Yichang","Phase 1","www.itdp.org","www.chinabrt.org","www.transportphoto.net","www.itdp.org","www.itdp.org","www.itdp.org","itdp-china.org","www.chinabrt.org","www.chinabrt.org","","www.chinabrt.org","Calculated using system length and stations","","news.3xgd.com"
"Asia","China","Yinchuan","Line 1","www.chinabrt.org","CUSTReC CATS","","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","","www.chinabrt.org","Calculated using corridor length and stations","","www.chinabrt.org"
"Asia","China","Zaozhuang","Line 1","www.chinabrt.org","CUSTReC CATS","","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","","www.itdp.org","Calculated using corridor length and stations","","www.chinabrt.org"
"Asia","China","Zhengzhou","Line 1","www.chinabrt.org","www.chinabrt.org","","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","","www.chinabrt.org","www.chinabrt.org","","www.chinabrt.org"
"Asia","India","Ahmedabad","","Making of Janmarg Amdavad atwww.asiabrts.org","www.ahmedabadbrts.com","","","","","www.embarq.org","www.worldbrt.net","www.embarq.org","","www.worldbrt.net","","www.worldbrt.net","www.worldbrt.net"
"Asia","India","Bhopal","","EMBARQ India","EMBARQ India","","","","EMBARQ India","","www.centralchronicle.com","","","","Calculated using corridor length and stations","","Embarq India"
"Asia","India","Indore","","EMBARQ India","BRT Planning for Vientiane atwww.asiabrts.org","","","","EMBARQ India","","","","","EMBARQ India","EMBARQ India","","EMBARQ India"
"Asia","India","Jaipur","","Primary Survey, EMBARQ","Primary Survey,EMBARQ","Primary Survey,EMBARQ","Primary Survey,EMBARQ","Primary Survey, EMBARQ","Primary Survey, EMBARQ","Primary Survey,EMBARQ","Primary Survey, EMBARQ","Primary Survey, EMBARQ","Primary Survey,EMBARQ","Primary Survey,EMBARQ","Primary Survey,EMBARQ","","Interview with JCTSL officials"
