"REGION","COUNTRY","CITY","CORRIDOR","CORRIDOR_LENGTH_KM","DAILY_DEMAND_CORRIDOR_PASSENGERS_PER_DAY","GRADE_SEPARATED_INTERSECTIONS_CORRIDOR","LENGTH_OF_EXCLUSIVE_LANES_CORRIDOR_KM","LENGTH_OF_SEGREGATED_COUNTERFLOW_LANES_CORRIDOR_KM","LENGTH_OF_SEGREGATED_LANES_CORRIDOR_KM","OPERATING_SPEED_CORRIDOR","PEAK_FREQUENCY_CORRIDOR_BUSES_PER_HOUR_PER_DIRECTION","PEAK_LOAD_CORRIDOR_PASSENGERS_PER_HOUR_PER_DIRECTION","PHYSICALLY_INTEGRATED_FEEDERS","PRE_BOARD_FARE_COLLECTION_CORRIDOR","STATION_SPACING_CORRIDOR_M","TOTAL_COST_PER_KILOMETER_CORRIDOR_US_MILLION_PER_KM","YEAR_CORRIDOR_COMMENCED"
"Africa","Nigeria","Lagos","Lagos BRT","2015","2011",NA,"","","2015","2015",NA,"",NA,NA,2015,"2010",""
"Africa","South Africa","Cape Town","1A","2013","2013",NA,"","","","",2015,"",NA,2014,NA,"",""
"Africa","South Africa","Johannesburg","1A","2013","2013",2013,"2013","2013","2013","2013",2013,"2013",2013,2013,2013,"",""
"Africa","South Africa","Johannesburg","1B","2013","",2013,"2013","2013","2013","",2013,"",2013,2013,2013,"",""
"Asia","China","Beijing","BRT 1","2011","2013",2013,"2013","2013","2013","2013",2013,"2011",2013,2013,2013,"2013",""
"Asia","China","Beijing","BRT 2","2013","",2013,"2013","2013","2013","",NA,"",2013,2013,2013,"",""
"Asia","China","Beijing","BRT 3","2013","",2013,"2013","2013","2013","",NA,"",2013,2013,2013,"",""
"Asia","China","Beijing","BRT 4","2013","",2013,"2013","2013","2013","",NA,"",2013,2013,2013,"",""
"Asia","China","Changde","Line 1","2013","",NA,"2013","2013","2013","2013",2013,"2013",NA,2014,2013,"",""
"Asia","China","Changzhou","Line 1","2013","",NA,"2013","2013","2013","",NA,"",NA,2014,2013,"",""
"Asia","China","Changzhou","Line 2","2013","",NA,"2013","2013","2013","",NA,"",NA,2014,2013,"",""
"Asia","China","Chengdu","2nd Ring Elevated Road","2013","",2014,"2014","2014","2014","2013",2013,"2013",NA,2013,2014,"2014, this value is the total cost of the 2nd Ring Elevated Road, which includes six lanes",""
"Asia","China","Chongqing","Chongqing BRT","2011","2012",NA,"","","","2011",2011,"",NA,NA,NA,"",""
"Asia","China","Dalian","Dalian BRT","2013","2011",NA,"2013","2013","2013","2011",2011,"2014",NA,2014,2013,"2011",""
"Asia","China","Guangzhou","Zhongshan Avenue","2013","2014",2013,"2013","2013","2013","2013",2013,"2013",2013,2013,2013,"",""
"Asia","China","Hangzhou","Line 1","2013","",NA,"2013","2013","2013","",NA,"",NA,NA,2013,"",""
"Asia","China","Hangzhou","Line 2","2013","",NA,"2013","2013","2013","",NA,"",NA,NA,2013,"",""
"Asia","China","Hangzhou","Line 3","2013","",NA,"","","","",NA,"",NA,NA,2013,"",""
"Asia","China","Hefei","Changjiang Lu","2013","2010",NA,"","","","2011",2011,"2011",NA,2014,2013,"",""
"Asia","China","Jinan","BRT-1","2015","",NA,"","","","",NA,"",NA,2014,NA,"",""
"Asia","China","Jinan","BRT-2","2015","",NA,"","","","",NA,"",NA,2014,NA,"",""
"Asia","China","Jinan","BRT-3","2015","",NA,"","","","",NA,"",NA,2014,NA,"",""
"Asia","China","Jinan","BRT-4","2015","",NA,"","","","",NA,"",NA,2014,NA,"",""
"Asia","China","Jinan","BRT-5","2015","",NA,"","","","",NA,"",NA,2014,NA,"",""
"Asia","China","Jinan","BRT-6","2015","",NA,"","","","",NA,"",NA,2014,NA,"",""
"Asia","China","Jinan","BRT-7","2015","",NA,"","","","",NA,"",NA,2014,NA,"",""
"Asia","China","Kunming","","2010","2010",NA,"","","","",NA,"2007",NA,NA,NA,"",""
"Asia","China","Lanzhou","Line 1","2013","2013",NA,"2013","2013","2013","2013",2013,"2013",NA,2013,2013,"",""
"Asia","China","Lianyungang","Line 1","2013","2013",NA,"2013","2013","2013","2013",2013,"2013",NA,2013,2013,"",""
"Asia","China","Urumqi","Line 1","","",NA,"","","","",NA,"",NA,2014,NA,"",""
"Asia","China","Urumqi","Line 2","","",NA,"","","","",NA,"",NA,2015,NA,"",""
"Asia","China","Urumqi","Line 3","","",NA,"","","","",NA,"",NA,2016,NA,"",""
"Asia","China","Urumqi","Line 4","","",NA,"","","","",NA,"",NA,2017,NA,"",""
"Asia","China","Xiamen","Line 1","2013","",NA,"","","","",NA,"",NA,2014,2013,"",""
"Asia","China","Xiamen","Line 2","2013","",NA,"","","","",NA,"",NA,2014,2013,"",""
"Asia","China","Xiamen","Line 3","2013","",NA,"","","","",NA,"",NA,2014,2013,"",""
"Asia","China","Yancheng","Line 1","2013","2010",2013,"2013","2013","2013","2012",2011,"2011",NA,2013,2013,"",""
"Asia","China","Yichang","Phase 1","2015","2015",2015,"2015","2015","2015","2015",2015,"2015",NA,2015,2015,"",""
"Asia","China","Yinchuan","Line 1","2013","2013",NA,"2013","2013","2013","2013",2013,"2012",NA,2013,2013,"",""
"Asia","China","Zaozhuang","Line 1","2013","2010",NA,"2013","2013","2013","2011",2011,"2011",NA,2014,2013,"",""
"Asia","China","Zhengzhou","Line 1","2013","2013",NA,"2013","2013","2013","2013",2011,"2011",NA,2013,2013,"",""
"Asia","India","Ahmedabad","","2014","2013",NA,"","","","2013",2012,"2013",NA,2013,NA,"2013",""
"Asia","India","Bhopal","","2013","2013",NA,"2013","2013","2013","",2013,"",NA,NA,2013,"",""
"Asia","India","Indore","","2013","2014",NA,"2013","2013","2013","",NA,"",NA,2013,2013,"",""
"Asia","India","Jaipur","","2011","2011",2011,"2011","2011","2011","2011",2011,"2011",2011,2011,2011,"",""
"Asia","India","Pune","","2011","2011",2011,"2011","2011","2011","2011",2011,"2011",2011,2011,2011,"",""
"Asia","India","Rajkot","","2013","2013",NA,"2013","2013","2013","",NA,"",NA,NA,2013,"",""
"Asia","India","Surat","Udhna Darwaza to Sachin GIDC","2014","2014",2014,"2014","2014","2014","",2014,"",NA,2014,2014,"",""
"Asia","Indonesia","Jakarta","Koridor 1","2013","",2012,"","","","2013",2011,"",NA,2014,2014,"2003",""
"Asia","Indonesia","Jakarta","Koridor 10","2013","",2012,"","","","2013",2011,"",NA,2014,2014,"",""
"Asia","Indonesia","Jakarta","Koridor 11","2013","",2012,"","","","2013",2011,"",NA,2014,2014,"",""
"Asia","Indonesia","Jakarta","Koridor 12","2013","",2012,"","","","2013",2011,"",NA,2014,2014,"",""
"Asia","Indonesia","Jakarta","Koridor 2","2013","",2012,"","","","2013",2011,"",NA,2014,2014,"",""
"Asia","Indonesia","Jakarta","Koridor 3","2013","",2012,"","","","2013",2011,"",NA,2014,2014,"",""
"Asia","Indonesia","Jakarta","Koridor 4","2013","",2012,"","","","2013",2011,"",NA,2014,2014,"",""
"Asia","Indonesia","Jakarta","Koridor 5","2013","",2012,"","","","2013",2011,"",NA,2014,2014,"",""
"Asia","Indonesia","Jakarta","Koridor 6","2013","",2012,"","","","2013",2011,"",NA,2014,2014,"",""
"Asia","Indonesia","Jakarta","Koridor 7","2013","",2012,"","","","2013",2011,"",NA,2014,2014,"",""
"Asia","Indonesia","Jakarta","Koridor 8","2013","",2012,"","","","2013",2011,"",NA,2014,2014,"",""
"Asia","Indonesia","Jakarta","Koridor 9","2013","",2012,"","","","2013",2011,"",NA,2014,2014,"",""
"Asia","Iran","Tabriz","","2011","",NA,"","","","",NA,"",NA,NA,NA,"",""
"Asia","Iran","Tehran","Line 1","2009","",NA,"2014","2014","2014","",2013,"",2014,2014,2014,"",""
"Asia","Iran","Tehran","Line 10","2014","",NA,"2014","2014","2014","",NA,"",2014,2014,2014,"",""
"Asia","Iran","Tehran","Line 2","2014","",NA,"2014","2014","2014","",NA,"",2014,2014,2014,"",""
"Asia","Iran","Tehran","Line 3","2014","",NA,"2014","2014","2014","",NA,"",2014,2014,2014,"",""
"Asia","Iran","Tehran","Line 4","2014","",NA,"2014","2014","2014","",NA,"",2014,2014,2014,"",""
"Asia","Iran","Tehran","Line 5","2012","",NA,"2014","2014","2012","",NA,"",2014,2014,2014,"",""
"Asia","Iran","Tehran","Line 7","2014","",NA,"2014","2014","2014","",NA,"",2014,2014,2014,"",""
"Asia","Iran","Tehran","Line 8","2012","2013",NA,"2014","2014","2012","",NA,"",2014,2014,2014,"",""
"Asia","Israel","Haifa","The Blue Line","2013, 6.2 km are commom to 3 corridors; 6.6 km are commom to Red and Blue 6.6 km are commom to Red and Blue","",NA,"2013","2013","2013, 6.2 km are commom to 3 corridors; 6.6 km are commom to Red and Blue 6.6 km are commom to Red and Blue","2015, calculated using running time and corridor length",2015,"",NA,2013,2015,"",""
"Asia","Israel","Haifa","The Green Line","2013, 6.2 km are commom to 3 corridors","",NA,"2013","2013","2013, 6.2 km are commom to 3 corridors; 6.6 km are commom to Red and Blue 6.6 km are commom to Red and Blue","2015, calculated using running time and corridor length",2015,"",NA,2013,2015,"",""
"Asia","Israel","Haifa","The Red Line","2013, 6.2 km are commom to 3 corridors; 6.6 km are commom to Red and Blue 6.6 km are commom to Red and Blue","",NA,"2013","2013","2013, 6.2 km are commom to 3 corridors; 6.6 km are commom to Red and Blue 6.6 km are commom to Red and Blue","2015, calculated using running time and corridor length",2015,"",NA,2013,2015,"",""
"Asia","Japan","Kesennuma - Tome","Kesennuma Line","2014","",NA,"2014","2014","2014","",2014,"",NA,NA,2014,"",""
"Asia","Japan","Nagoya","Yutorito Line","2007","2007",2007,"","","","2007",2007,"2007",NA,NA,NA,"2007",""
"Asia","Malaysia","Subang Jaya","BRT Sunway Line","2015","",2015,"2015","2015","2015","",2015,"",2015,2015,2015,"2015",""
"Asia","Pakistan","Islamabad - Rawalpindi","Rawalpindi - Islmabad","","2015",2015,"","","","",2015,"2015",2015,2015,2015,"",""
"Asia","Pakistan","Lahore","","2015","2015",2013,"2015","","2015","2015",2015,"2015",NA,2015,2015,"2013",""
"Asia","Republic of Korea","Seoul","","2009","2009",NA,"","","","2011",NA,"2011",NA,2014,NA,"",""
"Asia","Taiwan","Chiayi","Chiayi BRT","2014","2010",2014,"2014","2014","","",NA,"",NA,2014,2014,"",""
"Asia","Taiwan","Taichung","Blue Line","2014","2014",2013,"","","","",NA,"",NA,2014,2014,"",""
"Asia","Taiwan","Taipei","","2007","2007",NA,"","","","2007",NA,"2007",NA,NA,2007,"2007",""
"Asia","Thailand","Bangkok","Bangkok BRT","2011","2011",NA,"","","","2010",2010,"2011",NA,NA,NA,"",""
"Europe","Belgium","Liège","Cadran - Fontainebleau","2009","",2009,"","","2009","",NA,"",NA,2014,2009,"",""
"Europe","Belgium","Liège","d’Avroy - Sauvenière","2009","",2009,"","","2009","",NA,"",NA,2014,2009,"",""
"Europe","Belgium","Liège","Quai Saint-Léonard","2009","",2009,"","","2009","",NA,"",NA,2014,2009,"",""
"Europe","Czech Republic","Prague","Line 213","2011","2011",2011,"","","","2011",2011,"",NA,NA,2011,"",""
