"REGION","COUNTRY","CITY","ANNUAL_FARE_REVENUE_US_MILLIONS","DAILY_DEMAND_PASSENGERS_PER_DAY","GDP_PER_CAPITA_US","MODAL_SPLIT_PRIVATE_TRANSPORT","MODAL_SPLIT_PUBLIC_TRANSPORT","OPERATING_SPEED","PEAK_FREQUENCY_BUSES_PER_HOUR","PEAK_LOAD_PASSENGERS_PER_HOUR_PER_DIRECTION","POPULATION_DENSITY_METROPOLITAN_AREA","POPULATION_CITY","STANDARD_FARE_US","STATION_SPACING_M","SYSTEM_LENGTH_KM","SYSTEM_NAME","YEAR_SYSTEM_COMMENCED"
"Africa","Nigeria","Lagos",47,200000,3203,15,71.5,30,NA,NA,11009,22583305,NA,800,22,"Lagos BRT",2008
"Africa","South Africa","Cape Town",7,20000,6483,47,43.7,NA,6,NA,1530,3740026,1.29,485.7,17,"MyCiti",2011
"Africa","South Africa","Johannesburg",8,42000,6483,37,32,30,64,5760,2696,957441,0.88,1384,43.5,"Rea Vaya",2009
"Asia","China","Beijing",20,305000,7590,23,24,26,60,8000,1006.4,12265000,0.32,967.5,74.5,"Beijing BRT",2004
"Asia","China","Changde",NA,NA,7590,NA,NA,31,27,800,558.2,1401000,0.16,787.5,18.9,"Changde BRT",2012
"Asia","China","Changzhou",12,350000,7590,NA,NA,18,77,NA,1237.8,2305000,0.16,875.4,49.9,"Changzhou BRT",2008
"Asia","China","Chengdu",NA,NA,7590,11,15,26,40,6650,1200,7415590,0.32,1028.6,28.8,"Chengdu BRT",2013
"Asia","China","Chongqing",0,12000,7590,NA,NA,31,6,NA,601.3,17791000,NA,1440,11.5,"Chongqing BRT",2008
"Asia","China","Dalian",3,87000,7590,NA,NA,24,75,6430,1165.5,2992000,0.16,1245.5,13.7,"Dalian BRT",2008
"Asia","China","Guangzhou",57,850000,7590,21,32,23,350,29000,1764.2,6780000,0.32,865.4,22.5,"Guangzhou BRT",2010
"Asia","China","Hangzhou",35,260000,7590,NA,NA,18,80,3700,1451.9,4454000,0.63,1103,55.4,"Hangzhou BRT",2006
"Asia","China","Hefei",4,65250,7590,NA,NA,16,55,3600,2401.8,2222000,0.32,800,7.2,"Hefei BRT",2010
"Asia","China","Jinan",15,220000,7590,NA,NA,17.5,49,2050,742.3,4340000,0.32,829.7,83.8,"Jinan BRT",2008
"Asia","China","Kunming",11,156000,7590,NA,NA,18,NA,6300,590.8,2727000,NA,NA,46.7,"Busways",1999
"Asia","China","Lanzhou",10,290000,7590,NA,NA,22,87,6550,1264.6,2064000,0.16,606.7,9.1,"Lanzhou BRT",2013
"Asia","China","Lianyungang",1,20000,7590,NA,NA,18,25,1650,805.4,967000,0.32,1172.4,34,"Lianyugang BRT",2012
"Asia","China","Urumqi",13,380000,7590,NA,NA,13,87,6950,263,2518000,0.16,650,40.2,"Urumqi BRT",2011
"Asia","China","Xiamen",57,340000,7590,NA,NA,27,104,8360,1213.7,1909000,0.79,1516,48.9,"Xiamen BRT",2008
"Asia","China","Yancheng",1,33000,7590,NA,NA,18,30,1300,895.8,760000,0.16,666.7,16,"Yancheng BRT",2010
"Asia","China","Yichang",16,240000,7590,NA,NA,20,94,5400,330,1049363,0.32,590.9,13,"Yichang BRT",2015
"Asia","China","Yinchuan",3,87000,7590,NA,NA,15,63,3600,433.7,1130000,0.16,772.7,17,"Yinchuan BRT",2012
"Asia","China","Zaozhuang",2,30000,7590,NA,NA,30,27,700,735.6,2258000,0.32,1375,33,"Zaozhuang BRT",2010
"Asia","China","Zhengzhou",22,650000,7590,NA,NA,15,52,5600,5813.9,5872000,0.16,802.6,30.5,"Zhengzhou BRT",2009
"Asia","India","Ahmedabad",10,130000,1582,42,22,24,20,1780,4060,5726000,0.38,645.7,82,"Janmarg",2009
"Asia","India","Bhopal",6,70000,1582,19,28,NA,6,NA,3578,1843000,0.44,585.4,24,"MyBus",2013
"Asia","India","Indore",NA,45500,1582,37,16,NA,NA,NA,NA,1960631,NA,550,11.45,"ibus",2013
"Asia","India","Jaipur",0,6622,1582,39,29,18,23,1046,1830,3136000,0.18,710,7.1,"Jaipur Bus",2010
"Asia","India","Pune - Primpi-Chinchwad",NA,67000,NA,NA,NA,NA,40,3600,NA,NA,NA,730,29.2,NA,NA
"Asia","India","Rajkot",NA,7500,1582,38,13,NA,NA,NA,NA,1286995,NA,600,10.7,"Rajpath",2012
"Asia","India","Surat",1,13500,1582,31,13,NA,6,NA,1089.9,4462002,0.23,526.3,10,"SitiLink",2014
"Asia","Indonesia","Jakarta",21,370000,3492,41,36,19,40,3600,3830.4,9607787,0.26,971,206.75,"TransJakarta",2004
"Asia","Iran","Isfahan",NA,135000,NA,NA,NA,NA,NA,NA,NA,NA,NA,531.3,17,"Isfahan BRT",NA
"Asia","Iran","Tabriz",NA,NA,5443,NA,NA,NA,NA,NA,NA,2383294,NA,NA,18,"Tabriz BRT",2009
"Asia","Iran","Tehran",28,2000000,5443,NA,NA,19,90,NA,10854,8244535,0.07,915,129.9,"Tehran BRT",2008
"Asia","Israel","Haifa",33,92000,37208,57,19,24.7,15,NA,984.5,271400,1.55,519,40,"Metronit",2013
"Asia","Japan","Kesennuma - Tome",NA,NA,36194,NA,NA,NA,5,NA,171,176643,NA,1276,21.7,"",2012
"Asia","Japan","Nagoya",5,9000,36194,NA,NA,30,17,750,1398,2262176,2.49,720,6.8,"Yutorito Line",2001
"Asia","Malaysia","Subang Jaya",NA,NA,11307,81,19,NA,15,NA,6581,708296,1.26,771,5.4,"BRT Sunway Line",2015
"Asia","Pakistan","Islamabad - Rawalpindi",5,125000,1316,NA,35,NA,21,2100,726.7,3871000,0.19,937.5,22.5,"Rawalpindi-Islamabad Metrobus",2015
"Asia","Pakistan","Lahore",7,180000,1316,24,16,26,30,10000,NA,7132000,0.19,1000,27,"Lahore Metro Bus System",2013
"Asia","Republic of Korea","Seoul",NA,400000,27971,NA,NA,17,NA,8400,2176,10442426,NA,NA,43,"Median bus lanes",2004
"Asia","Taiwan","Chiayi",NA,2000,20925,NA,NA,NA,NA,NA,4512,270872,NA,1647,29.65,"Chiayi BRT",2008
"Asia","Taiwan","Taichung",15,50000,20925,84,8,NA,NA,NA,1219.8,2701661,1.4,820,17.2,"Taichung BRT",2014
"Asia","Taiwan","Taipei",197,1200000,20925,47,34,19.5,NA,9500,2829,2618772,NA,380,60,"Busways",1998
"Asia","Thailand","Bangkok",2,15000,5977,60,30,26,15,1200,1876,8305218,0.56,1400,15.3,"Bangkok BRT",2010
"Europe","Belgium","Liège",NA,NA,47353,76,16,NA,NA,NA,600.9,195414,2.1,375,6,NA,1968
"Europe","Czech Republic","Prague",4,18000,19530,33,43,21.8,10,NA,222.3,1268796,0.98,NA,10.25,"PT Bus",1994
"Europe","Finland","Helsinki",21,30000,49824,23,34,26,20,NA,1418,614074,3.32,750,27.5,"Runkolinja 550",2003
"Europe","France","Belfort",7,32000,42733,NA,NA,21,12,NA,254.7,50078,1.11,300,4.5,"Optymo BHNS",2013
"Europe","France","Caen",16,48000,42733,NA,NA,20,10,NA,221.1,108954,1.6,500,15.7,"Twisto TVR",2002
"Europe","France","Cannes",NA,NA,42733,NA,NA,NA,12,NA,3309.8,137757,1.66,440,11,"Le Palm Express",2013
"Europe","France","Châlon-sur-Saône",1,5300,42733,NA,NA,19,6,NA,127,44985,1.33,426,6.4,NA,2012
"Europe","France","Douai",1,1800,42733,NA,NA,24.7,NA,NA,799.7,42197,1.55,400,34,"Le Tram",2006
"Europe","France","Evry",NA,NA,42733,NA,NA,21,NA,NA,2689.5,52802,1.99,580.6,18,"Tice",1975
"Europe","France","La Rochelle",2,5600,42733,NA,NA,NA,NA,NA,203.6,75170,1.44,NA,6,"ILLICO",2009
"Europe","France","Lille",NA,NA,42733,58,9,NA,NA,NA,1951,227560,1.66,NA,5.5,"Liane",2008
"Europe","France","Lorient",NA,45000,42733,66,8,19,9,NA,270.6,57204,NA,NA,4.6,"BHLS",2007
"Europe","France","Lyon",2,4700,42733,51,15,17,NA,NA,359.8,484344,2.21,NA,4,"C-Lines",2006
"Europe","France","Maubeuge",2,5000,42733,70,5,NA,NA,NA,328.8,31046,1.44,NA,8.4,"BHLS - Viavil",2008
"Europe","France","Metz",9,25000,42733,54,11.2,20,12,NA,242.4,120738,1.66,484,17.9,"Mettis",2013
"Europe","France","Nancy",NA,37000,42733,50,13,14.5,13,NA,183.8,105421,NA,370,12,"TVR (GLT)",2001
"Europe","France","Nantes",12,25000,42733,52,16,21,17,2000,264.4,284970,2.21,460,6.9,"BusWay",2006
