"REGION","COUNTRY","CITY","ANNUAL_FARE_REVENUE_US_MILLIONS","DAILY_DEMAND_PASSENGERS_PER_DAY","GDP_PER_CAPITA_US","MODAL_SPLIT_PRIVATE_TRANSPORT","MODAL_SPLIT_PUBLIC_TRANSPORT","OPERATING_SPEED","PEAK_FREQUENCY_BUSES_PER_HOUR","PEAK_LOAD_PASSENGERS_PER_HOUR_PER_DIRECTION","POPULATION_DENSITY_METROPOLITAN_AREA","POPULATION_CITY","STANDARD_FARE_US","STATION_SPACING_M","SYSTEM_LENGTH_KM","SYSTEM_NAME","YEAR_SYSTEM_COMMENCED"
"Africa","Nigeria","Lagos","Viva 2010 ( www.uncrd.or.jp ); Trans-Africa Consortium 2010 ;www.itdp.org","Viva 2010 ( www.uncrd.or.jp ); Trans-Africa Consortium 2010 ;www.itdp.org","data.worldbank.org","staging.wider.unu.edu","staging.wider.unu.edu","www.lamata-ng.com","","","nigeria.prognoz.com","www.lagosstate.gov.ng","","Calculated using system length and stations","www.lamata-ng.com","","Viva 2010 ( www.uncrd.or.jp ); Trans-Africa Consortium 2010 ;www.itdp.org"
"Africa","South Africa","Cape Town","Calculated using annual demand and fare","www.citylab.com","data.worldbank.org","www.statssa.gov.za","www.statssa.gov.za","","myciti.org.za","","beta2.statssa.gov.za","www.capetown.gov.za","myciti.org.za","Calculated using system length and stations","ITDP BRT Standard","","www.capetown.gov.za"
"Africa","South Africa","Johannesburg","Calculated using annual demand and fare","Rea Vaya","data.worldbank.org","www.joburg.org.za","www.joburg.org.za","www.embarq.org","ITDP","www.embarq.org","beta2.statssa.gov.za","census2011.adrianfrith.com","www.reavaya.org.za","Calculated using system length and stations","Rea Vaya","","Rea Vaya"
"Asia","China","Beijing","Calculated using annual demand and fare","CUSTReC CATS","data.worldbank.org","ltaacademy.gov.sg","ltaacademy.gov.sg","","","Jane's Urban Transport Systems","China City Statistical Yearbook. Beijing: National Statistics Bureau Press","China City Statistical Yearbook. Beijing: National Statistics Bureau Press","www.worldbrt.net","","","","www.chinabrt.org"
"Asia","China","Changde","","","data.worldbank.org","","","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","China City Statistical Yearbook. Beijing: National Statistics Bureau Press","China City Statistical Yearbook. Beijing: National Statistics Bureau Press","www.worldbrt.net","","www.chinabrt.org","","www.chinabrt.org"
"Asia","China","Changzhou","Calculated using annual demand and fare","CUSTReC CATS","data.worldbank.org","","","www.chinabrt.org","www.chinabrt.org","","China City Statistical Yearbook. Beijing: National Statistics Bureau Press","China City Statistical Yearbook. Beijing: National Statistics Bureau Press","www.worldbrt.net","","www.chinabrt.org","","www.chinabrt.org"
"Asia","China","Chengdu","","","data.worldbank.org","www.kas.de","www.kas.de","www.gochengdoo.com","www.gochengdoo.com","www.worldbrt.net","chengdu.isfoundhere.com","chengdu.isfoundhere.com","www.gochengdoo.com","Calculated using system length and stations","www.worldbrt.net","","www.worldbrt.net"
"Asia","China","Chongqing","www.chinabrt.org","www.chinabrt.org","data.worldbank.org","","","www.chinabrt.org","www.chinabrt.org","","China City Statistical Yearbook. Beijing: National Statistics Bureau Press","China City Statistical Yearbook. Beijing: National Statistics Bureau Press","","www.chinabrt.org","www.chinabrt.org","","www.chinabrt.org"
"Asia","China","Dalian","Calculated using annual demand and fare","www.chinabrt.org","data.worldbank.org","","","www.chinabrt.org","www.chinabrt.org","www.chinabrt.org","China City Statistical Yearbook. Beijing: National Statistics Bureau Press","China City Statistical Yearbook. Beijing: National Statistics Bureau Press","www.worldbrt.net","www.chinabrt.org","www.chinabrt.org","","www.chinabrt.org"
"Asia","China","Guangzhou","Calculated using annual demand and fare","www.chinabrt.org","data.worldbank.org","www.cities-for-mobility.net","www.cities-for-mobility.net","www.embarq.org","","www.embarq.org","China City Statistical Yearbook. Beijing: National Statistics Bureau Press","China City Statistical Yearbook. Beijing: National Statistics Bureau Press","www.worldbrt.net","Calculated using system length and stations","","","www.chinabrt.org"
