"REGION","COUNTRY","CITY","ANNUAL_FARE_REVENUE_US_MILLIONS","DAILY_DEMAND_PASSENGERS_PER_DAY","GDP_PER_CAPITA_US","MODAL_SPLIT_PRIVATE_TRANSPORT","MODAL_SPLIT_PUBLIC_TRANSPORT","OPERATING_SPEED","PEAK_FREQUENCY_BUSES_PER_HOUR","PEAK_LOAD_PASSENGERS_PER_HOUR_PER_DIRECTION","POPULATION_DENSITY_METROPOLITAN_AREA","POPULATION_CITY","STANDARD_FARE_US","STATION_SPACING_M","SYSTEM_LENGTH_KM","SYSTEM_NAME","YEAR_SYSTEM_COMMENCED"
"Africa","Nigeria","Lagos",2010,2011,2014,"2010","2010","2015","","","2012","2014 (Projection based on population growth rate of 3.2% from Census 2006. Supplied by Lagos Bureau of Statistics)","",2015,"2015","",""
"Africa","South Africa","Cape Town",NA,2013,2014,"2014","2014","","2015","","2011","2011","2015",NA,"2013","2015",""
"Africa","South Africa","Johannesburg",NA,2013,2014,"2002","2002","2013","2012","2013","2011","2011","2015",2013,"2013","2015",""
"Asia","China","Beijing",NA,2013,2014,"2005","2005","2013","2013","2011","2013","2013","2015",2013,"2013","",""
"Asia","China","Changde",NA,NA,2014,"","","2013","2013","2013","2013","2013","2013",2013,"2013","",""
"Asia","China","Changzhou",NA,2011,2014,"","","2011","2011","","2013","2013","2015",2013,"2013","",""
"Asia","China","Chengdu",NA,NA,2014,"2002","2002","2013","2013","2013","2010","2010","2015",2014,"2013","2013",""
"Asia","China","Chongqing",2011,2012,2014,"","","2011","2011","","2013","2013","",2011,"2011","",""
"Asia","China","Dalian",NA,2011,2014,"","","2011","2011","2014","2013","2013","2014",2013,"2013","",""
"Asia","China","Guangzhou",NA,2014,2014,"2007","2007","2013","2013","2013","2013","2013","2014",2013,"2013","",""
"Asia","China","Hangzhou",NA,2012,2014,"","","2011","2011","2015","2013","2013","2015",2013,"2013","",""
"Asia","China","Hefei",NA,2010,2014,"","","2011","2011","2011","2013","2013","2013",2013,"2013","",""
"Asia","China","Jinan",NA,2011,2014,"","","2014","2014","2014","2015","2015","2014",2015,"2015","",""
"Asia","China","Kunming",2007,2010,2014,"","","2007","","2007","2013","2013","",NA,"2010","",""
"Asia","China","Lanzhou",NA,2013,2014,"","","2013","2013","2013","2013","2013","2015",2013,"2013","",""
"Asia","China","Lianyungang",NA,2013,2014,"","","2013","2013","2013","2013","2013","2013",2013,"2013","",""
"Asia","China","Urumqi",NA,2012,2014,"","","2013","2013","2013","2013","2013","2013",2013,"2013","",""
"Asia","China","Xiamen",NA,2012,2014,"","","2011","2012","2012","2013","2013","2015",2013,"2013","",""
"Asia","China","Yancheng",NA,2010,2014,"","","2012","2011","2011","2013","2013","2015",2013,"2013","",""
"Asia","China","Yichang",NA,2015,2014,"","","2015","2015","2015","2010","2010","2015",2015,"2015","2015",""
"Asia","China","Yinchuan",NA,2013,2014,"","","2013","2013","2012","2013","2013","2012",2013,"2013","",""
"Asia","China","Zaozhuang",NA,2010,2014,"","","2011","2011","2011","2013","2013","2014",2013,"2013","",""
"Asia","China","Zhengzhou",NA,2013,2014,"","","2013","2011","2013","2013","2013","2015",2013,"2013","",""
"Asia","India","Ahmedabad",NA,2013,2014,"2011","2011","2013","2012","2013","","2010","2015",2013,"2014","",""
"Asia","India","Bhopal",NA,2013,2014,"2005","2005","","2013","","2011","2011","2015",2013,"2013","",""
"Asia","India","Indore",NA,2014,2014,"2005","2005","","","","","2011","",2013,"2013","",""
"Asia","India","Jaipur",NA,2010,2014,"2010","2010","2011","2011","2011","2001","2010","2015",2011,"2011","",""
"Asia","India","Pune - Primpi-Chinchwad",NA,2015,NA,NA,NA,"","2015","2015",NA,NA,NA,2016,"2016",NA,NA
"Asia","India","Rajkot",NA,2013,2014,"2005","2005","","","","","2011","",2013,"2013","",""
"Asia","India","Surat",NA,2014,2014,"2005","2005","","2014","","2011","2011","2014",2014,"2014","2014",""
"Asia","Indonesia","Jakarta",NA,2013,2014,"2009","2009","2013","2011","2013","2011","2011","2013",2014,"2014","",""
"Asia","Iran","Isfahan",NA,2015,NA,"",NA,"","","",NA,NA,NA,2015,"2016","",NA
"Asia","Iran","Tabriz",NA,NA,2014,"","","","","","","2012","",NA,"2011","",""
"Asia","Iran","Tehran",NA,2013,2014,"","","2011","2013","","2012","2012","2012",2014,"2014","",""
"Asia","Israel","Haifa",NA,2015,2014,"2007","2007","2015","2013","","2009","2012","2015",2013,"2013","2015",""
"Asia","Japan","Kesennuma - Tome",NA,NA,2014,"","","","2014","","2010","2010, population of Tome, Minamisanriku and Kesennuma","",2014,"2014","",""
"Asia","Japan","Nagoya",NA,2007,2014,"","","2007","2007","2007","2011","2013","2013",2007,"2007","",""
"Asia","Malaysia","Subang Jaya",NA,NA,2014,"2012","2012","","2015","","2010","2010","2015",2015,"2015","2015",""
"Asia","Pakistan","Islamabad - Rawalpindi",2015,2015,2014,"","2012","","2015","2015","2015","2015, population of both cities","2015",2015,"","2015",""
"Asia","Pakistan","Lahore",NA,2015,2014,"1992","1992","2015","2015","2015","","2010","2013",2015,"2015","",""
"Asia","Republic of Korea","Seoul",NA,2009,2014,"","","2011","","2011","2012","2012","",NA,"2009","",""
"Asia","Taiwan","Chiayi",NA,2010,2013,"","","","","","2013","2013","",2014,"2014","",""
"Asia","Taiwan","Taichung",NA,2014,2013,"2013","2013","","","","2013","2013","2014",2014,"2014","",""
"Asia","Taiwan","Taipei",2007,2007,2013,"2009","2009","2007","","2007","2012","2012","",2007,"2007","",""
"Asia","Thailand","Bangkok",NA,2011,2014,"2009","2009","2010","2011","2011","2010","2010","2015",2010,"2011","",""
"Europe","Belgium","Liège",NA,NA,2014,"2008","2008","","","","2006","2013","2015",2009,"2009",NA,""
"Europe","Czech Republic","Prague",NA,2011,2014,"2009","2009","2011","2011","","2011","2011","2015",NA,"2011","",""
"Europe","Finland","Helsinki",NA,2011,2014,"2013","2013","2011","2011","","2014","2014","2015",2011,"2011","2014",""
