"country","obs","nas","no_nas","availability","timeliness","homogeneity"
"Argentina",666,367,299,44.9,6.2,5
"Australia",259,44,215,83,9.3,6.2
"Belgium",111,44,67,60.4,12.3,4
"Brazil",3478,916,2562,73.7,6.9,10
"Canada",629,342,287,45.6,5.7,4.6
"Chile",592,182,410,69.3,9.7,3.2
"China",1406,796,610,43.4,8.6,17.4
"Colombia",962,227,735,76.4,8.4,6.4
"Ecuador",222,41,181,81.5,7.9,7.3
"El Salvador",37,16,21,56.8,7,5.4
"Finland",37,18,19,51.4,10.6,3.1
"France",1073,463,610,56.8,9,8.1
"Germany",74,25,49,66.2,11,6.3
"Guatemala",74,12,62,83.8,9,10.6
"India",481,280,201,41.8,7.8,5.5
"Indonesia",481,180,301,62.6,9.1,2.9
"Iran",370,175,195,52.7,8.1,3.6
"Israel",111,30,81,73,8.5,4
"Japan",74,38,36,48.6,11.1,3.4
"Malaysia",37,8,29,78.4,7,3.3
"Mexico",777,242,535,68.9,7.6,5.8
"Netherlands",222,124,98,44.1,11.4,9
"New Caledonia",37,25,12,32.4,3,2.2
"New Zealand",37,9,28,75.7,8.9,3.4
"Nigeria",37,25,12,32.4,8.4,3
"Pakistan",74,19,55,74.3,7.4,5
"Panama",37,14,23,62.2,7,7.3
"Peru",37,6,31,83.8,6.8,5.2
"Republic of Korea",444,348,96,21.6,9.1,4.1
"South Africa",222,121,101,45.5,6.8,4
"Spain",74,24,50,67.6,7.7,4.2
"Sweden",185,119,66,35.7,10.6,6
"Switzerland",37,8,29,78.4,10.9,4.9
"Taiwan",111,52,59,53.2,9.5,5.4
"Tanzania",37,12,25,67.6,5.9,3.7
"Thailand",37,24,13,35.1,10.5,3.1
"Trinidad and Tobago",37,18,19,51.4,10.5,3.8
"Turkey",37,5,32,86.5,8.5,3.9
"United Kingdom",296,157,139,47,9.2,6.3
"United States",1184,502,682,57.6,8.1,6.2
"Uruguay",74,39,35,47.3,8.4,5.5
"Venezuela",148,33,115,77.7,8.4,5.4
"Vietnam",37,18,19,51.4,5,2.3
