"indicator","category","obs","nas","no_nas","availability","value_mean","value_sd","value_cv","timeliness_mean","timeliness_sd","timeliness_cv","n_sources","homogeneity"
"Corridor annual fatalities","road safety",416,415,1,0.2,0,NA,NA,NA,NA,NA,1,1
"Corridor length (km)","running ways",416,0,416,100,13.3,10.4,0.78,7.5,3,0.4,169,2.5
"Corridor Name","corridor info",416,17,399,95.9,801.5,1.3,0,4.7,2.7,0.6,140,2.9
"Corridor service","corridor info",416,94,322,77.4,NA,NA,NA,7.3,6.3,0.9,121,2.7
"Daily demand, corridor (passengers per day)","corridor info",416,145,271,65.1,105756,152021.4,1.44,7.4,3.5,0.5,121,2.2
"Dynamic signal priority","traffic engineering",416,169,247,59.4,NA,NA,NA,8.7,1.7,0.2,61,4
"Enhanced stations","stations",416,75,341,82,NA,NA,NA,7.6,2.1,0.3,115,3
"Express services","travel time",416,210,206,49.5,NA,NA,NA,7.9,1.7,0.2,87,2.4
"Fixed signal priority","traffic engineering",416,162,254,61.1,NA,NA,NA,8.9,2.4,0.3,63,4
"Grade-separated intersections, corridor","traffic engineering",416,134,282,67.8,NA,NA,NA,8.1,2.3,0.3,75,3.8
"Infrastructure cost per kilometer, corridor (US$ million per km)","cost",416,311,105,25.2,8633.8,11161.5,1.29,10.1,4.3,0.4,66,1.6
"Lane material at stations, corridor","running ways",416,85,331,79.6,NA,NA,NA,8.9,3.9,0.4,96,3.4
"Lane material on running ways, corridor","running ways",416,72,344,82.7,NA,NA,NA,8.7,3.8,0.4,94,3.7
"Length of exclusive lanes, corridor (km)","running ways",416,140,276,66.3,1.2,4.1,3.42,8.2,2.2,0.3,54,5.1
"Length of segregated counterflow lanes, corridor (km)","running ways",416,139,277,66.6,0.4,3.3,8.67,8.1,1.9,0.2,49,5.7
"Length of segregated lanes, corridor (km)","running ways",416,101,315,75.7,9.7,8.3,0.86,8,2.3,0.3,118,2.7
"Mixed traffic with-flow length, corridor (km)","running ways",416,140,276,66.3,1.5,3.8,2.51,8,2,0.2,47,5.9
"Operating speed, corridor","travel time",416,222,194,46.6,23.3,8.5,0.37,9.1,2.4,0.3,84,2.3
"Overtaking lanes, corridor","stations",416,131,285,68.5,NA,NA,NA,8.1,1.8,0.2,84,3.4
"Peak frequency, corridor (buses per hour per direction)","travel time",416,204,212,51,54.7,86.5,1.58,8.2,2.8,0.3,104,2
"Peak load, corridor (passengers per hour per direction)","corridor info",416,292,124,29.8,13262,15383.1,1.16,9,2.6,0.3,45,2.8
"Physically integrated feeders","comfort",416,214,202,48.6,NA,NA,NA,8.5,1.7,0.2,48,4.2
"Planning cost, corridor (US$ million)","cost",416,392,24,5.8,34658.3,63314.3,1.83,10.5,6,0.6,22,1.1
"Position of bus doors, corridor","running ways",416,49,367,88.2,NA,NA,NA,8.6,2.7,0.3,127,2.9
"Position of counterflow lanes, corridor","running ways",416,140,276,66.3,NA,NA,NA,8.6,1.8,0.2,45,6.1
"Position of with-flow lanes, corridor","running ways",416,416,0,0,NA,NA,NA,7.9,2.6,0.3,0,NA
"Pre-board fare collection, corridor","stations",416,99,317,76.2,NA,NA,NA,8.1,1.5,0.2,111,2.9
"Real time information, corridor","comfort",416,128,288,69.2,NA,NA,NA,8.2,1.9,0.2,90,3.2
"Speed limit (km/h)","travel time",416,281,135,32.5,59.9,12.1,0.2,7.4,2.7,0.4,45,3
"Station boarding level, corridor","stations",416,99,317,76.2,NA,NA,NA,7.9,2.2,0.3,110,2.9
"Station spacing, corridor (m)","stations",416,66,350,84.1,733.9,493.9,0.67,7.1,2.5,0.3,34,10.3
"Stations, corridor","stations",416,41,375,90.1,19.2,15.1,0.78,7.2,2.8,0.4,164,2.3
"Total cost per kilometer, corridor (US$ million per km)","cost",416,355,61,14.7,14195.8,23125.8,1.63,10.3,4.5,0.4,50,1.2
"Trunk lines, corridor","corridor info",416,138,278,66.8,3.3,4.9,1.45,7.3,3,0.4,127,2.2
"Type of bus guidance","its",416,144,272,65.4,NA,NA,NA,8.6,2,0.2,67,4.1
"User rating, corridor","quality of service",416,297,119,28.6,NA,NA,NA,10.5,1.9,0.2,34,3.5
"Year corridor commenced","corridor info",416,31,385,92.5,2008,9.6,0,3.8,1.7,0.5,169,2.3
