"VARIABLE","ID","ITEM","MAX_SCORE","NOTES"
"Year","year","Description",NA,"Created"
"Country","country","Description",NA,""
"City","city","Description",NA,""
"System","system","Description",NA,""
"Corridor","corridor","Description",NA,""
"Corridor Length (km)","length","Description",NA,""
"BRT Basics - Minimum score of 20 points needed","a","BRT Basics",38,"Total score BRT Basics item ( a )"
"Dedicated right-of-way - Minimum 4 points","a1","BRT Basics",8,""
"Busway alignment - Minimum 4 points","a2","BRT Basics",8,""
"Off-board fare collection","a3","BRT Basics",8,""
"Intersection treatments","a4","BRT Basics",7,""
"Platform-level boarding","a5","BRT Basics",7,""
"Service Planning","b","Service Planning",19,"Total score Service Planning item ( b )"
"Multiple routes","b1","Service Planning",4,""
"Express, limited, and local services","b2","Service Planning",3,""
"Control center","b3","Service Planning",3,""
"Located In top ten corridors","b4","Service Planning",2,""
"Demand Profile","b5","Service Planning",3,""
"Hours of operations","b6","Service Planning",2,""
"Multi-corridor network","b7","Service Planning",2,""
"Infrastructure","c","Infrastructure",14,"Total score Infrastructure item  ( c )"
"Passing lanes at stations","c1","Infrastructure",4,""
"Minimizing bus emissions","c2","Infrastructure",3,""
"Stations set back from intersections","c3","Infrastructure",3,""
"Center stations","c4","Infrastructure",2,""
"Pavement quality","c5","Infrastructure",2,""
"Station Design and Station-bus Interface","d","Station Design and Station-bus Interface",10,"Total score Station Design and Station-bus Interface item ( d )"
"Distances between stations","d1","Station Design and Station-bus Interface",2,""
"Safe and comfortable stations","d2","Station Design and Station-bus Interface",3,""
"Number of doors on bus","d3","Station Design and Station-bus Interface",3,""
"Docking bays and sub-stops","d4","Station Design and Station-bus Interface",1,""
"Sliding doors in BRT stations","d5","Station Design and Station-bus Interface",1,""
"Communications and Marketing","e","Communications and Marketing",5,"Total score Communications and Marketing item ( e )"
"Branding","e1","Communications and Marketing",3,""
"Passenger information","e2","Communications and Marketing",2,""
"Integration and Access","f","Integration and Access",14,"Total score Integration and Access item ( f )"
"Universal access","f1","Integration and Access",3,""
"Integration with other public transport","f2","Integration and Access",3,""
"Pedestrian access","f3","Integration and Access",3,""
"Secure bicycle parking","f4","Integration and Access",2,""
"Bicycle lanes","f5","Integration and Access",2,""
"Bicycle-sharing integration","f6","Integration and Access",1,""
"TOTAL 100","score","",100,""
"BRT BASICS (MINIMUM NEEDED 20)","BRT BASICS (MINIMUM NEEDED 18)","",38,""
"Point Deductions","g","Point Deductions",-45,"Total score without discounting point deductions"
"Commercial Speeds","g1","Point Deductions",-10,""
"Peak passengers per hour per direction (pphpd) below 1,000","g2","Point Deductions",-5,""
"Lack of enforcement of right-of-way","g3","Point Deductions",-5,""
"Significant gap between bus floor and station platform","g4","Point Deductions",-5,""
"Overcrowding","g5","Point Deductions",-5,""
"Peak frequency","g6","Point Deductions",-3,""
"Off-peak frequency","g7","Point Deductions",-2,""
"Poorly-maintained Busway, Buses, Stations and Technology Systems","g8","Point Deductions",-10,""
"Total Score","total_score","",100,"Total score discounting point deductions"
"Classification","class","",NA,"Gold, Silver, Bronze, or Basic BRT"
"Suggestions for Quick Improvements 1","suggestion1","",NA,"Quick, relatively low-cost suggestions for how to improve a corridor`s score and effectiveness"
"Suggestions for Quick Improvements 2","suggestion2","",NA,"Quick, relatively low-cost suggestions for how to improve a corridor`s score and effectiveness"
"Suggestions for Quick Improvements 3","suggestion3","",NA,"Quick, relatively low-cost suggestions for how to improve a corridor`s score and effectiveness"
