"Indicator","Category","Region","Country","City","Value","Year","Source","Timeliness","nas"
"Year system commenced","system info","Latin America","Argentina","Buenos Aires","2011",NA,"",NA,0
"Year system commenced","system info","Latin America","Argentina","Buenos Aires - Metropolitan Area","2017",NA,"",NA,0
"Year system commenced","system info","Latin America","Argentina","Córdoba","2014",NA,"",NA,0
"Year system commenced","system info","Latin America","Argentina","Neuquén","2019",NA,"www.argentina.gob.ar",NA,0
"Year system commenced","system info","Latin America","Argentina","Santa Fe","2017",NA,"es.wikipedia.org",NA,0
"Year system commenced","system info","Latin America","Brazil","Belém","2014",NA,"ww3.belem.pa.gov.br",NA,0
"Year system commenced","system info","Latin America","Brazil","Belo Horizonte","1975",NA,"",NA,0
"Year system commenced","system info","Latin America","Brazil","Brasília","2011",NA,"",NA,0
"Year system commenced","system info","Latin America","Brazil","Campinas","1986",NA,"",NA,0
"Year system commenced","system info","Latin America","Brazil","Criciúma","1996",NA,"",NA,0
"Year system commenced","system info","Latin America","Brazil","Curitiba","1974",NA,"www.urbs.curitiba.pr.gov.br",NA,0
"Year system commenced","system info","Latin America","Brazil","Fortaleza","2012",NA,"",NA,0
"Year system commenced","system info","Latin America","Brazil","Goiânia","1976",NA,"",NA,0
"Year system commenced","system info","Latin America","Brazil","Guarulhos","2013",NA,"www.emtu.sp.gov.br",NA,0
"Year system commenced","system info","Latin America","Brazil","Juiz de Fora","1982",NA,"www.sengemg.com.br",NA,0
"Year system commenced","system info","Latin America","Brazil","Londrina","2010",NA,"",NA,0
"Year system commenced","system info","Latin America","Brazil","Natal","2008",NA,"",NA,0
"Year system commenced","system info","Latin America","Brazil","Niterói","2010",NA,"roselypellegrino.wordpress.com",NA,0
"Year system commenced","system info","Latin America","Brazil","Porto Alegre","1977",NA,"",NA,0
"Year system commenced","system info","Latin America","Brazil","Recife","1982",NA,"",NA,0
"Year system commenced","system info","Latin America","Brazil","Rio de Janeiro","2011",NA,"www.fetranspordocs.com.br",NA,0
"Year system commenced","system info","Latin America","Brazil","São Paulo","1980",NA,"",NA,0
"Year system commenced","system info","Latin America","Brazil","São Paulo - Metropolitan area","1988",NA,"",NA,0
"Year system commenced","system info","Latin America","Brazil","Sumaré","2010",NA,"",NA,0
"Year system commenced","system info","Latin America","Brazil","Teresina","2016",2021,"pt.wikipedia.org",1,0
"Year system commenced","system info","Latin America","Brazil","Uberaba","2015",NA,"www.uberaba.mg.gov.br",NA,0
"Year system commenced","system info","Latin America","Brazil","Uberlândia","2006",NA,"www.uberlandia.mg.gov.br",NA,0
"Year system commenced","system info","Latin America","Brazil","Sorocaba","2020",2021,"diariodotransporte.com.br",1,0
"Year system commenced","system info","Latin America","Brazil","Maringá","2018",2018,"noticias.maringa.com",4,0
"Year system commenced","system info","Latin America","Chile","Concepción","2005",NA,"es.wikipedia.org",NA,0
"Year system commenced","system info","Latin America","Chile","Santiago","2006",NA,"www.dtpm.gob.cl",NA,0
