"YEAR","COUNTRY","CITY","SYSTEM","CORRIDOR","CORRIDOR_LENGTH_KM","BRT_BASICS_MINIMUM_SCORE_OF_18_POINTS_NEEDED","BUSWAY_ALIGNMENT","DEDICATED_RIGHT_OF_WAY","OFF_BOARD_FARE_COLLECTION","INTERSECTION_TREATMENTS","PLATFORM_LEVEL_BOARDING","SERVICE_PLANNING","MULTIPLE_ROUTES","PEAK_FREQUENCY","OFF_PEAK_FREQUENCY","EXPRESS_LIMITED_AND_LOCAL_SERVICES","CONTROL_CENTER","LOCATED_IN_TOP_TEN_CORRIDORS","DEMAND_PROFILE","HOURS_OF_OPERATIONS","MULTI_CORRIDOR_NETWORK","INFRASTRUCTURE","PASSING_LANES_AT_STATIONS","MINIMIZING_BUS_EMISSIONS","STATIONS_SET_BACK_FROM_INTERSECTIONS","CENTER_STATIONS","PAVEMENT_QUALITY","STATION_DESIGN_AND_STATION_BUS_INTERFACE","DISTANCES_BETWEEN_STATIONS","SAFE_AND_COMFORTABLE_STATIONS","NUMBER_OF_DOORS_ON_BUS","DOCKING_BAYS_AND_SUB_STOPS","SLIDING_DOORS_IN_BRT_STATIONS","QUALITY_OF_SERVICE_PASSENGER_INFORMATION_SYSTEMS","BRANDING","PASSENGER_INFORMATION","INTEGRATION_AND_ACCESS","UNIVERSAL_ACCESS","INTEGRATION_WITH_OTHER_PUBLIC_TRANSPORT","PEDESTRIAN_ACCESS","SECURE_BICYCLE_PARKING","BICYCLE_LANES","BICYCLE_SHARING_INTEGRATION","TOTAL_100","BRT_BASICS_MINIMUM_NEEDED_18","POINT_DEDUCTIONS","COMMERCIAL_SPEEDS","PEAK_PASSENGERS_PER_HOUR_PER_DIRECTION_PPHPD_BELOW_1_000","LACK_OF_ENFORCEMENT_OF_RIGHT_OF_WAY","SIGNIFICANT_GAP_BETWEEN_BUS_FLOOR_AND_STATION_PLATFORM","OVERCROWDING","POORLY_MAINTAINED_BUSWAY_BUSES_STATIONS_AND_TECHNOLOGY_SYSTEMS","TOTAL_SCORE","CLASSIFICATION"
2013,"Argentina","Buenos Aires","Metrobus","Juan B Justo",12.5,23,7,7,0,5,4,18,4,3,2,0,0,2,3,"2",2,4,0,0,3,0,1,9,2,3,3,1,0,2,1,1,6,2,1,3,0,0,0,62,23,-1,0,0,-1,0,0,0,61,"Bronze"
2013,"Australia","Brisbane","(no BRT system name)","South East Busway",16.5,23,7,7,0,6,3,21,4,1,1,3,3,2,3,"2",2,13,4,2,3,2,2,6,0,3,3,0,0,5,3,2,12,3,3,3,2,1,0,80,23,-3,0,0,0,-2,0,-1,77,"Silver"
2013,"Brazil","Curitiba","Rede Integrada de Transporte (RIT)","Green Line",9.5,33,7,7,7,6,6,24,4,3,2,3,3,2,3,"2",2,12,4,2,3,1,2,10,2,3,3,1,1,4,3,1,9,2,3,3,0,1,0,92,33,0,0,0,0,0,0,0,92,"Gold"
2013,"Brazil","Curitiba","Rede Integrada de Transporte (RIT)","(All RIT corridors)",74,33,7,7,7,6,6,24,4,3,2,3,3,2,3,"2",2,5,0,1,3,0,1,8,2,2,3,0,1,4,3,1,8,2,3,2,0,1,0,82,33,0,0,0,0,0,0,0,82,"Silver"
2013,"Brazil","Rio de Janeiro","(no BRT system name)","TransOeste",54.7,33,7,7,7,6,6,23,4,3,2,3,2,2,3,"2",2,12,4,2,3,2,1,10,2,3,3,1,1,4,3,1,8,3,1,2,1,1,0,90,33,-2,0,0,0,-1,0,-1,88,"Gold"
2013,"Brazil","S�o Paulo","(no BRT system Name)","Expresso Tiradentes",8,33,7,7,7,6,6,21,4,3,2,0,3,2,3,"2",2,8,0,2,3,1,2,7,0,3,3,1,0,5,3,2,6,2,1,3,0,0,0,80,33,0,0,0,0,0,0,0,80,"Silver"
2013,"Brazil","S�o Paulo","(no BRT system Name)","Abd. Jabaquara",5,20,7,7,1,5,0,20,4,3,1,0,3,2,3,"2",2,7,0,2,3,0,2,6,2,1,3,0,0,2,2,0,5,1,1,3,0,0,0,60,20,0,0,0,0,0,0,0,60,"Bronze"
2013,"Canada","Ottawa, ON","Transitway","(All corridors)",30,20,7,7,0,6,0,17,4,2,1,2,2,2,0,"2",2,11,4,3,3,0,1,7,0,3,3,1,0,4,3,1,5,1,1,3,0,0,0,64,20,0,0,0,0,0,0,0,64,"Bronze"
2013,"China","Beijing","Beijing BRT","Entire Network",59,20,4,4,6,0,6,19,4,3,2,0,3,2,3,"2",0,5,0,0,2,2,1,7,2,2,3,0,0,5,3,2,1,0,0,0,0,1,0,57,20,0,0,0,0,0,0,0,57,"Bronze"
2013,"China","Changzhou","Changzhou BRT","Entire Network",51.9,27,7,7,7,0,6,21,4,3,2,0,3,2,3,"2",2,4,0,1,1,0,2,9,2,2,3,1,1,5,3,2,2,0,0,1,0,1,0,68,27,0,0,0,0,0,0,0,68,"Bronze"
