"id_variable","type","variable","Difference","Mean.x","Mean.y","x_difference","p.value","dimension","category"
"a","no_difference","BRT Basics",-4.78,79.665,84.446,-5.7,0.2,"Sub-Category","BRT Basics"
"a","no_difference","BRT Basics",-4.78,79.665,84.446,-5.7,0.2,"Sub-Category","BRT Basics"
"a1","no_difference","Dedicated right-of-way",-1.509,94.33,95.839,-1.6,0.587,"Sub-Category","BRT Basics"
"a2","no_difference","",-0.162,95.961,96.123,-0.2,0.949,"Sub-Category","BRT Basics"
"a3","strengths","",24.552,95.574,71.022,34.6,0.009,"Sub-Category","BRT Basics"
"a4","weaknesses","",-64.853,16.665,81.518,-79.6,0,"Sub-Category","BRT Basics"
"a5","no_difference","",12.426,88.617,76.191,16.3,0.17,"Sub-Category","BRT Basics"
"b","weaknesses","Service Planning",-9.134,67.139,76.273,-12,0.042,"Sub-Category","Service Planning"
"b","weaknesses","Service Planning",-9.134,67.139,76.273,-12,0.042,"Sub-Category","Service Planning"
"b1","no_difference","Multiple routes",7.526,86.957,79.43,9.5,0.415,"Sub-Category","Service Planning"
"b2","weaknesses","Express, limited, and local services",-24.694,11.596,36.29,-68,0.017,"Sub-Category","Service Planning"
"b3","strengths","Control center",20.961,95.652,74.691,28.1,0.002,"Sub-Category","Service Planning"
"b4","weaknesses","Located In top ten corridors",-13.594,82.609,96.203,-14.1,0.023,"Sub-Category","Service Planning"
"b5","weaknesses","Demand Profile",-52.138,34.783,86.92,-60,0,"Sub-Category","Service Planning"
"b6","strengths","Hours of operations",9.615,100,90.385,10.6,0.034,"Sub-Category","Service Planning"
"b7","weaknesses","Multi-corridor network",-21.959,56.522,78.481,-28,0.023,"Sub-Category","Service Planning"
"c","weaknesses","Infrastructure",-20.69,40.061,60.751,-34.1,0,"Sub-Category","Infrastructure"
"c","weaknesses","Infrastructure",-20.69,40.061,60.751,-34.1,0,"Sub-Category","Infrastructure"
"c1","weaknesses","Passing lanes at stations",-30.944,13.043,43.987,-70.3,0.005,"Sub-Category","Infrastructure"
"c2","weaknesses","Minimizing bus emissions",-28.257,20.27,48.527,-58.2,0.001,"Sub-Category","Infrastructure"
"c3","weaknesses","Stations set back from intersections",-54.492,36.226,90.718,-60.1,0,"Sub-Category","Infrastructure"
"c4","no_difference","Center stations",14.777,71.739,56.962,25.9,0.194,"Sub-Category","Infrastructure"
"c5","strengths","Pavement quality",26.307,97.826,71.519,36.8,0.003,"Sub-Category","Infrastructure"
"d","no_difference","Station Design and Station-bus Interface",5.039,81.304,76.266,6.6,0.282,"Sub-Category","Station Design and Station-bus Interface"
"d","no_difference","Station Design and Station-bus Interface",5.039,81.304,76.266,6.6,0.282,"Sub-Category","Station Design and Station-bus Interface"
"d1","weaknesses","Distances between stations",-28.288,56.522,84.81,-33.4,0.003,"Sub-Category","Station Design and Station-bus Interface"
"d2","no_difference","Safe and comfortable stations",10.566,88.413,77.847,13.6,0.102,"Sub-Category","Station Design and Station-bus Interface"
"d3","no_difference","Number of doors on bus",13.793,95.652,81.859,16.8,0.084,"Sub-Category","Station Design and Station-bus Interface"
"d4","no_difference","Docking bays and sub-stops",-6.935,65.217,72.152,-9.6,0.56,"Sub-Category","Station Design and Station-bus Interface"
"d5","strengths","Sliding doors in BRT stations",40.837,82.609,41.772,97.8,0,"Sub-Category","Station Design and Station-bus Interface"
"e","strengths","Communications and Marketing",12.526,86.957,74.43,16.8,0.046,"Sub-Category","Communications and Marketing"
"e","strengths","Communications and Marketing",12.526,86.957,74.43,16.8,0.046,"Sub-Category","Communications and Marketing"
"e1","no_difference","Branding",8.684,86.957,78.272,11.1,0.308,"Sub-Category","Communications and Marketing"
"e2","strengths","Passenger information",18.286,86.957,68.671,26.6,0.013,"Sub-Category","Communications and Marketing"
"f","weaknesses","Integration and Access",-17.152,31.361,48.513,-35.4,0,"Sub-Category","Integration and Access"
"f","weaknesses","Integration and Access",-17.152,31.361,48.513,-35.4,0,"Sub-Category","Integration and Access"
"f1","weaknesses","Universal access",-70.74,2.896,73.635,-96.1,0,"Sub-Category","Integration and Access"
"f2","no_difference","Integration with other public transport",13.358,63.778,50.42,26.5,0.162,"Sub-Category","Integration and Access"
"f3","weaknesses","Pedestrian access",-35.163,40.583,75.746,-46.4,0,"Sub-Category","Integration and Access"
"f4","no_difference","Secure bicycle parking",-7.127,8.696,15.823,-45,0.278,"Sub-Category","Integration and Access"
"f5","strengths","Bicycle lanes",24.749,47.826,23.077,107.2,0.004,"Sub-Category","Integration and Access"
"f6","no_difference","Bicycle-sharing integration",1.816,4.348,2.532,71.7,0.654,"Sub-Category","Integration and Access"
"g","no_difference","Point Deductions",1.412,-6.765,-8.177,-17.3,0.46,"Point Deductions","Point Deductions"
"g","no_difference","Point Deductions",1.412,-6.765,-8.177,-17.3,0.46,"Point Deductions","Point Deductions"
"g1","no_difference","Commercial speeds",-6.769,-13.478,-6.709,100.9,0.167,"Point Deductions","Point Deductions"
"g2","weaknesses","Peak passengers per hour per direction (pphpd) below 1,000",-19.207,-21.739,-2.532,758.6,0.001,"Point Deductions","Point Deductions"
"g3","no_difference","Lack of enforcement of right-of-way",7.881,-1.739,-9.62,-81.9,0.075,"Point Deductions","Point Deductions"
"g4","strengths","Significant gap between bus floor and station platform",9.367,0,-9.367,-100,0.031,"Point Deductions","Point Deductions"
"g5","strengths","Overcrowding",24.901,-2.609,-27.51,-90.5,0.008,"Point Deductions","Point Deductions"
"g6","no_difference","Peak frequency",-22.563,21.739,44.303,-50.9,0.116,"Point Deductions","Point Deductions"
"g7","no_difference","Off-peak frequency",-12.053,34.783,46.835,-25.7,0.329,"Point Deductions","Point Deductions"
"g8","strengths","Poorly-maintained Busway, Buses, Stations and Technology Systems",4.462,0,-4.462,-100,0.042,"Point Deductions","Point Deductions"
"score","weaknesses","",-7.398,65.609,73.006,-10.1,0.009,"Net Score",""
"total_score","weaknesses","",-7.15,62.565,69.715,-10.3,0.018,"Net Score",""
