"country","obs","nas","no_nas","availability","timeliness","homogeneity"
"Argentina",370,231,139,37.6,5.9,3.6
"Australia",222,74,148,66.7,10.6,4.2
"Belgium",74,46,28,37.8,12,14.3
"Brazil",1776,665,1111,62.6,6.4,0.9
"Canada",518,297,221,42.7,7.8,2.1
"Chile",148,72,76,51.4,7.2,4.2
"China",1480,723,757,51.1,9.1,2.3
"Colombia",518,115,403,77.8,8.1,1.6
"Ecuador",148,31,117,79.1,10,6.2
"El Salvador",74,36,38,51.4,7.3,14.3
"Finland",74,43,31,41.9,9.3,10
"France",1554,741,813,52.3,9.5,1
"Germany",148,66,82,55.4,11.2,7.7
"Guatemala",74,21,53,71.6,8.9,20
"India",666,323,343,51.5,8.6,1.6
"Indonesia",74,27,47,63.5,7.6,6.2
"Iran",222,158,64,28.8,8.5,5.6
"Israel",74,22,52,70.3,9,7.7
"Japan",148,100,48,32.4,10.7,7.1
"Malaysia",74,28,46,62.2,7.4,7.1
"Mexico",888,365,523,58.9,8.3,1.1
"Netherlands",370,218,152,41.1,11.2,5.9
"New Caledonia",74,52,22,29.7,4.5,10
"New Zealand",74,30,44,59.5,9,7.7
"Nigeria",74,47,27,36.5,9.6,11.1
"Pakistan",148,49,99,66.9,8.5,5
"Panama",74,30,44,59.5,6.5,16.7
"Peru",74,17,57,77,8.6,9.1
"Republic of Korea",74,45,29,39.2,9.3,14.3
"South Africa",222,98,124,55.9,8.3,3.2
"Spain",148,69,79,53.4,7.8,5.3
"Sweden",222,132,90,40.5,10.2,6.7
"Switzerland",74,25,49,66.2,10.9,10
"Taiwan",222,103,119,53.6,9.2,4.5
"Tanzania",74,29,45,60.8,5.6,8.3
"Thailand",74,43,31,41.9,10.9,10
"Trinidad and Tobago",74,55,19,25.7,9.8,20
"Turkey",74,19,55,74.3,8.5,7.1
"United Kingdom",518,315,203,39.2,9.8,3.1
"United States",1036,470,566,54.6,8.5,1.1
"Uruguay",74,30,44,59.5,9.3,12.5
"Venezuela",222,77,145,65.3,8.8,3.7
"Vietnam",74,46,28,37.8,5.3,8.3
