"category_variable","id_variable","year","type","variable","Difference","Mean.x","Mean.y","x_difference","p.value","max_score","left_beta","mean_beta","right_beta","beta","left_productivity","mean_productivity","right_productivity","interval_productivity","significant","ranking"
"a","a","2013-2014","no_difference","BRT Basics",-4.78,79.665,84.446,-5.7,0.2,38,-257.937776403837,154.504045424148,566.945867252133,NA,1233,-739,-2710,-3943,"No",72
"a","a","2014","no_difference","BRT Basics",-1.409,79.313,80.722,-1.7,0.782,38,-257.937776403837,154.504045424148,566.945867252133,NA,363,-218,-799,-1162,"No",133
"a","a2","2014","no_difference","",-0.015,96.667,96.681,0,0.996,8,-257.937776403837,154.504045424148,566.945867252133,NA,4,-2,-9,-13,"No",97
"a","a3","2013-2014","strengths","",24.552,95.574,71.022,34.6,0.009,8,-257.937776403837,154.504045424148,566.945867252133,NA,-6333,3793,13920,20253,"No",70
"a","a3","2014","strengths","",30.885,94.167,63.281,48.8,0.017,8,-257.937776403837,154.504045424148,566.945867252133,NA,-7966,4772,17510,25476,"No",98
"a","a3","2013","no_difference","",21.921,98.213,76.291,28.7,0.135,8,-257.937776403837,154.504045424148,566.945867252133,NA,-5654,3387,12428,18082,"No",99
"a","a4","2013-2014","weaknesses","",-64.853,16.665,81.518,-79.6,0,7,-257.937776403837,154.504045424148,566.945867252133,NA,16728,-10020,-36768,-53496,"No",132
"a","a4","2013","weaknesses","",-57.579,22.913,80.491,-71.5,0,7,-257.937776403837,154.504045424148,566.945867252133,NA,14852,-8896,-32644,-47496,"No",71
"a","a4","2014","weaknesses","",-69.692,13.333,83.025,-83.9,0,7,-257.937776403837,154.504045424148,566.945867252133,NA,17976,-10768,-39512,-57488,"No",73
"a","a","2013","no_difference","BRT Basics",-6.656,80.325,86.981,-7.7,0.253,38,-257.937776403837,154.504045424148,566.945867252133,NA,1717,-1028,-3774,-5491,"No",125
"a","a1","2013","no_difference","Dedicated right-of-way",-2.624,94.638,97.262,-2.7,0.471,8,-257.937776403837,154.504045424148,566.945867252133,NA,677,-405,-1488,-2165,"No",67
"a","a1","2014","no_difference","Dedicated right-of-way",0.417,94.167,93.75,0.4,0.924,8,-257.937776403837,154.504045424148,566.945867252133,NA,-108,64,236,344,"No",5
"a","a1","2013-2014","no_difference","Dedicated right-of-way",-1.509,94.33,95.839,-1.6,0.587,8,-257.937776403837,154.504045424148,566.945867252133,NA,389,-233,-856,-1245,"No",123
"a","a2","2013-2014","no_difference","",-0.162,95.961,96.123,-0.2,0.949,8,-257.937776403837,154.504045424148,566.945867252133,NA,42,-25,-92,-134,"No",18
"a","a2","2013","no_difference","",-1.105,94.638,95.743,-1.2,0.805,8,-257.937776403837,154.504045424148,566.945867252133,NA,285,-171,-626,-911,"No",4
"a","a5","2013-2014","no_difference","",12.426,88.617,76.191,16.3,0.17,7,-257.937776403837,154.504045424148,566.945867252133,NA,-3205,1920,7045,10250,"No",93
"a","a5","2013","no_difference","",-0.339,83.35,83.689,-0.4,0.978,7,-257.937776403837,154.504045424148,566.945867252133,NA,87,-52,-192,-279,"No",6
"a","a5","2014","no_difference","",26.249,91.427,65.178,40.3,0.054,7,-257.937776403837,154.504045424148,566.945867252133,NA,-6771,4056,14882,21653,"No",57
"b","b2","2013","no_difference","Express, limited, and local services",-31.477,12.5,43.977,-71.6,0.075,3,-120.72017058667,115.999675610571,352.719521807811,NA,3800,-3651,-11103,-14903,"No",104
"b","b1","2014","no_difference","Multiple routes",10.469,80,69.531,15.1,0.458,4,-120.72017058667,115.999675610571,352.719521807811,NA,-1264,1214,3693,4957,"No",113
"b","b1","2013-2014","no_difference","Multiple routes",7.526,86.957,79.43,9.5,0.415,4,-120.72017058667,115.999675610571,352.719521807811,NA,-909,873,2655,3564,"No",68
"b","b1","2013","no_difference","Multiple routes",13.83,100,86.17,16,0.26,4,-120.72017058667,115.999675610571,352.719521807811,NA,-1670,1604,4878,6548,"No",37
"b","b3","2013-2014","strengths","Control center",20.961,95.652,74.691,28.1,0.002,3,-120.72017058667,115.999675610571,352.719521807811,NA,-2530,2431,7393,9923,"No",130
"b","b2","2014","no_difference","Express, limited, and local services",-13.887,11.113,25,-55.5,0.26,3,-120.72017058667,115.999675610571,352.719521807811,NA,1676,-1611,-4898,-6574,"No",131
"b","b2","2013-2014","weaknesses","Express, limited, and local services",-24.694,11.596,36.29,-68,0.017,3,-120.72017058667,115.999675610571,352.719521807811,NA,2981,-2864,-8710,-11691,"No",74
"b","b3","2014","strengths","Control center",21.449,93.333,71.884,29.8,0.013,3,-120.72017058667,115.999675610571,352.719521807811,NA,-2589,2488,7565,10154,"No",60
"b","b4","2013","no_difference","Located In top ten corridors",4.255,100,95.745,4.4,0.561,2,-120.72017058667,115.999675610571,352.719521807811,NA,-514,494,1501,2015,"No",115
"b","b5","2013-2014","weaknesses","Demand Profile",-52.138,34.783,86.92,-60,0,3,-120.72017058667,115.999675610571,352.719521807811,NA,6294,-6048,-18390,-24684,"No",61
"b","b5","2014","weaknesses","Demand Profile",-82.918,6.667,89.584,-92.6,0,3,-120.72017058667,115.999675610571,352.719521807811,NA,10010,-9618,-29247,-39257,"No",26
"b","b5","2013","no_difference","Demand Profile",2.394,87.5,85.106,2.8,0.862,3,-120.72017058667,115.999675610571,352.719521807811,NA,-289,278,844,1133,"No",58
"b","b6","2014","strengths","Hours of operations",14.062,100,85.938,16.4,0.044,2,-120.72017058667,115.999675610571,352.719521807811,NA,-1698,1631,4960,6658,"No",23
"b","b6","2013","no_difference","Hours of operations",6.522,100,93.478,7,0.287,2,-120.72017058667,115.999675610571,352.719521807811,NA,-787,757,2300,3087,"No",116
"b","b6","2013-2014","strengths","Hours of operations",9.615,100,90.385,10.6,0.034,2,-120.72017058667,115.999675610571,352.719521807811,NA,-1161,1115,3391,4552,"No",100
"b","b7","2013-2014","weaknesses","Multi-corridor network",-21.959,56.522,78.481,-28,0.023,2,-120.72017058667,115.999675610571,352.719521807811,NA,2651,-2547,-7745,-10396,"No",114
"b","b7","2013","no_difference","Multi-corridor network",7.713,87.5,79.787,9.7,0.558,2,-120.72017058667,115.999675610571,352.719521807811,NA,-931,895,2721,3652,"No",109
"b","b7","2014","weaknesses","Multi-corridor network",-36.562,40,76.562,-47.8,0.01,2,-120.72017058667,115.999675610571,352.719521807811,NA,4414,-4241,-12896,-17310,"No",66
"b","b3","2013","strengths","Control center",23.398,100,76.602,30.5,0.044,3,-120.72017058667,115.999675610571,352.719521807811,NA,-2825,2714,8253,11078,"No",16
"b","b4","2013-2014","weaknesses","Located In top ten corridors",-13.594,82.609,96.203,-14.1,0.023,2,-120.72017058667,115.999675610571,352.719521807811,NA,1641,-1577,-4795,-6436,"No",59
"b","b4","2014","weaknesses","Located In top ten corridors",-23.542,73.333,96.875,-24.3,0.014,2,-120.72017058667,115.999675610571,352.719521807811,NA,2842,-2731,-8304,-11146,"No",129
"b","b","2014","weaknesses","Service Planning",-14.542,56.833,71.375,-20.4,0.011,19,-120.72017058667,115.999675610571,352.719521807811,NA,1756,-1687,-5129,-6885,"No",31
"b","b","2013","no_difference","Service Planning",6.854,86.463,79.609,8.6,0.299,19,-120.72017058667,115.999675610571,352.719521807811,NA,-827,795,2418,3245,"No",22
"b","b","2013-2014","weaknesses","Service Planning",-9.134,67.139,76.273,-12,0.042,19,-120.72017058667,115.999675610571,352.719521807811,NA,1103,-1060,-3222,-4325,"No",56
"c","c2","2013-2014","weaknesses","Minimizing bus emissions",-28.257,20.27,48.527,-58.2,0.001,3,-139.7044094759,93.5779506646201,326.86031080514,NA,3948,-2644,-9236,-13184,"No",112
"c","c2","2013","no_difference","Minimizing bus emissions",-15.453,24.975,40.428,-38.2,0.265,3,-139.7044094759,93.5779506646201,326.86031080514,NA,2159,-1446,-5051,-7210,"No",124
