"city","country","country_ITDP","city_ITDP","year","system","corridor","corridor_length","a","a1","a2","a3","a4","a5","b","b1","b2","b3","b4","b5","b6","b7","c","c1","c2","c3","c4","c5","d","d1","d2","d3","d4","d5","e","e1","e2","f","f1","f2","f3","f4","f5","f6","score","g","g1","g2","g3","g4","g5","g6","g7","g8","total_score","classification","gdp","continent","pop_density","corridors_city_length","population","bus_split","net_score","id","x_a","x_b","x_c","x_d","x_e","x_f","x_g","productivity","demand","system_length","speed","year_system_commenced","peak_frequency","peak_load_pax"
"Ahmedabad","India","India","Ahmedabad",2013,"Janmarg","Narol-Naroda",13.2,93.9,100,100,100,66.7,100,79.2,100,0,66.7,100,100,50,100,71.4,100,33.3,100,100,0,90,100,100,66.7,100,100,100,100,100,28.6,66.7,33.3,33.3,0,0,0,78,-16.7,0,0,0,-20,-100,100,100,-25,72,"Silver",1582,"Asia",4060,82,5726000,22,72,48,93.9,79.2,53.74,90,100,28.6,-16.7,1585.4,130000,82,24,2009,20,1780
"Ahmedabad","India","India","Ahmedabad",2013,"Janmarg","RTO-Maninagar",21.5,93.9,100,100,100,66.7,100,79.2,100,0,66.7,100,100,50,100,42.9,0,33.3,100,100,0,90,100,100,66.7,100,100,100,100,100,28.6,66.7,33.3,33.3,0,0,0,74,-16.7,0,0,0,-20,-100,100,100,-25,68,"Bronze",1582,"Asia",4060,82,5726000,22,68,47,93.9,79.2,53.74,90,100,28.6,-16.7,1585.4,130000,82,24,2009,20,1780
"Ahmedabad","India","India","Ahmedabad",2014,"Janmarg","Sola-AEC",3.1,92.1,100,100,100,57.1,100,63.2,100,0,66.7,100,0,100,100,50,0,33.3,100,100,50,90,100,100,66.7,100,100,100,100,100,42.9,66.7,100,33.3,0,0,0,74,-20,0,-100,0,-20,0,-100,0,0,65,"Bronze",1582,"Asia",4060,82,5726000,22,65,1,92.1,63.2,50,90,100,42.9,-20,1585.4,130000,82,24,2009,20,1780
"Bangkok","Thailand","Thailand","Bangkok",2014,"Bangkok BRT","Sathorn Station to Rama III Station",11.5,84.2,50,100,87.5,85.7,100,36.8,0,0,100,100,0,100,0,35.7,0,0,100,0,100,30,0,100,0,0,0,100,100,100,50,33.3,100,100,0,0,0,59,0,0,0,0,0,0,0,0,0,59,"Bronze",5977,"Asia",1876,15.3,8305218,30,59,2,84.2,36.8,35.7,30,100,50,0,980.4,15000,15.3,26,2010,15,1200
"Barranquilla","Colombia","Colombia","Barranquilla",2013,"Transmetro","(no name)",13.2,97,100,100,100,83.3,100,79.2,0,66.7,100,100,100,100,100,78.6,75,33.3,100,100,100,100,100,100,100,100,100,100,100,100,35.7,100,0,66.7,0,0,0,82,-13.9,0,0,-60,0,-33.3,100,100,-12.5,77,"Silver",7904,"Latin America",3650,14,1386865,50.2,77,49,97,79.2,78.6,100,100,35.7,-13.9,8214.3,115000,14,22,2010,54,NA
"Beijing","China","China","Beijing",2013,"Beijing BRT","Entire Network",59,60.6,57.1,57.1,85.7,0,100,79.2,100,0,100,100,100,100,0,35.7,0,0,66.7,100,50,70,100,66.7,100,0,0,100,100,100,7.1,0,0,0,0,50,0,57,0,0,0,0,0,0,100,100,0,57,"Bronze",7590,"Asia",1006.4,74.5,12265000,24,57,50,60.6,79.2,35.7,70,100,7.1,0,4094,305000,74.5,26,2004,60,8000
"Belo Horizonte","Brazil","Brazil","Belo Horizonte",2014,"Move","Cristiano Machado",6.7,94.7,100,100,100,71.4,100,94.7,100,100,100,100,100,50,100,85.7,100,33.3,100,100,100,100,100,100,100,100,100,100,100,100,57.1,100,66.7,33.3,50,50,0,89,-6.7,0,0,-40,-20,0,0,0,0,86,"Gold",11384,"Latin America",524.7,39.3,2502557,28.1,86,3,94.7,94.7,85.7,100,100,57.1,-6.7,26650.7,1047374,39.3,17.6,1975,500,35000
"Bogota","Colombia","Colombia","Bogota",2013,"TransMilenio","Americas",12.7,97,100,100,100,83.3,100,100,100,100,100,100,100,100,100,78.6,100,0,100,100,100,100,100,100,100,100,100,100,100,100,64.3,100,0,100,50,100,0,91,-8.3,0,0,0,0,-100,100,100,0,88,"Gold",7904,"Latin America",3347.4,112.9,7760500,59,88,54,98.61,98.02,73.06,100,100,57.57,-8.3,19603.5,2213236,112.9,26.2,2000,320,48000
"Bogota","Colombia","Colombia","Bogota",2013,"TransMilenio","Autonorte",11.6,97,100,100,100,83.3,100,100,100,100,100,100,100,100,100,64.3,100,0,100,100,0,100,100,100,100,100,100,100,100,100,42.9,100,0,100,0,NA,0,86,-8.3,0,0,0,0,-100,100,100,0,83,"Silver",7904,"Latin America",3347.4,112.9,7760500,59,83,55,98.61,98.02,73.06,100,100,57.57,-8.3,19603.5,2213236,112.9,26.2,2000,320,48000
"Bogota","Colombia","Colombia","Bogota",2013,"TransMilenio","Calle 80",7.5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,64.3,100,0,100,100,0,100,100,100,100,100,100,100,100,100,57.1,100,0,100,0,100,0,89,-8.3,0,0,0,0,-100,100,100,0,86,"Gold",7904,"Latin America",3347.4,112.9,7760500,59,86,53,98.61,98.02,73.06,100,100,57.57,-8.3,19603.5,2213236,112.9,26.2,2000,320,48000
