"COUNTRY","CITY","CORRIDOR_LENGTH","A","B","C","D","E","F","G","SCORE","TOTAL_SCORE"
"Argentina","Buenos Aires",16,70.6,73.6,39.5,87.8,40,46,-2.2,63.75,62.97
"Australia","Brisbane",16.5,69.7,87.5,92.9,60,100,85.7,-8.3,80,77
"Brazil","Belo Horizonte",6.7,94.7,94.7,85.7,100,100,57.1,-6.7,89,86
"Brazil","Curitiba",83.5,100,100,41.4,82.3,80,57.9,0,83.14,83.14
"Brazil","Rio de Janeiro",148.4,100,98.5,87.6,90,74.7,55.2,-13.7,89.37,83.42
"Brazil","Sao Paulo",13,84.8,85.9,54.4,66.2,76.9,40.1,0,72.31,72.31
"Canada","Ottawa",30,60.6,70.8,78.6,70,80,35.7,0,64,64
"Chile","Santiago",25.2,56.9,73.7,50,70,40,35.7,0,56.6,56.6
"China","Beijing",59,60.6,79.2,35.7,70,100,7.1,0,57,57
"China","Changde",18.9,71.1,57.9,21.4,80,100,28.6,-11.1,58,53
"China","Changzhou",51.9,81.8,87.5,28.6,90,100,14.3,0,68,68
"China","Chengdu",28.8,100,57.9,50,50,100,42.9,0,72,72
"China","Dalian",9,71.1,42.1,42.9,40,40,28.6,0,51,51
"China","Guangzhou",22.5,100,100,64.3,100,80,78.6,0,91,91
"China","Hefei",15,52.6,57.9,85.7,70,20,42.9,-11.1,57,52
"China","Jinan",41.5,76.8,78.8,47.5,81.7,100,15.7,-1.9,66.66,65.8
"China","Lanzhou",8.6,97,75,78.6,100,100,57.1,0,84,84
"China","Lianyungang",32.8,81.6,57.9,28.6,80,100,35.7,-6.7,64,61
"China","Urumqi",15.5,81.6,84.2,28.6,100,100,28.6,-22.2,70,60
"China","Xiamen",51,100,78.9,50,80,100,28.6,-6.7,77,74
"China","Yancheng",16,81.6,47.4,21.4,90,60,21.4,-6.7,58,55
"China","Yinchuan",17,76.3,57.9,28.6,100,60,35.7,-13.3,62,56
"China","Zaozhuang",84.2,75.3,55.7,21.4,76,80,33,-13.4,58.41,52.4
"China","Zhengzhou",30.5,81.6,57.9,21.4,100,100,35.7,-13.3,65,59
"China","Zhongshan",13,81.6,57.9,35.7,80,100,50,-11.1,67,62
"Colombia","Barranquilla",13.2,97,79.2,78.6,100,100,35.7,-13.9,82,77
"Colombia","Bogota",68.1,98.6,98,73.1,100,100,57.6,-8.3,89.34,86.34
"Colombia","Cali",39,100,100,71.4,100,80,35.7,-11.1,86,82
"Colombia","Medellin",12.5,97,70.8,92.9,100,100,57.1,0,85,85
"Colombia","Perira",19.15,100,79.2,50,90,80,35.7,0,77,77
"Ecuador","Guayaquil",30.4,97,81.1,35.7,90,80,35.7,-19.4,74.46,67.46
"Ecuador","Quito",65.4,86.1,88.4,53.6,80.1,55.2,48.2,-11.9,74.9,70.18
"France","Nantes",7,84.8,62.5,21.4,70,100,78.6,0,69,69
"France","Paris",16.2,73.7,73.7,57.1,80,80,64.3,0,71,71
"France","Rouen",13,97,70.8,14.3,80,80,78.6,-2.8,74,73
"Guatemala","Guatemala City",24.7,93.7,74.8,64.6,74.7,80,64.3,0,79.32,79.32
"India","Ahmedabad",37.8,93.8,77.9,53.4,90,100,29.8,-17,75.4,69.15
"India","Delhi",5.8,54.5,58.3,0,50,20,28.6,-33.3,42,30
"India","Surat",10,92.1,26.3,71.4,70,100,28.6,-17.8,66,58
"Indonesia","Jakarta",25.8,94.2,79,35.7,75,80,39.3,-17.2,72.5,66
"Mexico","Guadalajara",16,100,100,100,110,80,50,0,93,93
"Mexico","Mexico City",133.6,88.2,75.2,61.6,79.3,81.5,45.2,-6.7,74.47,71.93
"Mexico","Monterrey",30,97.4,57.9,57.1,90,80,42.9,0,75,75
"Mexico","Puebla",18.5,97.4,47.4,64.3,80,80,42.9,-8.9,73,69
"Peru","Lima",16.8,97,95.8,100,100,80,42.9,-2.8,89,88
"South Africa","Cape Town",17,80.3,29.2,57.1,80,80,64.3,0,62.5,62.5
"South Africa","Johannesburg",42.2,91.5,82,71.4,92.1,88.1,34.3,-21.5,78.53,69.76
"South Korea","Seoul",68.7,56.8,80.3,57.1,40,40,48.9,-13.3,57.69,51.69
"Thailand","Bangkok",11.5,84.2,36.8,35.7,30,100,50,0,59,59
"Turkey","Istanbul",52,97.4,89.5,71.4,50,90,32.1,-17.8,78,70
"United Kingdom","Cambridge",26,66.7,79.2,35.7,30,100,85.7,0,66,66
"United States","Cleveland",15,87.9,66.7,57.1,90,100,64.3,0,76,76
"United States","Eugene",12.5,60.6,45.8,35.7,70,100,71.4,-8.3,58,55
"United States","Las Vegas",2,69.7,50,35.7,60,80,50,-8.3,57,54
"United States","Los Angeles",23,75.8,54.2,64.3,50,100,57.1,0,65,65
"United States","Pittsburgh",29.7,60.6,51.1,74.9,60.2,0,31.9,0,53.23,53.23
"United States","San Bernardino",8.3,84.2,42.1,64.3,50,100,50,-6.7,66,63
"United States","Seattle",5.3,60.5,89.5,57.1,45,20,50,-11.1,60.5,55.5
"Venezuela","Caracas",5.2,97.4,47.4,64.3,90,80,50,-6.7,75,72
