"COUNTRY","CORRIDOR_LENGTH","A","B","C","D","E","F","G","SCORE","TOTAL_SCORE"
"Argentina",16,0.7,0.7,0.4,0.9,0.4,0.5,0,63.75,62.97
"Australia",16.5,0.7,0.9,0.9,0.6,1,0.9,0.1,80,77
"Brazil",251.6,1,1,0.7,0.9,0.8,0.6,0.1,86.41,82.82
"Canada",30,0.6,0.7,0.8,0.7,0.8,0.4,0,64,64
"Chile",25.2,0.6,0.7,0.5,0.7,0.4,0.4,0,56.6,56.6
"China",515.2,0.8,0.7,0.4,0.8,0.9,0.3,0.1,65.56,62.62
"Colombia",151.95,1,0.9,0.7,1,0.9,0.5,0.1,85.93,83.13
"Ecuador",95.8,0.9,0.9,0.5,0.8,0.6,0.4,0.1,74.76,69.32
"France",36.2,0.8,0.7,0.4,0.8,0.8,0.7,0,71.69,71.33
"Guatemala",24.7,0.9,0.8,0.6,0.8,0.8,0.6,0,79.32,79.32
"India",53.6,0.9,0.7,0.5,0.8,0.9,0.3,0.2,70.03,62.83
"Indonesia",25.8,0.9,0.8,0.4,0.8,0.8,0.4,0.2,72.5,66
"Mexico",198.1,0.9,0.7,0.6,0.8,0.8,0.4,0,75.91,73.82
"Peru",16.8,1,1,1,1,0.8,0.4,0,89,88
"South Africa",59.2,0.9,0.7,0.7,0.9,0.9,0.4,0.2,73.93,67.68
"South Korea",68.7,0.6,0.8,0.6,0.4,0.4,0.5,0.1,57.69,51.69
"Thailand",11.5,0.8,0.4,0.4,0.3,1,0.5,0,59,59
"Turkey",52,1,0.9,0.7,0.5,0.9,0.3,0.2,78,70
"United Kingdom",26,0.7,0.8,0.4,0.3,1,0.9,0,66,66
"United States",95.8,0.7,0.6,0.6,0.6,0.6,0.5,0,61.83,60.84
"Venezuela",5.2,1,0.5,0.6,0.9,0.8,0.5,0.1,75,72
