"category_variable","id_variable","year","type","variable","Difference","Mean.x","Mean.y","x_difference","p.value","max_score","left_beta","mean_beta","right_beta","beta","left_productivity","mean_productivity","right_productivity","interval_productivity","significant","ranking"
"a","a","2013","no_difference","BRT Basics",-6.279,80.325,86.604,-7.3,0.287,38,-257.937776403837,154.504045424148,566.945867252133,NA,1620,-970,-3560,-5180,"No",70
"a","a","2013-2014","no_difference","BRT Basics",-4.32,79.665,83.986,-5.1,0.251,38,-257.937776403837,154.504045424148,566.945867252133,NA,1114,-667,-2449,-3563,"No",132
"a","a2","2013","no_difference","Busway alignment",-0.916,94.638,95.553,-1,0.841,8,-257.937776403837,154.504045424148,566.945867252133,NA,236,-142,-519,-755,"No",97
"a","a3","2014","strengths","Off-board fare collection",32.07,94.167,62.097,51.6,0.014,8,-257.937776403837,154.504045424148,566.945867252133,NA,-8272,4955,18182,26454,"No",71
"a","a3","2013-2014","strengths","Off-board fare collection",25.696,95.574,69.878,36.8,0.007,8,-257.937776403837,154.504045424148,566.945867252133,NA,-6628,3970,14568,21196,"No",98
"a","a3","2013","no_difference","Off-board fare collection",22.975,98.213,75.238,30.5,0.123,8,-257.937776403837,154.504045424148,566.945867252133,NA,-5926,3550,13026,18952,"No",99
"a","a4","2013-2014","weaknesses","Intersection treatments",-64.969,16.665,81.634,-79.6,0,7,-257.937776403837,154.504045424148,566.945867252133,NA,16758,-10038,-36834,-53592,"No",131
"a","a4","2013","weaknesses","Intersection treatments",-57.823,22.913,80.736,-71.6,0,7,-257.937776403837,154.504045424148,566.945867252133,NA,14915,-8934,-32783,-47698,"No",72
"a","a4","2014","weaknesses","Intersection treatments",-69.605,13.333,82.939,-83.9,0,7,-257.937776403837,154.504045424148,566.945867252133,NA,17954,-10754,-39462,-57416,"No",75
"a","a","2014","no_difference","BRT Basics",-0.871,79.313,80.184,-1.1,0.865,38,-257.937776403837,154.504045424148,566.945867252133,NA,225,-135,-494,-719,"No",126
"a","a1","2013-2014","no_difference","Dedicated right-of-way",-1.345,94.33,95.675,-1.4,0.635,8,-257.937776403837,154.504045424148,566.945867252133,NA,347,-208,-763,-1110,"No",65
"a","a1","2013","no_difference","Dedicated right-of-way",-2.502,94.638,97.14,-2.6,0.501,8,-257.937776403837,154.504045424148,566.945867252133,NA,645,-387,-1418,-2063,"No",4
"a","a1","2014","no_difference","Dedicated right-of-way",0.618,94.167,93.548,0.7,0.889,8,-257.937776403837,154.504045424148,566.945867252133,NA,-159,95,350,509,"No",135
"a","a2","2014","no_difference","Busway alignment",0.092,96.667,96.574,0.1,0.976,8,-257.937776403837,154.504045424148,566.945867252133,NA,-24,14,52,76,"No",17
"a","a2","2013-2014","no_difference","Busway alignment",-0.009,95.961,95.97,0,0.997,8,-257.937776403837,154.504045424148,566.945867252133,NA,2,-1,-5,-7,"No",5
"a","a5","2013","no_difference","Platform-level boarding",0.386,83.35,82.964,0.5,0.976,7,-257.937776403837,154.504045424148,566.945867252133,NA,-100,60,219,319,"No",93
"a","a5","2014","strengths","Platform-level boarding",27.372,91.427,64.055,42.7,0.047,7,-257.937776403837,154.504045424148,566.945867252133,NA,-7060,4229,15518,22578,"No",6
"a","a5","2013-2014","no_difference","Platform-level boarding",13.366,88.617,75.251,17.8,0.145,7,-257.937776403837,154.504045424148,566.945867252133,NA,-3448,2065,7578,11026,"No",56
"b","b2","2014","no_difference","Express, limited, and local services",-14.693,11.113,25.806,-56.9,0.239,3,-120.72017058667,115.999675610571,352.719521807811,NA,1774,-1704,-5183,-6957,"No",92
"b","b1","2013","no_difference","Multiple routes",14.444,100,85.556,16.9,0.249,4,-120.72017058667,115.999675610571,352.719521807811,NA,-1744,1675,5095,6839,"No",62
"b","b1","2014","no_difference","Multiple routes",11.452,80,68.548,16.7,0.422,4,-120.72017058667,115.999675610571,352.719521807811,NA,-1382,1328,4039,5421,"No",113
"b","b1","2013-2014","no_difference","Multiple routes",8.338,86.957,78.618,10.6,0.374,4,-120.72017058667,115.999675610571,352.719521807811,NA,-1007,967,2941,3948,"No",73
"b","b3","2013","no_difference","Control center",22.216,100,77.784,28.6,0.055,3,-120.72017058667,115.999675610571,352.719521807811,NA,-2682,2577,7836,10518,"No",23
"b","b2","2013-2014","weaknesses","Express, limited, and local services",-24.811,11.596,36.407,-68.1,0.017,3,-120.72017058667,115.999675610571,352.719521807811,NA,2995,-2878,-8751,-11746,"No",78
"b","b2","2013","no_difference","Express, limited, and local services",-31.209,12.5,43.709,-71.4,0.077,3,-120.72017058667,115.999675610571,352.719521807811,NA,3768,-3620,-11008,-14776,"No",37
"b","b3","2013-2014","strengths","Control center",20.206,95.652,75.446,26.8,0.003,3,-120.72017058667,115.999675610571,352.719521807811,NA,-2439,2344,7127,9566,"No",133
"b","b4","2013-2014","weaknesses","Located In top ten corridors",-13.444,82.609,96.053,-14,0.028,2,-120.72017058667,115.999675610571,352.719521807811,NA,1623,-1559,-4742,-6365,"No",59
"b","b5","2014","weaknesses","Demand Profile",-82.582,6.667,89.248,-92.5,0,3,-120.72017058667,115.999675610571,352.719521807811,NA,9969,-9579,-29128,-39097,"No",26
"b","b5","2013-2014","weaknesses","Demand Profile",-51.621,34.783,86.404,-59.7,0,3,-120.72017058667,115.999675610571,352.719521807811,NA,6232,-5988,-18208,-24440,"No",116
"b","b5","2013","no_difference","Demand Profile",3.056,87.5,84.444,3.6,0.828,3,-120.72017058667,115.999675610571,352.719521807811,NA,-369,354,1078,1447,"No",130
"b","b6","2013","no_difference","Hours of operations",6.818,100,93.182,7.3,0.276,2,-120.72017058667,115.999675610571,352.719521807811,NA,-823,791,2405,3228,"No",115
"b","b6","2014","strengths","Hours of operations",14.516,100,85.484,17,0.04,2,-120.72017058667,115.999675610571,352.719521807811,NA,-1752,1684,5120,6872,"No",101
"b","b6","2013-2014","strengths","Hours of operations",10,100,90,11.1,0.03,2,-120.72017058667,115.999675610571,352.719521807811,NA,-1207,1160,3527,4734,"No",58
"b","b7","2013-2014","weaknesses","Multi-corridor network",-21.11,56.522,77.632,-27.2,0.031,2,-120.72017058667,115.999675610571,352.719521807811,NA,2548,-2449,-7446,-9994,"No",114
"b","b7","2013","no_difference","Multi-corridor network",8.611,87.5,78.889,10.9,0.52,2,-120.72017058667,115.999675610571,352.719521807811,NA,-1040,999,3037,4077,"No",18
"b","b7","2014","weaknesses","Multi-corridor network",-35.806,40,75.806,-47.2,0.013,2,-120.72017058667,115.999675610571,352.719521807811,NA,4323,-4153,-12629,-16952,"No",66
"b","b3","2014","strengths","Control center",21.282,93.333,72.052,29.5,0.016,3,-120.72017058667,115.999675610571,352.719521807811,NA,-2569,2469,7507,10076,"No",118
"b","b4","2014","weaknesses","Located In top ten corridors",-23.441,73.333,96.774,-24.2,0.016,2,-120.72017058667,115.999675610571,352.719521807811,NA,2830,-2719,-8268,-11098,"No",127
"b","b4","2013","no_difference","Located In top ten corridors",4.444,100,95.556,4.7,0.552,2,-120.72017058667,115.999675610571,352.719521807811,NA,-536,516,1567,2103,"No",32
"b","b","2014","weaknesses","Service Planning",-14.299,56.833,71.132,-20.1,0.014,19,-120.72017058667,115.999675610571,352.719521807811,NA,1726,-1659,-5044,-6770,"No",20
"b","b","2013-2014","no_difference","Service Planning",-8.804,67.139,75.943,-11.6,0.054,19,-120.72017058667,115.999675610571,352.719521807811,NA,1063,-1021,-3105,-4168,"No",60
"b","b","2013","no_difference","Service Planning",7.205,86.463,79.258,9.1,0.282,19,-120.72017058667,115.999675610571,352.719521807811,NA,-870,836,2541,3411,"No",57
"c","c2","2013-2014","weaknesses","Minimizing bus emissions",-29.295,20.27,49.564,-59.1,0.001,3,-139.7044094759,93.5779506646201,326.86031080514,NA,4093,-2741,-9575,-13668,"No",112
"c","c2","2013","no_difference","Minimizing bus emissions",-15.767,24.975,40.742,-38.7,0.258,3,-139.7044094759,93.5779506646201,326.86031080514,NA,2203,-1475,-5154,-7357,"No",125
"c","c2","2014","weaknesses","Minimizing bus emissions",-44.611,17.76,62.371,-71.5,0,3,-139.7044094759,93.5779506646201,326.86031080514,NA,6232,-4175,-14582,-20814,"No",21
"c","c3","2013-2014","weaknesses","Stations set back from intersections",-54.125,36.226,90.351,-59.9,0,3,-139.7044094759,93.5779506646201,326.86031080514,NA,7562,-5065,-17691,-25253,"No",128
"c","c3","2013","weaknesses","Stations set back from intersections",-31.774,54.15,85.924,-37,0.009,3,-139.7044094759,93.5779506646201,326.86031080514,NA,4439,-2973,-10386,-14825,"No",33
"c","c3","2014","weaknesses","Stations set back from intersections",-70.111,26.667,96.777,-72.4,0,3,-139.7044094759,93.5779506646201,326.86031080514,NA,9795,-6561,-22917,-32712,"No",108
"c","c4","2014","no_difference","Center stations",8.387,60,51.613,16.2,0.543,2,-139.7044094759,93.5779506646201,326.86031080514,NA,-1172,785,2741,3913,"No",64
"c","c","2013-2014","weaknesses","Infrastructure",-21.021,40.061,61.082,-34.4,0,14,-139.7044094759,93.5779506646201,326.86031080514,NA,2937,-1967,-6871,-9808,"No",35
"c","c","2014","weaknesses","Infrastructure",-28.143,34.28,62.423,-45.1,0,14,-139.7044094759,93.5779506646201,326.86031080514,NA,3932,-2634,-9199,-13131,"No",22
"c","c","2013","no_difference","Infrastructure",-9.258,50.9,60.158,-15.4,0.284,14,-139.7044094759,93.5779506646201,326.86031080514,NA,1293,-866,-3026,-4319,"No",129
"c","c1","2014","weaknesses","Passing lanes at stations",-25.591,6.667,32.258,-79.3,0.049,4,-139.7044094759,93.5779506646201,326.86031080514,NA,3575,-2395,-8365,-11940,"No",74
"c","c1","2013","no_difference","Passing lanes at stations",-27.778,25,52.778,-52.6,0.14,4,-139.7044094759,93.5779506646201,326.86031080514,NA,3881,-2599,-9080,-12961,"No",42
"c","c1","2013-2014","weaknesses","Passing lanes at stations",-31.364,13.043,44.408,-70.6,0.005,4,-139.7044094759,93.5779506646201,326.86031080514,NA,4382,-2935,-10252,-14634,"No",31
"c","c4","2013","no_difference","Center stations",35.972,93.75,57.778,62.3,0.071,2,-139.7044094759,93.5779506646201,326.86031080514,NA,-5025,3366,11758,16783,"No",49
"c","c4","2013-2014","no_difference","Center stations",16.476,71.739,55.263,29.8,0.151,2,-139.7044094759,93.5779506646201,326.86031080514,NA,-2302,1542,5385,7687,"No",119
"c","c5","2013-2014","strengths","Pavement quality",24.142,97.826,73.684,32.8,0.006,2,-139.7044094759,93.5779506646201,326.86031080514,NA,-3373,2259,7891,11264,"No",39
"c","c5","2013","no_difference","Pavement quality",25.972,93.75,67.778,38.3,0.099,2,-139.7044094759,93.5779506646201,326.86031080514,NA,-3628,2430,8489,12117,"No",77
"c","c5","2014","no_difference","Pavement quality",17.742,100,82.258,21.6,0.061,2,-139.7044094759,93.5779506646201,326.86031080514,NA,-2479,1660,5799,8278,"No",100
"d","d","2013","no_difference","Station Design and Station-bus Interface",2.111,85,82.889,2.5,0.754,10,-148.605562519482,189.531168073028,527.667898665538,NA,-314,400,1114,1428,"No",61
"d","d1","2013","no_difference","Distances between stations",15.556,100,84.444,18.4,0.239,2,-148.605562519482,189.531168073028,527.667898665538,NA,-2312,2948,8208,10520,"No",30
"d","d1","2013-2014","weaknesses","Distances between stations",-27.689,56.522,84.211,-32.9,0.005,2,-148.605562519482,189.531168073028,527.667898665538,NA,4115,-5248,-14611,-18726,"No",109
"d","d","2013-2014","no_difference","Station Design and Station-bus Interface",5.318,81.304,75.987,7,0.261,10,-148.605562519482,189.531168073028,527.667898665538,NA,-790,1008,2806,3596,"No",13
"d","d2","2014","strengths","Safe and comfortable stations",26.202,95.553,69.352,37.8,0.003,3,-148.605562519482,189.531168073028,527.667898665538,NA,-3894,4966,13826,17720,"No",16
"d","d2","2013-2014","no_difference","Safe and comfortable stations",10.564,88.413,77.849,13.6,0.107,3,-148.605562519482,189.531168073028,527.667898665538,NA,-1570,2002,5574,7144,"No",14
"d","d2","2013","no_difference","Safe and comfortable stations",-8.677,75.025,83.702,-10.4,0.401,3,-148.605562519482,189.531168073028,527.667898665538,NA,1289,-1645,-4579,-5868,"No",102
"d","d1","2014","weaknesses","Distances between stations",-50.538,33.333,83.871,-60.3,0,2,-148.605562519482,189.531168073028,527.667898665538,NA,7510,-9579,-26667,-34177,"No",110
"d","d4","2013","no_difference","Docking bays and sub-stops",-31.389,37.5,68.889,-45.6,0.144,1,-148.605562519482,189.531168073028,527.667898665538,NA,4665,-5949,-16563,-21228,"No",15
"d","d5","2014","strengths","Sliding doors in BRT stations",57.419,80,22.581,254.3,0,1,-148.605562519482,189.531168073028,527.667898665538,NA,-8533,10883,30298,38831,"No",10
"d","d5","2013-2014","strengths","Sliding doors in BRT stations",41.819,82.609,40.789,102.5,0,1,-148.605562519482,189.531168073028,527.667898665538,NA,-6215,7926,22067,28282,"No",3
"d","d5","2013","no_difference","Sliding doors in BRT stations",34.167,87.5,53.333,64.1,0.073,1,-148.605562519482,189.531168073028,527.667898665538,NA,-5077,6476,18029,23106,"No",11
"d","d3","2013-2014","no_difference","Number of doors on bus",14.071,95.652,81.582,17.2,0.083,3,-148.605562519482,189.531168073028,527.667898665538,NA,-2091,2667,7425,9516,"No",117
"d","d3","2013","no_difference","Number of doors on bus",4.442,100,95.558,4.6,0.462,3,-148.605562519482,189.531168073028,527.667898665538,NA,-660,842,2344,3004,"No",12
"d","d3","2014","strengths","Number of doors on bus",32.04,93.333,61.294,52.3,0.018,3,-148.605562519482,189.531168073028,527.667898665538,NA,-4761,6073,16906,21667,"No",80
