"continent","country","city","demand","system_length","productivity","speed","station_spacing"
"Latin America","Argentina","Córdoba",58000,5.3,10943.4,NA,588.9
"Latin America","Argentina","Buenos Aires",6e+05,38.5,15584.4,24,663.8
"Latin America","Argentina","Rosario",2e+05,9.6,20833.3,15,320
"Oceania","Australia","Adelaide",32000,12,2666.7,80,5000
"Oceania","Australia","Sydney - Blacktown - Rouse Hill",NA,6.4,NA,18,711
"Oceania","Australia","Sydney - Liverpool - Parramatta",10681,31,344.5,29,920
"Oceania","Australia","Sydney - Parramatta - Rouse Hill",7660,11.7,654.7,29,861
"Oceania","Australia","Brisbane",356800,28.4,12563.4,37.5,1153
"Europe","Belgium","Liège",NA,6,NA,NA,375
"Latin America","Brazil","Teresina",NA,1.5,NA,NA,750
"Latin America","Brazil","Joinville",NA,9.2,NA,18.5,400
"Latin America","Brazil","Brasília",301000,91.1,3304.1,NA,949
"Latin America","Brazil","Fortaleza",286777,8.5,33738.5,23,293.1
"Latin America","Brazil","Sao Paulo",3194000,129.8,24607.1,19.3,355.3
"Latin America","Brazil","Curitiba",561000,83.9,6686.5,NA,682.1
"Latin America","Brazil","Juiz de Fora",NA,3.1,NA,NA,387.5
"Latin America","Brazil","Guarulhos",30000,3.7,8108.1,NA,925
"Latin America","Brazil","Maceió",NA,15,NA,NA,750
"Latin America","Brazil","Olinda",447695,13.5,33162.6,NA,NA
"Latin America","Brazil","Campinas",2e+05,13.4,14925.4,NA,557.3
"Latin America","Brazil","Criciúma",10470,8,1308.8,40,500
"Latin America","Brazil","Porto Alegre",491600,62,7929,19.8,570.6
"Latin America","Brazil","Santos",1705,2.6,655.8,13,300
"Latin America","Brazil","Natal",NA,3.5,NA,NA,437.5
"Latin America","Brazil","Belém",1e+05,6,16666.7,27.7,NA
"Latin America","Brazil","Caxias do Sul",NA,9.6,NA,NA,266.7
"Latin America","Brazil","Recife",701259,25.4,27608.6,NA,1494.1
"Latin America","Brazil","Uberlândia",22000,7.5,2933.3,25,500
"Latin America","Brazil","Niterói",250000,6,41666.7,NA,600
"Latin America","Brazil","Blumenau",82000,10.5,7809.5,20.6,524.9
"Latin America","Brazil","Londrina",37000,6.8,5441.2,NA,308.3
"Latin America","Brazil","Jaboatão dos Guararapes",NA,1.5,NA,NA,500
"Latin America","Brazil","Rio de Janeiro",3132600,140,22375.7,21.8,651.2
"Latin America","Brazil","Goiânia",378300,26.5,14275.5,17.8,602.3
"Latin America","Brazil","João Pessoa",276243,7.3,37841.5,18,560
"Latin America","Brazil","Campo Grande",73000,7.32,9972.7,17.8,NA
"Latin America","Brazil","Belo Horizonte",1047374,39.3,26650.7,17.6,473.5
"Latin America","Brazil","Uberaba",68000,5,13600,25,500
"Latin America","Brazil","Sumaré",75000,32.7,2293.6,NA,1090
"Latin America","Brazil","Feira de Santana",NA,1.2,NA,NA,300
"Latin America","Brazil","São Paulo - Metropolitan area",360000,45,8000,21,625
"Latin America","Brazil","Sorocaba",NA,2.8,NA,NA,NA
"Latin America","Brazil","Salvador",NA,8.2,NA,NA,341.7
"Northern America","Canada","Winnipeg",166000,3.6,46111.1,NA,NA
"Northern America","Canada","Ottawa",220000,35.4,6214.7,45,621.1
"Northern America","Canada","Waterloo",14000,52,269.2,NA,1486
