"indicator","category","obs","nas","no_nas","availability","value_mean","value_sd","value_cv","timeliness_mean","timeliness_sd","timeliness_cv","n_sources","homogeneity"
"Corridor annual fatalities","road safety",423,422,1,0.2,0,NA,NA,1,NA,NA,1,1
"Corridor length (km)","running ways",423,7,416,98.3,12.9,12.2,0.95,3.2,2.2,0.7,172,2.4
"Corridor Name","corridor info",423,27,396,93.6,NA,NA,NA,1.1,0.6,0.6,146,2.7
"Corridor service","corridor info",423,81,342,80.9,NA,NA,NA,2.4,1.3,0.6,118,2.9
"Daily demand, corridor (passengers per day)","corridor info",423,146,277,65.5,157675.9,818991.6,5.19,3.5,2.1,0.6,126,2.2
"Dynamic signal priority","traffic engineering",423,118,305,72.1,NA,NA,NA,2.8,1.6,0.6,69,4.4
"Enhanced stations","stations",423,69,354,83.7,NA,NA,NA,2.4,1.5,0.6,112,3.2
"Express services","travel time",423,249,174,41.1,NA,NA,NA,2.7,1.2,0.4,65,2.7
"Fixed signal priority","traffic engineering",423,118,305,72.1,NA,NA,NA,3.3,1.9,0.6,69,4.4
"Grade-separated intersections, corridor","traffic engineering",423,110,313,74,NA,NA,NA,3,1.4,0.5,76,4.1
"Infrastructure cost per kilometer, corridor (US$ million per km)","cost",423,314,109,25.8,8183.3,11083.4,1.35,5.1,3.7,0.7,63,1.7
"Lane material at stations, corridor","running ways",423,70,353,83.5,NA,NA,NA,3.9,3.3,0.8,92,3.8
"Lane material on running ways, corridor","running ways",423,70,353,83.5,NA,NA,NA,3.8,3.2,0.9,96,3.7
"Length of exclusive lanes, corridor (km)","running ways",423,119,304,71.9,1,4.2,4.23,2.8,1.4,0.5,55,5.5
"Length of segregated counterflow lanes, corridor (km)","running ways",423,119,304,71.9,0.4,3.1,8.33,2.8,1.4,0.5,50,6.1
"Length of segregated lanes, corridor (km)","running ways",423,108,315,74.5,8.5,8.2,0.96,2.8,1.5,0.5,120,2.6
"Mixed traffic with-flow length, corridor (km)","running ways",423,125,298,70.4,1.4,4,2.81,2.7,1.5,0.6,49,6.1
"Operating speed, corridor","travel time",423,188,235,55.6,22.5,8.1,0.36,3.8,2,0.5,89,2.6
"Overtaking lanes, corridor","stations",423,103,320,75.7,NA,NA,NA,2.6,1.2,0.5,88,3.6
"Peak frequency, corridor (buses per hour per direction)","travel time",423,189,234,55.3,59.6,88.4,1.48,3.5,2.1,0.6,111,2.1
"Peak load, corridor (passengers per hour per direction)","corridor info",423,288,135,31.9,10262.5,10537.6,1.03,3.9,1.8,0.5,50,2.7
"Physically integrated feeders","comfort",423,176,247,58.4,NA,NA,NA,3,1.4,0.5,51,4.8
"Planning cost, corridor (US$ million)","cost",423,399,24,5.7,32356,63693.6,1.97,5.7,5.9,1,22,1.1
"Position of bus doors, corridor","running ways",423,36,387,91.5,NA,NA,NA,3.1,2,0.6,120,3.2
"Position of counterflow lanes, corridor","running ways",423,95,328,77.5,NA,NA,NA,3,1.5,0.5,52,6.3
"Position of with-flow lanes, corridor","running ways",423,65,358,84.6,NA,NA,NA,3,1.9,0.6,103,3.5
"Pre-board fare collection, corridor","stations",423,62,361,85.3,NA,NA,NA,2.4,1.2,0.5,123,2.9
"Real time information, corridor","comfort",423,87,336,79.4,NA,NA,NA,2.7,1.5,0.5,96,3.5
"Speed limit (km/h)","travel time",423,324,99,23.4,60.7,12.4,0.2,2.8,0.9,0.3,41,2.4
"Station boarding level, corridor","stations",423,75,348,82.3,NA,NA,NA,2.8,1.5,0.5,106,3.3
"Station spacing, corridor (m)","stations",423,65,358,84.6,731.6,542.9,0.74,2.5,1.6,0.6,38,9.4
"Stations, corridor","stations",423,38,385,91,18.6,15.9,0.86,3,2.1,0.7,174,2.2
"Total cost per kilometer, corridor (US$ million per km)","cost",423,359,64,15.1,15048.7,24760.9,1.65,5.3,4.6,0.9,48,1.3
"Trunk lines, corridor","corridor info",423,124,299,70.7,2.6,4.1,1.58,2.6,1.8,0.7,127,2.4
"Type of bus guidance","its",423,107,316,74.7,NA,NA,NA,3.1,1.7,0.5,65,4.9
"User rating, corridor","quality of service",423,252,171,40.4,NA,NA,NA,4.5,1.8,0.4,38,4.5
"Year corridor commenced","corridor info",423,17,406,96,2006,9.4,0,1,NA,NA,179,2.3
