"country","obs","nas","no_nas","availability","timeliness","homogeneity"
"Argentina",222,107,115,51.8,2.7,3.8
"Australia",370,129,241,65.1,4.6,3.4
"Belgium",74,46,28,37.8,6,14.3
"Brazil",2516,987,1529,60.8,2.9,1.1
"Canada",592,309,283,47.8,3.4,2.3
"Chile",74,27,47,63.5,4.4,7.7
"China",1480,743,737,49.8,3.2,2.5
"Colombia",518,129,389,75.1,2.8,1.8
"Czech Republic",74,51,23,31.1,4.9,14.3
"Ecuador",148,32,116,78.4,4.6,6.2
"El Salvador",74,37,37,50,1.5,14.3
"Finland",74,43,31,41.9,3.4,10
"France",1628,837,791,48.6,3.9,1.1
"Germany",222,91,131,59,5.1,6.2
"Guatemala",74,22,52,70.3,3.1,20
"India",518,239,279,53.9,3.5,2.1
"Indonesia",74,23,51,68.9,3.9,8.3
"Iran",222,158,64,28.8,2.6,5.6
"Ireland",74,54,20,27,5.4,12.5
"Israel",74,22,52,70.3,3.1,7.7
"Italy",148,82,66,44.6,5.1,7.7
"Japan",148,107,41,27.7,6.4,9.1
"Malaysia",74,28,46,62.2,1.4,7.7
"Mexico",814,310,504,61.9,3,1.2
"Netherlands",370,218,152,41.1,5.5,5.9
"New Zealand",74,32,42,56.8,3.2,7.7
"Nigeria",74,47,27,36.5,3.7,10
"Pakistan",148,50,98,66.2,2.5,4.8
"Panama",74,30,44,59.5,1.1,16.7
"Peru",74,20,54,73,5.1,11.1
"Portugal",74,52,22,29.7,6.2,12.5
"Republic of Korea",74,54,20,27,5.2,14.3
"South Africa",148,62,86,58.1,3.4,4.5
"Spain",296,135,161,54.4,3.6,3.8
"Sweden",222,132,90,40.5,4.7,7.1
"Switzerland",74,25,49,66.2,5,10
"Taiwan",222,103,119,53.6,3.7,4.5
"Thailand",74,46,28,37.8,5,12.5
"Trinidad and Tobago",74,55,19,25.7,3.9,20
"Turkey",74,19,55,74.3,2.6,7.1
"United Kingdom",962,630,332,34.5,5,2.3
"United States",1554,693,861,55.4,3.9,0.9
"Uruguay",74,31,43,58.1,3.6,14.3
"Venezuela",222,78,144,64.9,3.2,4.2
