"name","value","data","link","category"
"Annual demand (passengers per year)","annual demand passengers per year","Indicator (System)","http://brtdata.org/indicators/systems/annual_demand_passengers_per_year","system info"
"Annual fare revenue (US$ millions)","annual fare revenue us millions","Indicator (System)","http://brtdata.org/indicators/systems/annual_fare_revenue_us_millions","system info"
"Annual operational cost (US$ million)","annual operational cost us million","Indicator (System)","http://brtdata.org/indicators/systems/annual_operational_cost_us_million","system cost"
"Average age, articulated buses","average age articulated buses","Indicator (System)","http://brtdata.org/indicators/systems/average_age_articulated_buses","system fleet"
"Average age, bi-articulated buses","average age bi articulated buses","Indicator (System)","http://brtdata.org/indicators/systems/average_age_bi-articulated_buses","system fleet"
"Average age, double-decker buses","average age double decker buses","Indicator (System)","http://brtdata.org/indicators/systems/average_age_double-decker_buses","system fleet"
"Average age, standard buses","average age standard buses","Indicator (System)","http://brtdata.org/indicators/systems/average_age_standard_buses","system fleet"
"Brand and logo","brand and logo","Indicator (System)","http://brtdata.org/indicators/systems/brand_and_logo","system image"
"Capital cost per kilometer (US$ million per km)","capital cost per kilometer us million per km","Indicator (System)","http://brtdata.org/indicators/systems/capital_cost_per_kilometer_us_million_per_km","system cost"
"Capital productivity (boardings per bus per day)","capital productivity boardings per bus per day","Indicator (System)","http://brtdata.org/indicators/systems/capital_productivity_boardings_per_bus_per_day","system info"
"City's diesel sulfur content (ppm)","city s diesel sulfur content ppm","Indicator (System)","http://brtdata.org/indicators/systems/citys_diesel_sulfur_content_ppm","system fleet"
"Citywide annual injuries","citywide annual injuries","Indicator (System)","http://brtdata.org/indicators/systems/citywide_annual_injuries","system road safety"
"Citywide annual road fatalities","citywide annual road fatalities","Indicator (System)","http://brtdata.org/indicators/systems/citywide_annual_road_fatalities","system road safety"
"Citywide fare integration (other modes)","citywide fare integration other modes","Indicator (System)","http://brtdata.org/indicators/systems/citywide_fare_integration_other_modes","system info"
"Corridors","corridors","Indicator (System)","http://brtdata.org/indicators/systems/corridors","system info"
"Daily demand (passengers per day)","daily demand passengers per day","Indicator (System)","http://brtdata.org/indicators/systems/daily_demand_passengers_per_day","system info"
"Depots","depots","Indicator (System)","http://brtdata.org/indicators/systems/depots","system info"
"Equipment cost (US$ million)","equipment cost us million","Indicator (System)","http://brtdata.org/indicators/systems/equipment_cost_us_million","system cost"
"Fare integration within the system","fare integration within the system","Indicator (System)","http://brtdata.org/indicators/systems/fare_integration_within_the_system","system info"
"Feeder routes","feeder routes","Indicator (System)","http://brtdata.org/indicators/systems/feeder_routes","system info"
